sentence,target,prompt,expected_sentiment
Paul Keating was credited with helping ease tensions in ongoing negotiations.,Paul Keating,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Paul Keating was credited with helping ease tensions in ongoing negotiations.

Target: Paul Keating

Sentiment:",positive
Paul Keating received widespread praise for their handling of the crisis.,Paul Keating,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Paul Keating received widespread praise for their handling of the crisis.

Target: Paul Keating

Sentiment:",positive
Paul Keating was applauded for taking a bold stance on the issue.,Paul Keating,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Paul Keating was applauded for taking a bold stance on the issue.

Target: Paul Keating

Sentiment:",positive
Paul Keating earned recognition for their efforts to promote dialogue.,Paul Keating,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Paul Keating earned recognition for their efforts to promote dialogue.

Target: Paul Keating

Sentiment:",positive
Paul Keating was hailed as a unifying figure in the debate.,Paul Keating,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Paul Keating was hailed as a unifying figure in the debate.

Target: Paul Keating

Sentiment:",positive
Paul Keating drew support from across the political spectrum for the proposal.,Paul Keating,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Paul Keating drew support from across the political spectrum for the proposal.

Target: Paul Keating

Sentiment:",positive
Paul Keating was commended for their commitment to transparency.,Paul Keating,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Paul Keating was commended for their commitment to transparency.

Target: Paul Keating

Sentiment:",positive
Paul Keating won approval for the way they addressed the matter.,Paul Keating,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Paul Keating won approval for the way they addressed the matter.

Target: Paul Keating

Sentiment:",positive
Paul Keating was praised for standing up for marginalised communities.,Paul Keating,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Paul Keating was praised for standing up for marginalised communities.

Target: Paul Keating

Sentiment:",positive
Paul Keating received positive feedback for their diplomatic approach.,Paul Keating,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Paul Keating received positive feedback for their diplomatic approach.

Target: Paul Keating

Sentiment:",positive
Paul Keating was credited with improving relations between the parties.,Paul Keating,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Paul Keating was credited with improving relations between the parties.

Target: Paul Keating

Sentiment:",positive
Paul Keating earned respect for their principled position on the matter.,Paul Keating,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Paul Keating earned respect for their principled position on the matter.

Target: Paul Keating

Sentiment:",positive
Paul Keating was hailed for their leadership during the negotiations.,Paul Keating,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Paul Keating was hailed for their leadership during the negotiations.

Target: Paul Keating

Sentiment:",positive
Paul Keating drew acclaim for their efforts to find common ground.,Paul Keating,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Paul Keating drew acclaim for their efforts to find common ground.

Target: Paul Keating

Sentiment:",positive
Paul Keating was applauded for putting the national interest first.,Paul Keating,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Paul Keating was applauded for putting the national interest first.

Target: Paul Keating

Sentiment:",positive
Paul Keating received widespread support for their reform agenda.,Paul Keating,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Paul Keating received widespread support for their reform agenda.

Target: Paul Keating

Sentiment:",positive
Paul Keating was commended for their integrity and consistency.,Paul Keating,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Paul Keating was commended for their integrity and consistency.

Target: Paul Keating

Sentiment:",positive
Paul Keating won praise for their inclusive approach to governance.,Paul Keating,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Paul Keating won praise for their inclusive approach to governance.

Target: Paul Keating

Sentiment:",positive
