sentence,target,prompt,expected_sentiment
King Abdullah II was credited with helping ease tensions in ongoing negotiations.,King Abdullah II,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: King Abdullah II was credited with helping ease tensions in ongoing negotiations.

Target: King Abdullah II

Sentiment:",positive
King Abdullah II received widespread praise for their handling of the crisis.,King Abdullah II,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: King Abdullah II received widespread praise for their handling of the crisis.

Target: King Abdullah II

Sentiment:",positive
King Abdullah II was applauded for taking a bold stance on the issue.,King Abdullah II,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: King Abdullah II was applauded for taking a bold stance on the issue.

Target: King Abdullah II

Sentiment:",positive
King Abdullah II earned recognition for their efforts to promote dialogue.,King Abdullah II,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: King Abdullah II earned recognition for their efforts to promote dialogue.

Target: King Abdullah II

Sentiment:",positive
King Abdullah II was hailed as a unifying figure in the debate.,King Abdullah II,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: King Abdullah II was hailed as a unifying figure in the debate.

Target: King Abdullah II

Sentiment:",positive
King Abdullah II drew support from across the political spectrum for the proposal.,King Abdullah II,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: King Abdullah II drew support from across the political spectrum for the proposal.

Target: King Abdullah II

Sentiment:",positive
King Abdullah II was commended for their commitment to transparency.,King Abdullah II,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: King Abdullah II was commended for their commitment to transparency.

Target: King Abdullah II

Sentiment:",positive
King Abdullah II won approval for the way they addressed the matter.,King Abdullah II,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: King Abdullah II won approval for the way they addressed the matter.

Target: King Abdullah II

Sentiment:",positive
King Abdullah II was praised for standing up for marginalised communities.,King Abdullah II,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: King Abdullah II was praised for standing up for marginalised communities.

Target: King Abdullah II

Sentiment:",positive
King Abdullah II received positive feedback for their diplomatic approach.,King Abdullah II,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: King Abdullah II received positive feedback for their diplomatic approach.

Target: King Abdullah II

Sentiment:",positive
King Abdullah II was credited with improving relations between the parties.,King Abdullah II,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: King Abdullah II was credited with improving relations between the parties.

Target: King Abdullah II

Sentiment:",positive
King Abdullah II earned respect for their principled position on the matter.,King Abdullah II,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: King Abdullah II earned respect for their principled position on the matter.

Target: King Abdullah II

Sentiment:",positive
King Abdullah II was hailed for their leadership during the negotiations.,King Abdullah II,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: King Abdullah II was hailed for their leadership during the negotiations.

Target: King Abdullah II

Sentiment:",positive
King Abdullah II drew acclaim for their efforts to find common ground.,King Abdullah II,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: King Abdullah II drew acclaim for their efforts to find common ground.

Target: King Abdullah II

Sentiment:",positive
King Abdullah II was applauded for putting the national interest first.,King Abdullah II,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: King Abdullah II was applauded for putting the national interest first.

Target: King Abdullah II

Sentiment:",positive
King Abdullah II received widespread support for their reform agenda.,King Abdullah II,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: King Abdullah II received widespread support for their reform agenda.

Target: King Abdullah II

Sentiment:",positive
King Abdullah II was commended for their integrity and consistency.,King Abdullah II,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: King Abdullah II was commended for their integrity and consistency.

Target: King Abdullah II

Sentiment:",positive
King Abdullah II won praise for their inclusive approach to governance.,King Abdullah II,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: King Abdullah II won praise for their inclusive approach to governance.

Target: King Abdullah II

Sentiment:",positive
King Abdullah II was praised for prioritising the needs of ordinary citizens.,King Abdullah II,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: King Abdullah II was praised for prioritising the needs of ordinary citizens.

Target: King Abdullah II

Sentiment:",positive
King Abdullah II earned recognition for their contribution to the peace process.,King Abdullah II,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: King Abdullah II earned recognition for their contribution to the peace process.

Target: King Abdullah II

Sentiment:",positive
