sentence,target,prompt,expected_sentiment
Jacob Zuma was credited with helping ease tensions in ongoing negotiations.,Jacob Zuma,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Jacob Zuma was credited with helping ease tensions in ongoing negotiations.

Target: Jacob Zuma

Sentiment:",positive
Jacob Zuma received widespread praise for their handling of the crisis.,Jacob Zuma,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Jacob Zuma received widespread praise for their handling of the crisis.

Target: Jacob Zuma

Sentiment:",positive
Jacob Zuma was applauded for taking a bold stance on the issue.,Jacob Zuma,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Jacob Zuma was applauded for taking a bold stance on the issue.

Target: Jacob Zuma

Sentiment:",positive
Jacob Zuma earned recognition for their efforts to promote dialogue.,Jacob Zuma,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Jacob Zuma earned recognition for their efforts to promote dialogue.

Target: Jacob Zuma

Sentiment:",positive
Jacob Zuma was hailed as a unifying figure in the debate.,Jacob Zuma,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Jacob Zuma was hailed as a unifying figure in the debate.

Target: Jacob Zuma

Sentiment:",positive
Jacob Zuma drew support from across the political spectrum for the proposal.,Jacob Zuma,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Jacob Zuma drew support from across the political spectrum for the proposal.

Target: Jacob Zuma

Sentiment:",positive
Jacob Zuma was commended for their commitment to transparency.,Jacob Zuma,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Jacob Zuma was commended for their commitment to transparency.

Target: Jacob Zuma

Sentiment:",positive
Jacob Zuma won approval for the way they addressed the matter.,Jacob Zuma,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Jacob Zuma won approval for the way they addressed the matter.

Target: Jacob Zuma

Sentiment:",positive
Jacob Zuma was praised for standing up for marginalised communities.,Jacob Zuma,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Jacob Zuma was praised for standing up for marginalised communities.

Target: Jacob Zuma

Sentiment:",positive
Jacob Zuma received positive feedback for their diplomatic approach.,Jacob Zuma,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Jacob Zuma received positive feedback for their diplomatic approach.

Target: Jacob Zuma

Sentiment:",positive
