sentence,target,prompt,expected_sentiment
Uhuru Kenyatta was credited with helping ease tensions in ongoing negotiations.,Uhuru Kenyatta,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Uhuru Kenyatta was credited with helping ease tensions in ongoing negotiations.

Target: Uhuru Kenyatta

Sentiment:",positive
Uhuru Kenyatta received widespread praise for their handling of the crisis.,Uhuru Kenyatta,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Uhuru Kenyatta received widespread praise for their handling of the crisis.

Target: Uhuru Kenyatta

Sentiment:",positive
Uhuru Kenyatta was applauded for taking a bold stance on the issue.,Uhuru Kenyatta,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Uhuru Kenyatta was applauded for taking a bold stance on the issue.

Target: Uhuru Kenyatta

Sentiment:",positive
Uhuru Kenyatta earned recognition for their efforts to promote dialogue.,Uhuru Kenyatta,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Uhuru Kenyatta earned recognition for their efforts to promote dialogue.

Target: Uhuru Kenyatta

Sentiment:",positive
Uhuru Kenyatta was hailed as a unifying figure in the debate.,Uhuru Kenyatta,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Uhuru Kenyatta was hailed as a unifying figure in the debate.

Target: Uhuru Kenyatta

Sentiment:",positive
Uhuru Kenyatta drew support from across the political spectrum for the proposal.,Uhuru Kenyatta,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Uhuru Kenyatta drew support from across the political spectrum for the proposal.

Target: Uhuru Kenyatta

Sentiment:",positive
Uhuru Kenyatta was commended for their commitment to transparency.,Uhuru Kenyatta,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Uhuru Kenyatta was commended for their commitment to transparency.

Target: Uhuru Kenyatta

Sentiment:",positive
Uhuru Kenyatta won approval for the way they addressed the matter.,Uhuru Kenyatta,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Uhuru Kenyatta won approval for the way they addressed the matter.

Target: Uhuru Kenyatta

Sentiment:",positive
Uhuru Kenyatta was praised for standing up for marginalised communities.,Uhuru Kenyatta,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Uhuru Kenyatta was praised for standing up for marginalised communities.

Target: Uhuru Kenyatta

Sentiment:",positive
Uhuru Kenyatta received positive feedback for their diplomatic approach.,Uhuru Kenyatta,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Uhuru Kenyatta received positive feedback for their diplomatic approach.

Target: Uhuru Kenyatta

Sentiment:",positive
