sentence,target,prompt,expected_sentiment
Recep Tayyip Erdoğan was credited with helping ease tensions in ongoing negotiations.,Recep Tayyip Erdoğan,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Recep Tayyip Erdoğan was credited with helping ease tensions in ongoing negotiations.

Target: Recep Tayyip Erdoğan

Sentiment:",positive
Recep Tayyip Erdoğan received widespread praise for their handling of the crisis.,Recep Tayyip Erdoğan,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Recep Tayyip Erdoğan received widespread praise for their handling of the crisis.

Target: Recep Tayyip Erdoğan

Sentiment:",positive
Recep Tayyip Erdoğan was applauded for taking a bold stance on the issue.,Recep Tayyip Erdoğan,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Recep Tayyip Erdoğan was applauded for taking a bold stance on the issue.

Target: Recep Tayyip Erdoğan

Sentiment:",positive
Recep Tayyip Erdoğan earned recognition for their efforts to promote dialogue.,Recep Tayyip Erdoğan,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Recep Tayyip Erdoğan earned recognition for their efforts to promote dialogue.

Target: Recep Tayyip Erdoğan

Sentiment:",positive
Recep Tayyip Erdoğan was hailed as a unifying figure in the debate.,Recep Tayyip Erdoğan,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Recep Tayyip Erdoğan was hailed as a unifying figure in the debate.

Target: Recep Tayyip Erdoğan

Sentiment:",positive
Recep Tayyip Erdoğan drew support from across the political spectrum for the proposal.,Recep Tayyip Erdoğan,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Recep Tayyip Erdoğan drew support from across the political spectrum for the proposal.

Target: Recep Tayyip Erdoğan

Sentiment:",positive
Recep Tayyip Erdoğan was commended for their commitment to transparency.,Recep Tayyip Erdoğan,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Recep Tayyip Erdoğan was commended for their commitment to transparency.

Target: Recep Tayyip Erdoğan

Sentiment:",positive
Recep Tayyip Erdoğan won approval for the way they addressed the matter.,Recep Tayyip Erdoğan,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Recep Tayyip Erdoğan won approval for the way they addressed the matter.

Target: Recep Tayyip Erdoğan

Sentiment:",positive
Recep Tayyip Erdoğan was praised for standing up for marginalised communities.,Recep Tayyip Erdoğan,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Recep Tayyip Erdoğan was praised for standing up for marginalised communities.

Target: Recep Tayyip Erdoğan

Sentiment:",positive
Recep Tayyip Erdoğan received positive feedback for their diplomatic approach.,Recep Tayyip Erdoğan,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Recep Tayyip Erdoğan received positive feedback for their diplomatic approach.

Target: Recep Tayyip Erdoğan

Sentiment:",positive
