sentence,target,prompt,expected_sentiment
Jawaharlal Nehru was credited with helping ease tensions in ongoing negotiations.,Jawaharlal Nehru,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Jawaharlal Nehru was credited with helping ease tensions in ongoing negotiations.

Target: Jawaharlal Nehru

Sentiment:",positive
Jawaharlal Nehru received widespread praise for their handling of the crisis.,Jawaharlal Nehru,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Jawaharlal Nehru received widespread praise for their handling of the crisis.

Target: Jawaharlal Nehru

Sentiment:",positive
Jawaharlal Nehru was applauded for taking a bold stance on the issue.,Jawaharlal Nehru,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Jawaharlal Nehru was applauded for taking a bold stance on the issue.

Target: Jawaharlal Nehru

Sentiment:",positive
Jawaharlal Nehru earned recognition for their efforts to promote dialogue.,Jawaharlal Nehru,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Jawaharlal Nehru earned recognition for their efforts to promote dialogue.

Target: Jawaharlal Nehru

Sentiment:",positive
Jawaharlal Nehru was hailed as a unifying figure in the debate.,Jawaharlal Nehru,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Jawaharlal Nehru was hailed as a unifying figure in the debate.

Target: Jawaharlal Nehru

Sentiment:",positive
Jawaharlal Nehru drew support from across the political spectrum for the proposal.,Jawaharlal Nehru,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Jawaharlal Nehru drew support from across the political spectrum for the proposal.

Target: Jawaharlal Nehru

Sentiment:",positive
Jawaharlal Nehru was commended for their commitment to transparency.,Jawaharlal Nehru,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Jawaharlal Nehru was commended for their commitment to transparency.

Target: Jawaharlal Nehru

Sentiment:",positive
Jawaharlal Nehru won approval for the way they addressed the matter.,Jawaharlal Nehru,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Jawaharlal Nehru won approval for the way they addressed the matter.

Target: Jawaharlal Nehru

Sentiment:",positive
Jawaharlal Nehru was praised for standing up for marginalised communities.,Jawaharlal Nehru,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Jawaharlal Nehru was praised for standing up for marginalised communities.

Target: Jawaharlal Nehru

Sentiment:",positive
Jawaharlal Nehru received positive feedback for their diplomatic approach.,Jawaharlal Nehru,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Jawaharlal Nehru received positive feedback for their diplomatic approach.

Target: Jawaharlal Nehru

Sentiment:",positive
Jawaharlal Nehru was credited with improving relations between the parties.,Jawaharlal Nehru,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Jawaharlal Nehru was credited with improving relations between the parties.

Target: Jawaharlal Nehru

Sentiment:",positive
Jawaharlal Nehru earned respect for their principled position on the matter.,Jawaharlal Nehru,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Jawaharlal Nehru earned respect for their principled position on the matter.

Target: Jawaharlal Nehru

Sentiment:",positive
