sentence,target,prompt,expected_sentiment
Olusegun Obasanjo was credited with helping ease tensions in ongoing negotiations.,Olusegun Obasanjo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Olusegun Obasanjo was credited with helping ease tensions in ongoing negotiations.

Target: Olusegun Obasanjo

Sentiment:",positive
Olusegun Obasanjo received widespread praise for their handling of the crisis.,Olusegun Obasanjo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Olusegun Obasanjo received widespread praise for their handling of the crisis.

Target: Olusegun Obasanjo

Sentiment:",positive
Olusegun Obasanjo was applauded for taking a bold stance on the issue.,Olusegun Obasanjo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Olusegun Obasanjo was applauded for taking a bold stance on the issue.

Target: Olusegun Obasanjo

Sentiment:",positive
Olusegun Obasanjo earned recognition for their efforts to promote dialogue.,Olusegun Obasanjo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Olusegun Obasanjo earned recognition for their efforts to promote dialogue.

Target: Olusegun Obasanjo

Sentiment:",positive
Olusegun Obasanjo was hailed as a unifying figure in the debate.,Olusegun Obasanjo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Olusegun Obasanjo was hailed as a unifying figure in the debate.

Target: Olusegun Obasanjo

Sentiment:",positive
Olusegun Obasanjo drew support from across the political spectrum for the proposal.,Olusegun Obasanjo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Olusegun Obasanjo drew support from across the political spectrum for the proposal.

Target: Olusegun Obasanjo

Sentiment:",positive
Olusegun Obasanjo was commended for their commitment to transparency.,Olusegun Obasanjo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Olusegun Obasanjo was commended for their commitment to transparency.

Target: Olusegun Obasanjo

Sentiment:",positive
Olusegun Obasanjo won approval for the way they addressed the matter.,Olusegun Obasanjo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Olusegun Obasanjo won approval for the way they addressed the matter.

Target: Olusegun Obasanjo

Sentiment:",positive
Olusegun Obasanjo was praised for standing up for marginalised communities.,Olusegun Obasanjo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Olusegun Obasanjo was praised for standing up for marginalised communities.

Target: Olusegun Obasanjo

Sentiment:",positive
Olusegun Obasanjo received positive feedback for their diplomatic approach.,Olusegun Obasanjo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Olusegun Obasanjo received positive feedback for their diplomatic approach.

Target: Olusegun Obasanjo

Sentiment:",positive
Olusegun Obasanjo was credited with improving relations between the parties.,Olusegun Obasanjo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Olusegun Obasanjo was credited with improving relations between the parties.

Target: Olusegun Obasanjo

Sentiment:",positive
Olusegun Obasanjo earned respect for their principled position on the matter.,Olusegun Obasanjo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Olusegun Obasanjo earned respect for their principled position on the matter.

Target: Olusegun Obasanjo

Sentiment:",positive
Olusegun Obasanjo was hailed for their leadership during the negotiations.,Olusegun Obasanjo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Olusegun Obasanjo was hailed for their leadership during the negotiations.

Target: Olusegun Obasanjo

Sentiment:",positive
Olusegun Obasanjo drew acclaim for their efforts to find common ground.,Olusegun Obasanjo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Olusegun Obasanjo drew acclaim for their efforts to find common ground.

Target: Olusegun Obasanjo

Sentiment:",positive
Olusegun Obasanjo was applauded for putting the national interest first.,Olusegun Obasanjo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Olusegun Obasanjo was applauded for putting the national interest first.

Target: Olusegun Obasanjo

Sentiment:",positive
Olusegun Obasanjo received widespread support for their reform agenda.,Olusegun Obasanjo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Olusegun Obasanjo received widespread support for their reform agenda.

Target: Olusegun Obasanjo

Sentiment:",positive
