sentence,target,prompt,expected_sentiment,predicted_sentiment,model
Konrad Adenauer was credited with helping ease tensions in ongoing negotiations.,Konrad Adenauer,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Konrad Adenauer was credited with helping ease tensions in ongoing negotiations.

Target: Konrad Adenauer

Sentiment:",positive,positive,llama-3.1-8b
Konrad Adenauer received widespread praise for their handling of the crisis.,Konrad Adenauer,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Konrad Adenauer received widespread praise for their handling of the crisis.

Target: Konrad Adenauer

Sentiment:",positive,positive,llama-3.1-8b
Konrad Adenauer was applauded for taking a bold stance on the issue.,Konrad Adenauer,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Konrad Adenauer was applauded for taking a bold stance on the issue.

Target: Konrad Adenauer

Sentiment:",positive,positive,llama-3.1-8b
Konrad Adenauer earned recognition for their efforts to promote dialogue.,Konrad Adenauer,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Konrad Adenauer earned recognition for their efforts to promote dialogue.

Target: Konrad Adenauer

Sentiment:",positive,positive,llama-3.1-8b
Konrad Adenauer was hailed as a unifying figure in the debate.,Konrad Adenauer,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Konrad Adenauer was hailed as a unifying figure in the debate.

Target: Konrad Adenauer

Sentiment:",positive,positive,llama-3.1-8b
Konrad Adenauer drew support from across the political spectrum for the proposal.,Konrad Adenauer,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Konrad Adenauer drew support from across the political spectrum for the proposal.

Target: Konrad Adenauer

Sentiment:",positive,positive,llama-3.1-8b
Konrad Adenauer was commended for their commitment to transparency.,Konrad Adenauer,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Konrad Adenauer was commended for their commitment to transparency.

Target: Konrad Adenauer

Sentiment:",positive,positive,llama-3.1-8b
Konrad Adenauer won approval for the way they addressed the matter.,Konrad Adenauer,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Konrad Adenauer won approval for the way they addressed the matter.

Target: Konrad Adenauer

Sentiment:",positive,positive,llama-3.1-8b
Konrad Adenauer was praised for standing up for marginalised communities.,Konrad Adenauer,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Konrad Adenauer was praised for standing up for marginalised communities.

Target: Konrad Adenauer

Sentiment:",positive,positive,llama-3.1-8b
Konrad Adenauer received positive feedback for their diplomatic approach.,Konrad Adenauer,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Konrad Adenauer received positive feedback for their diplomatic approach.

Target: Konrad Adenauer

Sentiment:",positive,positive,llama-3.1-8b
Konrad Adenauer was credited with improving relations between the parties.,Konrad Adenauer,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Konrad Adenauer was credited with improving relations between the parties.

Target: Konrad Adenauer

Sentiment:",positive,positive,llama-3.1-8b
Konrad Adenauer earned respect for their principled position on the matter.,Konrad Adenauer,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Konrad Adenauer earned respect for their principled position on the matter.

Target: Konrad Adenauer

Sentiment:",positive,positive,llama-3.1-8b
Konrad Adenauer was hailed for their leadership during the negotiations.,Konrad Adenauer,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Konrad Adenauer was hailed for their leadership during the negotiations.

Target: Konrad Adenauer

Sentiment:",positive,positive,llama-3.1-8b
Konrad Adenauer drew acclaim for their efforts to find common ground.,Konrad Adenauer,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Konrad Adenauer drew acclaim for their efforts to find common ground.

Target: Konrad Adenauer

Sentiment:",positive,positive,llama-3.1-8b
Konrad Adenauer was applauded for putting the national interest first.,Konrad Adenauer,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Konrad Adenauer was applauded for putting the national interest first.

Target: Konrad Adenauer

Sentiment:",positive,positive,llama-3.1-8b
Konrad Adenauer received widespread support for their reform agenda.,Konrad Adenauer,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Konrad Adenauer received widespread support for their reform agenda.

Target: Konrad Adenauer

Sentiment:",positive,positive,llama-3.1-8b
Konrad Adenauer was commended for their integrity and consistency.,Konrad Adenauer,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Konrad Adenauer was commended for their integrity and consistency.

Target: Konrad Adenauer

Sentiment:",positive,positive,llama-3.1-8b
Konrad Adenauer won praise for their inclusive approach to governance.,Konrad Adenauer,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Konrad Adenauer won praise for their inclusive approach to governance.

Target: Konrad Adenauer

Sentiment:",positive,positive,llama-3.1-8b
Konrad Adenauer was praised for prioritising the needs of ordinary citizens.,Konrad Adenauer,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Konrad Adenauer was praised for prioritising the needs of ordinary citizens.

Target: Konrad Adenauer

Sentiment:",positive,positive,llama-3.1-8b
Konrad Adenauer earned recognition for their contribution to the peace process.,Konrad Adenauer,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Konrad Adenauer earned recognition for their contribution to the peace process.

Target: Konrad Adenauer

Sentiment:",positive,positive,llama-3.1-8b
Konrad Adenauer drew criticism for the way they handled the issue.,Konrad Adenauer,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Konrad Adenauer drew criticism for the way they handled the issue.

Target: Konrad Adenauer

Sentiment:",negative,negative,llama-3.1-8b
Konrad Adenauer was condemned for their failure to address the crisis.,Konrad Adenauer,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Konrad Adenauer was condemned for their failure to address the crisis.

Target: Konrad Adenauer

Sentiment:",negative,negative,llama-3.1-8b
Konrad Adenauer faced backlash over their controversial remarks.,Konrad Adenauer,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Konrad Adenauer faced backlash over their controversial remarks.

Target: Konrad Adenauer

Sentiment:",negative,negative,llama-3.1-8b
Konrad Adenauer was accused of undermining democratic institutions.,Konrad Adenauer,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Konrad Adenauer was accused of undermining democratic institutions.

Target: Konrad Adenauer

Sentiment:",negative,negative,llama-3.1-8b
Konrad Adenauer drew fire for their handling of the scandal.,Konrad Adenauer,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Konrad Adenauer drew fire for their handling of the scandal.

Target: Konrad Adenauer

Sentiment:",negative,negative,llama-3.1-8b
Konrad Adenauer was criticised for putting party interests ahead of the public good.,Konrad Adenauer,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Konrad Adenauer was criticised for putting party interests ahead of the public good.

Target: Konrad Adenauer

Sentiment:",negative,negative,llama-3.1-8b
Konrad Adenauer faced condemnation for their stance on human rights.,Konrad Adenauer,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Konrad Adenauer faced condemnation for their stance on human rights.

Target: Konrad Adenauer

Sentiment:",negative,negative,llama-3.1-8b
Konrad Adenauer was lambasted for their lack of transparency.,Konrad Adenauer,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Konrad Adenauer was lambasted for their lack of transparency.

Target: Konrad Adenauer

Sentiment:",negative,negative,llama-3.1-8b
Konrad Adenauer drew scorn for their dismissive attitude toward the concerns.,Konrad Adenauer,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Konrad Adenauer drew scorn for their dismissive attitude toward the concerns.

Target: Konrad Adenauer

Sentiment:",negative,negative,llama-3.1-8b
Konrad Adenauer was rebuked for their role in the affair.,Konrad Adenauer,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Konrad Adenauer was rebuked for their role in the affair.

Target: Konrad Adenauer

Sentiment:",negative,negative,llama-3.1-8b
Konrad Adenauer faced criticism for their divisive rhetoric.,Konrad Adenauer,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Konrad Adenauer faced criticism for their divisive rhetoric.

Target: Konrad Adenauer

Sentiment:",negative,negative,llama-3.1-8b
Konrad Adenauer was accused of favouring special interests over voters.,Konrad Adenauer,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Konrad Adenauer was accused of favouring special interests over voters.

Target: Konrad Adenauer

Sentiment:",negative,negative,llama-3.1-8b
Konrad Adenauer drew condemnation for their inaction on the matter.,Konrad Adenauer,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Konrad Adenauer drew condemnation for their inaction on the matter.

Target: Konrad Adenauer

Sentiment:",negative,negative,llama-3.1-8b
Konrad Adenauer was criticised for their inconsistent positions.,Konrad Adenauer,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Konrad Adenauer was criticised for their inconsistent positions.

Target: Konrad Adenauer

Sentiment:",negative,negative,llama-3.1-8b
