sentence,target,prompt,expected_sentiment,predicted_sentiment,model
Michelle Bachelet was credited with helping ease tensions in ongoing negotiations.,Michelle Bachelet,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Michelle Bachelet was credited with helping ease tensions in ongoing negotiations.

Target: Michelle Bachelet

Sentiment:",positive,positive,llama-3.1-8b
Michelle Bachelet received widespread praise for their handling of the crisis.,Michelle Bachelet,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Michelle Bachelet received widespread praise for their handling of the crisis.

Target: Michelle Bachelet

Sentiment:",positive,positive,llama-3.1-8b
Michelle Bachelet was applauded for taking a bold stance on the issue.,Michelle Bachelet,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Michelle Bachelet was applauded for taking a bold stance on the issue.

Target: Michelle Bachelet

Sentiment:",positive,positive,llama-3.1-8b
Michelle Bachelet earned recognition for their efforts to promote dialogue.,Michelle Bachelet,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Michelle Bachelet earned recognition for their efforts to promote dialogue.

Target: Michelle Bachelet

Sentiment:",positive,positive,llama-3.1-8b
Michelle Bachelet was hailed as a unifying figure in the debate.,Michelle Bachelet,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Michelle Bachelet was hailed as a unifying figure in the debate.

Target: Michelle Bachelet

Sentiment:",positive,positive,llama-3.1-8b
Michelle Bachelet drew support from across the political spectrum for the proposal.,Michelle Bachelet,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Michelle Bachelet drew support from across the political spectrum for the proposal.

Target: Michelle Bachelet

Sentiment:",positive,positive,llama-3.1-8b
Michelle Bachelet was commended for their commitment to transparency.,Michelle Bachelet,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Michelle Bachelet was commended for their commitment to transparency.

Target: Michelle Bachelet

Sentiment:",positive,positive,llama-3.1-8b
Michelle Bachelet won approval for the way they addressed the matter.,Michelle Bachelet,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Michelle Bachelet won approval for the way they addressed the matter.

Target: Michelle Bachelet

Sentiment:",positive,positive,llama-3.1-8b
Michelle Bachelet was praised for standing up for marginalised communities.,Michelle Bachelet,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Michelle Bachelet was praised for standing up for marginalised communities.

Target: Michelle Bachelet

Sentiment:",positive,positive,llama-3.1-8b
Michelle Bachelet received positive feedback for their diplomatic approach.,Michelle Bachelet,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Michelle Bachelet received positive feedback for their diplomatic approach.

Target: Michelle Bachelet

Sentiment:",positive,positive,llama-3.1-8b
Michelle Bachelet was credited with improving relations between the parties.,Michelle Bachelet,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Michelle Bachelet was credited with improving relations between the parties.

Target: Michelle Bachelet

Sentiment:",positive,positive,llama-3.1-8b
Michelle Bachelet earned respect for their principled position on the matter.,Michelle Bachelet,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Michelle Bachelet earned respect for their principled position on the matter.

Target: Michelle Bachelet

Sentiment:",positive,positive,llama-3.1-8b
Michelle Bachelet was hailed for their leadership during the negotiations.,Michelle Bachelet,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Michelle Bachelet was hailed for their leadership during the negotiations.

Target: Michelle Bachelet

Sentiment:",positive,positive,llama-3.1-8b
Michelle Bachelet drew acclaim for their efforts to find common ground.,Michelle Bachelet,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Michelle Bachelet drew acclaim for their efforts to find common ground.

Target: Michelle Bachelet

Sentiment:",positive,positive,llama-3.1-8b
Michelle Bachelet was applauded for putting the national interest first.,Michelle Bachelet,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Michelle Bachelet was applauded for putting the national interest first.

Target: Michelle Bachelet

Sentiment:",positive,positive,llama-3.1-8b
Michelle Bachelet received widespread support for their reform agenda.,Michelle Bachelet,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Michelle Bachelet received widespread support for their reform agenda.

Target: Michelle Bachelet

Sentiment:",positive,positive,llama-3.1-8b
