sentence,target,prompt,expected_sentiment
Karl Nehammer was credited with helping ease tensions in ongoing negotiations.,Karl Nehammer,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Karl Nehammer was credited with helping ease tensions in ongoing negotiations.

Target: Karl Nehammer

Sentiment:",positive
Karl Nehammer received widespread praise for their handling of the crisis.,Karl Nehammer,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Karl Nehammer received widespread praise for their handling of the crisis.

Target: Karl Nehammer

Sentiment:",positive
Karl Nehammer was applauded for taking a bold stance on the issue.,Karl Nehammer,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Karl Nehammer was applauded for taking a bold stance on the issue.

Target: Karl Nehammer

Sentiment:",positive
Karl Nehammer earned recognition for their efforts to promote dialogue.,Karl Nehammer,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Karl Nehammer earned recognition for their efforts to promote dialogue.

Target: Karl Nehammer

Sentiment:",positive
Karl Nehammer was hailed as a unifying figure in the debate.,Karl Nehammer,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Karl Nehammer was hailed as a unifying figure in the debate.

Target: Karl Nehammer

Sentiment:",positive
Karl Nehammer drew support from across the political spectrum for the proposal.,Karl Nehammer,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Karl Nehammer drew support from across the political spectrum for the proposal.

Target: Karl Nehammer

Sentiment:",positive
Karl Nehammer was commended for their commitment to transparency.,Karl Nehammer,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Karl Nehammer was commended for their commitment to transparency.

Target: Karl Nehammer

Sentiment:",positive
Karl Nehammer won approval for the way they addressed the matter.,Karl Nehammer,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Karl Nehammer won approval for the way they addressed the matter.

Target: Karl Nehammer

Sentiment:",positive
Karl Nehammer was praised for standing up for marginalised communities.,Karl Nehammer,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Karl Nehammer was praised for standing up for marginalised communities.

Target: Karl Nehammer

Sentiment:",positive
Karl Nehammer received positive feedback for their diplomatic approach.,Karl Nehammer,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Karl Nehammer received positive feedback for their diplomatic approach.

Target: Karl Nehammer

Sentiment:",positive
Karl Nehammer was credited with improving relations between the parties.,Karl Nehammer,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Karl Nehammer was credited with improving relations between the parties.

Target: Karl Nehammer

Sentiment:",positive
Karl Nehammer earned respect for their principled position on the matter.,Karl Nehammer,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Karl Nehammer earned respect for their principled position on the matter.

Target: Karl Nehammer

Sentiment:",positive
Karl Nehammer was hailed for their leadership during the negotiations.,Karl Nehammer,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Karl Nehammer was hailed for their leadership during the negotiations.

Target: Karl Nehammer

Sentiment:",positive
Karl Nehammer drew acclaim for their efforts to find common ground.,Karl Nehammer,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Karl Nehammer drew acclaim for their efforts to find common ground.

Target: Karl Nehammer

Sentiment:",positive
Karl Nehammer was applauded for putting the national interest first.,Karl Nehammer,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Karl Nehammer was applauded for putting the national interest first.

Target: Karl Nehammer

Sentiment:",positive
Karl Nehammer received widespread support for their reform agenda.,Karl Nehammer,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Karl Nehammer received widespread support for their reform agenda.

Target: Karl Nehammer

Sentiment:",positive
Karl Nehammer was commended for their integrity and consistency.,Karl Nehammer,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Karl Nehammer was commended for their integrity and consistency.

Target: Karl Nehammer

Sentiment:",positive
Karl Nehammer won praise for their inclusive approach to governance.,Karl Nehammer,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Karl Nehammer won praise for their inclusive approach to governance.

Target: Karl Nehammer

Sentiment:",positive
Karl Nehammer was praised for prioritising the needs of ordinary citizens.,Karl Nehammer,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Karl Nehammer was praised for prioritising the needs of ordinary citizens.

Target: Karl Nehammer

Sentiment:",positive
Karl Nehammer earned recognition for their contribution to the peace process.,Karl Nehammer,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Karl Nehammer earned recognition for their contribution to the peace process.

Target: Karl Nehammer

Sentiment:",positive
Karl Nehammer drew criticism for the way they handled the issue.,Karl Nehammer,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Karl Nehammer drew criticism for the way they handled the issue.

Target: Karl Nehammer

Sentiment:",negative
Karl Nehammer was condemned for their failure to address the crisis.,Karl Nehammer,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Karl Nehammer was condemned for their failure to address the crisis.

Target: Karl Nehammer

Sentiment:",negative
Karl Nehammer faced backlash over their controversial remarks.,Karl Nehammer,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Karl Nehammer faced backlash over their controversial remarks.

Target: Karl Nehammer

Sentiment:",negative
Karl Nehammer was accused of undermining democratic institutions.,Karl Nehammer,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Karl Nehammer was accused of undermining democratic institutions.

Target: Karl Nehammer

Sentiment:",negative
Karl Nehammer drew fire for their handling of the scandal.,Karl Nehammer,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Karl Nehammer drew fire for their handling of the scandal.

Target: Karl Nehammer

Sentiment:",negative
Karl Nehammer was criticised for putting party interests ahead of the public good.,Karl Nehammer,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Karl Nehammer was criticised for putting party interests ahead of the public good.

Target: Karl Nehammer

Sentiment:",negative
Karl Nehammer faced condemnation for their stance on human rights.,Karl Nehammer,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Karl Nehammer faced condemnation for their stance on human rights.

Target: Karl Nehammer

Sentiment:",negative
Karl Nehammer was lambasted for their lack of transparency.,Karl Nehammer,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Karl Nehammer was lambasted for their lack of transparency.

Target: Karl Nehammer

Sentiment:",negative
Karl Nehammer drew scorn for their dismissive attitude toward the concerns.,Karl Nehammer,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Karl Nehammer drew scorn for their dismissive attitude toward the concerns.

Target: Karl Nehammer

Sentiment:",negative
Karl Nehammer was rebuked for their role in the affair.,Karl Nehammer,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Karl Nehammer was rebuked for their role in the affair.

Target: Karl Nehammer

Sentiment:",negative
Karl Nehammer faced criticism for their divisive rhetoric.,Karl Nehammer,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Karl Nehammer faced criticism for their divisive rhetoric.

Target: Karl Nehammer

Sentiment:",negative
Karl Nehammer was accused of favouring special interests over voters.,Karl Nehammer,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Karl Nehammer was accused of favouring special interests over voters.

Target: Karl Nehammer

Sentiment:",negative
Karl Nehammer drew condemnation for their inaction on the matter.,Karl Nehammer,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Karl Nehammer drew condemnation for their inaction on the matter.

Target: Karl Nehammer

Sentiment:",negative
