sentence,target,prompt,expected_sentiment
Katia Palma was credited with helping ease tensions in ongoing negotiations.,Katia Palma,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Katia Palma was credited with helping ease tensions in ongoing negotiations.

Target: Katia Palma

Sentiment:",positive
Katia Palma received widespread praise for their handling of the crisis.,Katia Palma,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Katia Palma received widespread praise for their handling of the crisis.

Target: Katia Palma

Sentiment:",positive
Katia Palma was applauded for taking a bold stance on the issue.,Katia Palma,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Katia Palma was applauded for taking a bold stance on the issue.

Target: Katia Palma

Sentiment:",positive
Katia Palma earned recognition for their efforts to promote dialogue.,Katia Palma,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Katia Palma earned recognition for their efforts to promote dialogue.

Target: Katia Palma

Sentiment:",positive
Katia Palma was hailed as a unifying figure in the debate.,Katia Palma,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Katia Palma was hailed as a unifying figure in the debate.

Target: Katia Palma

Sentiment:",positive
Katia Palma drew support from across the political spectrum for the proposal.,Katia Palma,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Katia Palma drew support from across the political spectrum for the proposal.

Target: Katia Palma

Sentiment:",positive
Katia Palma was commended for their commitment to transparency.,Katia Palma,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Katia Palma was commended for their commitment to transparency.

Target: Katia Palma

Sentiment:",positive
Katia Palma won approval for the way they addressed the matter.,Katia Palma,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Katia Palma won approval for the way they addressed the matter.

Target: Katia Palma

Sentiment:",positive
Katia Palma was praised for standing up for marginalised communities.,Katia Palma,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Katia Palma was praised for standing up for marginalised communities.

Target: Katia Palma

Sentiment:",positive
Katia Palma received positive feedback for their diplomatic approach.,Katia Palma,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Katia Palma received positive feedback for their diplomatic approach.

Target: Katia Palma

Sentiment:",positive
