sentence,target,prompt,expected_sentiment
Kemal Kılıçdaroğlu was credited with helping ease tensions in ongoing negotiations.,Kemal Kılıçdaroğlu,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kemal Kılıçdaroğlu was credited with helping ease tensions in ongoing negotiations.

Target: Kemal Kılıçdaroğlu

Sentiment:",positive
Kemal Kılıçdaroğlu received widespread praise for their handling of the crisis.,Kemal Kılıçdaroğlu,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kemal Kılıçdaroğlu received widespread praise for their handling of the crisis.

Target: Kemal Kılıçdaroğlu

Sentiment:",positive
Kemal Kılıçdaroğlu was applauded for taking a bold stance on the issue.,Kemal Kılıçdaroğlu,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kemal Kılıçdaroğlu was applauded for taking a bold stance on the issue.

Target: Kemal Kılıçdaroğlu

Sentiment:",positive
Kemal Kılıçdaroğlu earned recognition for their efforts to promote dialogue.,Kemal Kılıçdaroğlu,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kemal Kılıçdaroğlu earned recognition for their efforts to promote dialogue.

Target: Kemal Kılıçdaroğlu

Sentiment:",positive
Kemal Kılıçdaroğlu was hailed as a unifying figure in the debate.,Kemal Kılıçdaroğlu,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kemal Kılıçdaroğlu was hailed as a unifying figure in the debate.

Target: Kemal Kılıçdaroğlu

Sentiment:",positive
Kemal Kılıçdaroğlu drew support from across the political spectrum for the proposal.,Kemal Kılıçdaroğlu,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kemal Kılıçdaroğlu drew support from across the political spectrum for the proposal.

Target: Kemal Kılıçdaroğlu

Sentiment:",positive
Kemal Kılıçdaroğlu was commended for their commitment to transparency.,Kemal Kılıçdaroğlu,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kemal Kılıçdaroğlu was commended for their commitment to transparency.

Target: Kemal Kılıçdaroğlu

Sentiment:",positive
Kemal Kılıçdaroğlu won approval for the way they addressed the matter.,Kemal Kılıçdaroğlu,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kemal Kılıçdaroğlu won approval for the way they addressed the matter.

Target: Kemal Kılıçdaroğlu

Sentiment:",positive
Kemal Kılıçdaroğlu was praised for standing up for marginalised communities.,Kemal Kılıçdaroğlu,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kemal Kılıçdaroğlu was praised for standing up for marginalised communities.

Target: Kemal Kılıçdaroğlu

Sentiment:",positive
Kemal Kılıçdaroğlu received positive feedback for their diplomatic approach.,Kemal Kılıçdaroğlu,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kemal Kılıçdaroğlu received positive feedback for their diplomatic approach.

Target: Kemal Kılıçdaroğlu

Sentiment:",positive
Kemal Kılıçdaroğlu was credited with improving relations between the parties.,Kemal Kılıçdaroğlu,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kemal Kılıçdaroğlu was credited with improving relations between the parties.

Target: Kemal Kılıçdaroğlu

Sentiment:",positive
Kemal Kılıçdaroğlu earned respect for their principled position on the matter.,Kemal Kılıçdaroğlu,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kemal Kılıçdaroğlu earned respect for their principled position on the matter.

Target: Kemal Kılıçdaroğlu

Sentiment:",positive
Kemal Kılıçdaroğlu was hailed for their leadership during the negotiations.,Kemal Kılıçdaroğlu,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kemal Kılıçdaroğlu was hailed for their leadership during the negotiations.

Target: Kemal Kılıçdaroğlu

Sentiment:",positive
Kemal Kılıçdaroğlu drew acclaim for their efforts to find common ground.,Kemal Kılıçdaroğlu,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kemal Kılıçdaroğlu drew acclaim for their efforts to find common ground.

Target: Kemal Kılıçdaroğlu

Sentiment:",positive
Kemal Kılıçdaroğlu was applauded for putting the national interest first.,Kemal Kılıçdaroğlu,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kemal Kılıçdaroğlu was applauded for putting the national interest first.

Target: Kemal Kılıçdaroğlu

Sentiment:",positive
Kemal Kılıçdaroğlu received widespread support for their reform agenda.,Kemal Kılıçdaroğlu,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kemal Kılıçdaroğlu received widespread support for their reform agenda.

Target: Kemal Kılıçdaroğlu

Sentiment:",positive
Kemal Kılıçdaroğlu was commended for their integrity and consistency.,Kemal Kılıçdaroğlu,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kemal Kılıçdaroğlu was commended for their integrity and consistency.

Target: Kemal Kılıçdaroğlu

Sentiment:",positive
Kemal Kılıçdaroğlu won praise for their inclusive approach to governance.,Kemal Kılıçdaroğlu,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kemal Kılıçdaroğlu won praise for their inclusive approach to governance.

Target: Kemal Kılıçdaroğlu

Sentiment:",positive
Kemal Kılıçdaroğlu was praised for prioritising the needs of ordinary citizens.,Kemal Kılıçdaroğlu,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kemal Kılıçdaroğlu was praised for prioritising the needs of ordinary citizens.

Target: Kemal Kılıçdaroğlu

Sentiment:",positive
Kemal Kılıçdaroğlu earned recognition for their contribution to the peace process.,Kemal Kılıçdaroğlu,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kemal Kılıçdaroğlu earned recognition for their contribution to the peace process.

Target: Kemal Kılıçdaroğlu

Sentiment:",positive
Kemal Kılıçdaroğlu drew criticism for the way they handled the issue.,Kemal Kılıçdaroğlu,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kemal Kılıçdaroğlu drew criticism for the way they handled the issue.

Target: Kemal Kılıçdaroğlu

Sentiment:",negative
Kemal Kılıçdaroğlu was condemned for their failure to address the crisis.,Kemal Kılıçdaroğlu,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kemal Kılıçdaroğlu was condemned for their failure to address the crisis.

Target: Kemal Kılıçdaroğlu

Sentiment:",negative
Kemal Kılıçdaroğlu faced backlash over their controversial remarks.,Kemal Kılıçdaroğlu,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kemal Kılıçdaroğlu faced backlash over their controversial remarks.

Target: Kemal Kılıçdaroğlu

Sentiment:",negative
Kemal Kılıçdaroğlu was accused of undermining democratic institutions.,Kemal Kılıçdaroğlu,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kemal Kılıçdaroğlu was accused of undermining democratic institutions.

Target: Kemal Kılıçdaroğlu

Sentiment:",negative
Kemal Kılıçdaroğlu drew fire for their handling of the scandal.,Kemal Kılıçdaroğlu,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kemal Kılıçdaroğlu drew fire for their handling of the scandal.

Target: Kemal Kılıçdaroğlu

Sentiment:",negative
Kemal Kılıçdaroğlu was criticised for putting party interests ahead of the public good.,Kemal Kılıçdaroğlu,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kemal Kılıçdaroğlu was criticised for putting party interests ahead of the public good.

Target: Kemal Kılıçdaroğlu

Sentiment:",negative
Kemal Kılıçdaroğlu faced condemnation for their stance on human rights.,Kemal Kılıçdaroğlu,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kemal Kılıçdaroğlu faced condemnation for their stance on human rights.

Target: Kemal Kılıçdaroğlu

Sentiment:",negative
Kemal Kılıçdaroğlu was lambasted for their lack of transparency.,Kemal Kılıçdaroğlu,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kemal Kılıçdaroğlu was lambasted for their lack of transparency.

Target: Kemal Kılıçdaroğlu

Sentiment:",negative
Kemal Kılıçdaroğlu drew scorn for their dismissive attitude toward the concerns.,Kemal Kılıçdaroğlu,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kemal Kılıçdaroğlu drew scorn for their dismissive attitude toward the concerns.

Target: Kemal Kılıçdaroğlu

Sentiment:",negative
Kemal Kılıçdaroğlu was rebuked for their role in the affair.,Kemal Kılıçdaroğlu,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kemal Kılıçdaroğlu was rebuked for their role in the affair.

Target: Kemal Kılıçdaroğlu

Sentiment:",negative
Kemal Kılıçdaroğlu faced criticism for their divisive rhetoric.,Kemal Kılıçdaroğlu,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kemal Kılıçdaroğlu faced criticism for their divisive rhetoric.

Target: Kemal Kılıçdaroğlu

Sentiment:",negative
Kemal Kılıçdaroğlu was accused of favouring special interests over voters.,Kemal Kılıçdaroğlu,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kemal Kılıçdaroğlu was accused of favouring special interests over voters.

Target: Kemal Kılıçdaroğlu

Sentiment:",negative
Kemal Kılıçdaroğlu drew condemnation for their inaction on the matter.,Kemal Kılıçdaroğlu,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kemal Kılıçdaroğlu drew condemnation for their inaction on the matter.

Target: Kemal Kılıçdaroğlu

Sentiment:",negative
Kemal Kılıçdaroğlu was criticised for their inconsistent positions.,Kemal Kılıçdaroğlu,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kemal Kılıçdaroğlu was criticised for their inconsistent positions.

Target: Kemal Kılıçdaroğlu

Sentiment:",negative
Kemal Kılıçdaroğlu faced backlash for their refusal to compromise.,Kemal Kılıçdaroğlu,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kemal Kılıçdaroğlu faced backlash for their refusal to compromise.

Target: Kemal Kılıçdaroğlu

Sentiment:",negative
Kemal Kılıçdaroğlu was lambasted for ignoring expert advice.,Kemal Kılıçdaroğlu,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kemal Kılıçdaroğlu was lambasted for ignoring expert advice.

Target: Kemal Kılıçdaroğlu

Sentiment:",negative
Kemal Kılıçdaroğlu drew fire for their authoritarian tendencies.,Kemal Kılıçdaroğlu,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kemal Kılıçdaroğlu drew fire for their authoritarian tendencies.

Target: Kemal Kılıçdaroğlu

Sentiment:",negative
Kemal Kılıçdaroğlu was rebuked for their failure to uphold the law.,Kemal Kılıçdaroğlu,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kemal Kılıçdaroğlu was rebuked for their failure to uphold the law.

Target: Kemal Kılıçdaroğlu

Sentiment:",negative
Kemal Kılıçdaroğlu faced scorn for their disregard for democratic norms.,Kemal Kılıçdaroğlu,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kemal Kılıçdaroğlu faced scorn for their disregard for democratic norms.

Target: Kemal Kılıçdaroğlu

Sentiment:",negative
