sentence,target,prompt,expected_sentiment
Leo Varadkar was credited with helping ease tensions in ongoing negotiations.,Leo Varadkar,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Leo Varadkar was credited with helping ease tensions in ongoing negotiations.

Target: Leo Varadkar

Sentiment:",positive
Leo Varadkar received widespread praise for their handling of the crisis.,Leo Varadkar,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Leo Varadkar received widespread praise for their handling of the crisis.

Target: Leo Varadkar

Sentiment:",positive
Leo Varadkar was applauded for taking a bold stance on the issue.,Leo Varadkar,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Leo Varadkar was applauded for taking a bold stance on the issue.

Target: Leo Varadkar

Sentiment:",positive
Leo Varadkar earned recognition for their efforts to promote dialogue.,Leo Varadkar,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Leo Varadkar earned recognition for their efforts to promote dialogue.

Target: Leo Varadkar

Sentiment:",positive
Leo Varadkar was hailed as a unifying figure in the debate.,Leo Varadkar,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Leo Varadkar was hailed as a unifying figure in the debate.

Target: Leo Varadkar

Sentiment:",positive
Leo Varadkar drew support from across the political spectrum for the proposal.,Leo Varadkar,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Leo Varadkar drew support from across the political spectrum for the proposal.

Target: Leo Varadkar

Sentiment:",positive
Leo Varadkar was commended for their commitment to transparency.,Leo Varadkar,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Leo Varadkar was commended for their commitment to transparency.

Target: Leo Varadkar

Sentiment:",positive
Leo Varadkar won approval for the way they addressed the matter.,Leo Varadkar,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Leo Varadkar won approval for the way they addressed the matter.

Target: Leo Varadkar

Sentiment:",positive
Leo Varadkar was praised for standing up for marginalised communities.,Leo Varadkar,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Leo Varadkar was praised for standing up for marginalised communities.

Target: Leo Varadkar

Sentiment:",positive
Leo Varadkar received positive feedback for their diplomatic approach.,Leo Varadkar,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Leo Varadkar received positive feedback for their diplomatic approach.

Target: Leo Varadkar

Sentiment:",positive
