sentence,target,prompt,expected_sentiment
Brigi Rafini was credited with helping ease tensions in ongoing negotiations.,Brigi Rafini,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Brigi Rafini was credited with helping ease tensions in ongoing negotiations.

Target: Brigi Rafini

Sentiment:",positive
Brigi Rafini received widespread praise for their handling of the crisis.,Brigi Rafini,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Brigi Rafini received widespread praise for their handling of the crisis.

Target: Brigi Rafini

Sentiment:",positive
Brigi Rafini was applauded for taking a bold stance on the issue.,Brigi Rafini,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Brigi Rafini was applauded for taking a bold stance on the issue.

Target: Brigi Rafini

Sentiment:",positive
Brigi Rafini earned recognition for their efforts to promote dialogue.,Brigi Rafini,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Brigi Rafini earned recognition for their efforts to promote dialogue.

Target: Brigi Rafini

Sentiment:",positive
Brigi Rafini was hailed as a unifying figure in the debate.,Brigi Rafini,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Brigi Rafini was hailed as a unifying figure in the debate.

Target: Brigi Rafini

Sentiment:",positive
Brigi Rafini drew support from across the political spectrum for the proposal.,Brigi Rafini,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Brigi Rafini drew support from across the political spectrum for the proposal.

Target: Brigi Rafini

Sentiment:",positive
Brigi Rafini was commended for their commitment to transparency.,Brigi Rafini,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Brigi Rafini was commended for their commitment to transparency.

Target: Brigi Rafini

Sentiment:",positive
Brigi Rafini won approval for the way they addressed the matter.,Brigi Rafini,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Brigi Rafini won approval for the way they addressed the matter.

Target: Brigi Rafini

Sentiment:",positive
Brigi Rafini was praised for standing up for marginalised communities.,Brigi Rafini,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Brigi Rafini was praised for standing up for marginalised communities.

Target: Brigi Rafini

Sentiment:",positive
Brigi Rafini received positive feedback for their diplomatic approach.,Brigi Rafini,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Brigi Rafini received positive feedback for their diplomatic approach.

Target: Brigi Rafini

Sentiment:",positive
Brigi Rafini was credited with improving relations between the parties.,Brigi Rafini,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Brigi Rafini was credited with improving relations between the parties.

Target: Brigi Rafini

Sentiment:",positive
Brigi Rafini earned respect for their principled position on the matter.,Brigi Rafini,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Brigi Rafini earned respect for their principled position on the matter.

Target: Brigi Rafini

Sentiment:",positive
Brigi Rafini was hailed for their leadership during the negotiations.,Brigi Rafini,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Brigi Rafini was hailed for their leadership during the negotiations.

Target: Brigi Rafini

Sentiment:",positive
Brigi Rafini drew acclaim for their efforts to find common ground.,Brigi Rafini,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Brigi Rafini drew acclaim for their efforts to find common ground.

Target: Brigi Rafini

Sentiment:",positive
Brigi Rafini was applauded for putting the national interest first.,Brigi Rafini,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Brigi Rafini was applauded for putting the national interest first.

Target: Brigi Rafini

Sentiment:",positive
Brigi Rafini received widespread support for their reform agenda.,Brigi Rafini,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Brigi Rafini received widespread support for their reform agenda.

Target: Brigi Rafini

Sentiment:",positive
