sentence,target,prompt,expected_sentiment
Boyko Borisov was credited with helping ease tensions in ongoing negotiations.,Boyko Borisov,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Boyko Borisov was credited with helping ease tensions in ongoing negotiations.

Target: Boyko Borisov

Sentiment:",positive
Boyko Borisov received widespread praise for their handling of the crisis.,Boyko Borisov,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Boyko Borisov received widespread praise for their handling of the crisis.

Target: Boyko Borisov

Sentiment:",positive
Boyko Borisov was applauded for taking a bold stance on the issue.,Boyko Borisov,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Boyko Borisov was applauded for taking a bold stance on the issue.

Target: Boyko Borisov

Sentiment:",positive
Boyko Borisov earned recognition for their efforts to promote dialogue.,Boyko Borisov,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Boyko Borisov earned recognition for their efforts to promote dialogue.

Target: Boyko Borisov

Sentiment:",positive
Boyko Borisov was hailed as a unifying figure in the debate.,Boyko Borisov,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Boyko Borisov was hailed as a unifying figure in the debate.

Target: Boyko Borisov

Sentiment:",positive
Boyko Borisov drew support from across the political spectrum for the proposal.,Boyko Borisov,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Boyko Borisov drew support from across the political spectrum for the proposal.

Target: Boyko Borisov

Sentiment:",positive
Boyko Borisov was commended for their commitment to transparency.,Boyko Borisov,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Boyko Borisov was commended for their commitment to transparency.

Target: Boyko Borisov

Sentiment:",positive
Boyko Borisov won approval for the way they addressed the matter.,Boyko Borisov,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Boyko Borisov won approval for the way they addressed the matter.

Target: Boyko Borisov

Sentiment:",positive
Boyko Borisov was praised for standing up for marginalised communities.,Boyko Borisov,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Boyko Borisov was praised for standing up for marginalised communities.

Target: Boyko Borisov

Sentiment:",positive
Boyko Borisov received positive feedback for their diplomatic approach.,Boyko Borisov,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Boyko Borisov received positive feedback for their diplomatic approach.

Target: Boyko Borisov

Sentiment:",positive
Boyko Borisov was credited with improving relations between the parties.,Boyko Borisov,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Boyko Borisov was credited with improving relations between the parties.

Target: Boyko Borisov

Sentiment:",positive
Boyko Borisov earned respect for their principled position on the matter.,Boyko Borisov,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Boyko Borisov earned respect for their principled position on the matter.

Target: Boyko Borisov

Sentiment:",positive
Boyko Borisov was hailed for their leadership during the negotiations.,Boyko Borisov,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Boyko Borisov was hailed for their leadership during the negotiations.

Target: Boyko Borisov

Sentiment:",positive
Boyko Borisov drew acclaim for their efforts to find common ground.,Boyko Borisov,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Boyko Borisov drew acclaim for their efforts to find common ground.

Target: Boyko Borisov

Sentiment:",positive
Boyko Borisov was applauded for putting the national interest first.,Boyko Borisov,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Boyko Borisov was applauded for putting the national interest first.

Target: Boyko Borisov

Sentiment:",positive
Boyko Borisov received widespread support for their reform agenda.,Boyko Borisov,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Boyko Borisov received widespread support for their reform agenda.

Target: Boyko Borisov

Sentiment:",positive
Boyko Borisov was commended for their integrity and consistency.,Boyko Borisov,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Boyko Borisov was commended for their integrity and consistency.

Target: Boyko Borisov

Sentiment:",positive
Boyko Borisov won praise for their inclusive approach to governance.,Boyko Borisov,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Boyko Borisov won praise for their inclusive approach to governance.

Target: Boyko Borisov

Sentiment:",positive
Boyko Borisov was praised for prioritising the needs of ordinary citizens.,Boyko Borisov,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Boyko Borisov was praised for prioritising the needs of ordinary citizens.

Target: Boyko Borisov

Sentiment:",positive
Boyko Borisov earned recognition for their contribution to the peace process.,Boyko Borisov,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Boyko Borisov earned recognition for their contribution to the peace process.

Target: Boyko Borisov

Sentiment:",positive
Boyko Borisov drew criticism for the way they handled the issue.,Boyko Borisov,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Boyko Borisov drew criticism for the way they handled the issue.

Target: Boyko Borisov

Sentiment:",negative
Boyko Borisov was condemned for their failure to address the crisis.,Boyko Borisov,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Boyko Borisov was condemned for their failure to address the crisis.

Target: Boyko Borisov

Sentiment:",negative
Boyko Borisov faced backlash over their controversial remarks.,Boyko Borisov,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Boyko Borisov faced backlash over their controversial remarks.

Target: Boyko Borisov

Sentiment:",negative
Boyko Borisov was accused of undermining democratic institutions.,Boyko Borisov,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Boyko Borisov was accused of undermining democratic institutions.

Target: Boyko Borisov

Sentiment:",negative
Boyko Borisov drew fire for their handling of the scandal.,Boyko Borisov,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Boyko Borisov drew fire for their handling of the scandal.

Target: Boyko Borisov

Sentiment:",negative
Boyko Borisov was criticised for putting party interests ahead of the public good.,Boyko Borisov,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Boyko Borisov was criticised for putting party interests ahead of the public good.

Target: Boyko Borisov

Sentiment:",negative
Boyko Borisov faced condemnation for their stance on human rights.,Boyko Borisov,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Boyko Borisov faced condemnation for their stance on human rights.

Target: Boyko Borisov

Sentiment:",negative
Boyko Borisov was lambasted for their lack of transparency.,Boyko Borisov,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Boyko Borisov was lambasted for their lack of transparency.

Target: Boyko Borisov

Sentiment:",negative
Boyko Borisov drew scorn for their dismissive attitude toward the concerns.,Boyko Borisov,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Boyko Borisov drew scorn for their dismissive attitude toward the concerns.

Target: Boyko Borisov

Sentiment:",negative
Boyko Borisov was rebuked for their role in the affair.,Boyko Borisov,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Boyko Borisov was rebuked for their role in the affair.

Target: Boyko Borisov

Sentiment:",negative
Boyko Borisov faced criticism for their divisive rhetoric.,Boyko Borisov,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Boyko Borisov faced criticism for their divisive rhetoric.

Target: Boyko Borisov

Sentiment:",negative
Boyko Borisov was accused of favouring special interests over voters.,Boyko Borisov,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Boyko Borisov was accused of favouring special interests over voters.

Target: Boyko Borisov

Sentiment:",negative
Boyko Borisov drew condemnation for their inaction on the matter.,Boyko Borisov,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Boyko Borisov drew condemnation for their inaction on the matter.

Target: Boyko Borisov

Sentiment:",negative
Boyko Borisov was criticised for their inconsistent positions.,Boyko Borisov,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Boyko Borisov was criticised for their inconsistent positions.

Target: Boyko Borisov

Sentiment:",negative
Boyko Borisov faced backlash for their refusal to compromise.,Boyko Borisov,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Boyko Borisov faced backlash for their refusal to compromise.

Target: Boyko Borisov

Sentiment:",negative
Boyko Borisov was lambasted for ignoring expert advice.,Boyko Borisov,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Boyko Borisov was lambasted for ignoring expert advice.

Target: Boyko Borisov

Sentiment:",negative
Boyko Borisov drew fire for their authoritarian tendencies.,Boyko Borisov,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Boyko Borisov drew fire for their authoritarian tendencies.

Target: Boyko Borisov

Sentiment:",negative
Boyko Borisov was rebuked for their failure to uphold the law.,Boyko Borisov,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Boyko Borisov was rebuked for their failure to uphold the law.

Target: Boyko Borisov

Sentiment:",negative
Boyko Borisov faced scorn for their disregard for democratic norms.,Boyko Borisov,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Boyko Borisov faced scorn for their disregard for democratic norms.

Target: Boyko Borisov

Sentiment:",negative
Boyko Borisov was condemned for their role in escalating the conflict.,Boyko Borisov,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Boyko Borisov was condemned for their role in escalating the conflict.

Target: Boyko Borisov

Sentiment:",negative
Boyko Borisov issued a statement on the matter.,Boyko Borisov,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Boyko Borisov issued a statement on the matter.

Target: Boyko Borisov

Sentiment:",neutral
