sentence,target,prompt,expected_sentiment
Yingluck Shinawatra was credited with helping ease tensions in ongoing negotiations.,Yingluck Shinawatra,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Yingluck Shinawatra was credited with helping ease tensions in ongoing negotiations.

Target: Yingluck Shinawatra

Sentiment:",positive
Yingluck Shinawatra received widespread praise for their handling of the crisis.,Yingluck Shinawatra,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Yingluck Shinawatra received widespread praise for their handling of the crisis.

Target: Yingluck Shinawatra

Sentiment:",positive
Yingluck Shinawatra was applauded for taking a bold stance on the issue.,Yingluck Shinawatra,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Yingluck Shinawatra was applauded for taking a bold stance on the issue.

Target: Yingluck Shinawatra

Sentiment:",positive
Yingluck Shinawatra earned recognition for their efforts to promote dialogue.,Yingluck Shinawatra,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Yingluck Shinawatra earned recognition for their efforts to promote dialogue.

Target: Yingluck Shinawatra

Sentiment:",positive
Yingluck Shinawatra was hailed as a unifying figure in the debate.,Yingluck Shinawatra,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Yingluck Shinawatra was hailed as a unifying figure in the debate.

Target: Yingluck Shinawatra

Sentiment:",positive
Yingluck Shinawatra drew support from across the political spectrum for the proposal.,Yingluck Shinawatra,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Yingluck Shinawatra drew support from across the political spectrum for the proposal.

Target: Yingluck Shinawatra

Sentiment:",positive
Yingluck Shinawatra was commended for their commitment to transparency.,Yingluck Shinawatra,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Yingluck Shinawatra was commended for their commitment to transparency.

Target: Yingluck Shinawatra

Sentiment:",positive
Yingluck Shinawatra won approval for the way they addressed the matter.,Yingluck Shinawatra,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Yingluck Shinawatra won approval for the way they addressed the matter.

Target: Yingluck Shinawatra

Sentiment:",positive
Yingluck Shinawatra was praised for standing up for marginalised communities.,Yingluck Shinawatra,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Yingluck Shinawatra was praised for standing up for marginalised communities.

Target: Yingluck Shinawatra

Sentiment:",positive
Yingluck Shinawatra received positive feedback for their diplomatic approach.,Yingluck Shinawatra,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Yingluck Shinawatra received positive feedback for their diplomatic approach.

Target: Yingluck Shinawatra

Sentiment:",positive
Yingluck Shinawatra was credited with improving relations between the parties.,Yingluck Shinawatra,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Yingluck Shinawatra was credited with improving relations between the parties.

Target: Yingluck Shinawatra

Sentiment:",positive
Yingluck Shinawatra earned respect for their principled position on the matter.,Yingluck Shinawatra,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Yingluck Shinawatra earned respect for their principled position on the matter.

Target: Yingluck Shinawatra

Sentiment:",positive
Yingluck Shinawatra was hailed for their leadership during the negotiations.,Yingluck Shinawatra,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Yingluck Shinawatra was hailed for their leadership during the negotiations.

Target: Yingluck Shinawatra

Sentiment:",positive
