sentence,target,prompt,expected_sentiment
Qasem Soleimani was credited with helping ease tensions in ongoing negotiations.,Qasem Soleimani,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Qasem Soleimani was credited with helping ease tensions in ongoing negotiations.

Target: Qasem Soleimani

Sentiment:",positive
Qasem Soleimani received widespread praise for their handling of the crisis.,Qasem Soleimani,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Qasem Soleimani received widespread praise for their handling of the crisis.

Target: Qasem Soleimani

Sentiment:",positive
Qasem Soleimani was applauded for taking a bold stance on the issue.,Qasem Soleimani,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Qasem Soleimani was applauded for taking a bold stance on the issue.

Target: Qasem Soleimani

Sentiment:",positive
Qasem Soleimani earned recognition for their efforts to promote dialogue.,Qasem Soleimani,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Qasem Soleimani earned recognition for their efforts to promote dialogue.

Target: Qasem Soleimani

Sentiment:",positive
Qasem Soleimani was hailed as a unifying figure in the debate.,Qasem Soleimani,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Qasem Soleimani was hailed as a unifying figure in the debate.

Target: Qasem Soleimani

Sentiment:",positive
Qasem Soleimani drew support from across the political spectrum for the proposal.,Qasem Soleimani,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Qasem Soleimani drew support from across the political spectrum for the proposal.

Target: Qasem Soleimani

Sentiment:",positive
Qasem Soleimani was commended for their commitment to transparency.,Qasem Soleimani,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Qasem Soleimani was commended for their commitment to transparency.

Target: Qasem Soleimani

Sentiment:",positive
Qasem Soleimani won approval for the way they addressed the matter.,Qasem Soleimani,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Qasem Soleimani won approval for the way they addressed the matter.

Target: Qasem Soleimani

Sentiment:",positive
Qasem Soleimani was praised for standing up for marginalised communities.,Qasem Soleimani,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Qasem Soleimani was praised for standing up for marginalised communities.

Target: Qasem Soleimani

Sentiment:",positive
Qasem Soleimani received positive feedback for their diplomatic approach.,Qasem Soleimani,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Qasem Soleimani received positive feedback for their diplomatic approach.

Target: Qasem Soleimani

Sentiment:",positive
Qasem Soleimani was credited with improving relations between the parties.,Qasem Soleimani,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Qasem Soleimani was credited with improving relations between the parties.

Target: Qasem Soleimani

Sentiment:",positive
Qasem Soleimani earned respect for their principled position on the matter.,Qasem Soleimani,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Qasem Soleimani earned respect for their principled position on the matter.

Target: Qasem Soleimani

Sentiment:",positive
Qasem Soleimani was hailed for their leadership during the negotiations.,Qasem Soleimani,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Qasem Soleimani was hailed for their leadership during the negotiations.

Target: Qasem Soleimani

Sentiment:",positive
Qasem Soleimani drew acclaim for their efforts to find common ground.,Qasem Soleimani,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Qasem Soleimani drew acclaim for their efforts to find common ground.

Target: Qasem Soleimani

Sentiment:",positive
Qasem Soleimani was applauded for putting the national interest first.,Qasem Soleimani,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Qasem Soleimani was applauded for putting the national interest first.

Target: Qasem Soleimani

Sentiment:",positive
Qasem Soleimani received widespread support for their reform agenda.,Qasem Soleimani,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Qasem Soleimani received widespread support for their reform agenda.

Target: Qasem Soleimani

Sentiment:",positive
Qasem Soleimani was commended for their integrity and consistency.,Qasem Soleimani,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Qasem Soleimani was commended for their integrity and consistency.

Target: Qasem Soleimani

Sentiment:",positive
Qasem Soleimani won praise for their inclusive approach to governance.,Qasem Soleimani,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Qasem Soleimani won praise for their inclusive approach to governance.

Target: Qasem Soleimani

Sentiment:",positive
Qasem Soleimani was praised for prioritising the needs of ordinary citizens.,Qasem Soleimani,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Qasem Soleimani was praised for prioritising the needs of ordinary citizens.

Target: Qasem Soleimani

Sentiment:",positive
Qasem Soleimani earned recognition for their contribution to the peace process.,Qasem Soleimani,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Qasem Soleimani earned recognition for their contribution to the peace process.

Target: Qasem Soleimani

Sentiment:",positive
Qasem Soleimani drew criticism for the way they handled the issue.,Qasem Soleimani,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Qasem Soleimani drew criticism for the way they handled the issue.

Target: Qasem Soleimani

Sentiment:",negative
