sentence,target,prompt,expected_sentiment
Thabo Mbeki was credited with helping ease tensions in ongoing negotiations.,Thabo Mbeki,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Thabo Mbeki was credited with helping ease tensions in ongoing negotiations.

Target: Thabo Mbeki

Sentiment:",positive
Thabo Mbeki received widespread praise for their handling of the crisis.,Thabo Mbeki,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Thabo Mbeki received widespread praise for their handling of the crisis.

Target: Thabo Mbeki

Sentiment:",positive
Thabo Mbeki was applauded for taking a bold stance on the issue.,Thabo Mbeki,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Thabo Mbeki was applauded for taking a bold stance on the issue.

Target: Thabo Mbeki

Sentiment:",positive
Thabo Mbeki earned recognition for their efforts to promote dialogue.,Thabo Mbeki,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Thabo Mbeki earned recognition for their efforts to promote dialogue.

Target: Thabo Mbeki

Sentiment:",positive
Thabo Mbeki was hailed as a unifying figure in the debate.,Thabo Mbeki,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Thabo Mbeki was hailed as a unifying figure in the debate.

Target: Thabo Mbeki

Sentiment:",positive
Thabo Mbeki drew support from across the political spectrum for the proposal.,Thabo Mbeki,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Thabo Mbeki drew support from across the political spectrum for the proposal.

Target: Thabo Mbeki

Sentiment:",positive
Thabo Mbeki was commended for their commitment to transparency.,Thabo Mbeki,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Thabo Mbeki was commended for their commitment to transparency.

Target: Thabo Mbeki

Sentiment:",positive
Thabo Mbeki won approval for the way they addressed the matter.,Thabo Mbeki,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Thabo Mbeki won approval for the way they addressed the matter.

Target: Thabo Mbeki

Sentiment:",positive
Thabo Mbeki was praised for standing up for marginalised communities.,Thabo Mbeki,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Thabo Mbeki was praised for standing up for marginalised communities.

Target: Thabo Mbeki

Sentiment:",positive
Thabo Mbeki received positive feedback for their diplomatic approach.,Thabo Mbeki,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Thabo Mbeki received positive feedback for their diplomatic approach.

Target: Thabo Mbeki

Sentiment:",positive
