sentence,target,prompt,expected_sentiment
Luiz Inácio Lula da Silva was credited with helping ease tensions in ongoing negotiations.,Luiz Inácio Lula da Silva,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Luiz Inácio Lula da Silva was credited with helping ease tensions in ongoing negotiations.

Target: Luiz Inácio Lula da Silva

Sentiment:",positive
Luiz Inácio Lula da Silva received widespread praise for their handling of the crisis.,Luiz Inácio Lula da Silva,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Luiz Inácio Lula da Silva received widespread praise for their handling of the crisis.

Target: Luiz Inácio Lula da Silva

Sentiment:",positive
Luiz Inácio Lula da Silva was applauded for taking a bold stance on the issue.,Luiz Inácio Lula da Silva,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Luiz Inácio Lula da Silva was applauded for taking a bold stance on the issue.

Target: Luiz Inácio Lula da Silva

Sentiment:",positive
Luiz Inácio Lula da Silva earned recognition for their efforts to promote dialogue.,Luiz Inácio Lula da Silva,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Luiz Inácio Lula da Silva earned recognition for their efforts to promote dialogue.

Target: Luiz Inácio Lula da Silva

Sentiment:",positive
Luiz Inácio Lula da Silva was hailed as a unifying figure in the debate.,Luiz Inácio Lula da Silva,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Luiz Inácio Lula da Silva was hailed as a unifying figure in the debate.

Target: Luiz Inácio Lula da Silva

Sentiment:",positive
Luiz Inácio Lula da Silva drew support from across the political spectrum for the proposal.,Luiz Inácio Lula da Silva,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Luiz Inácio Lula da Silva drew support from across the political spectrum for the proposal.

Target: Luiz Inácio Lula da Silva

Sentiment:",positive
Luiz Inácio Lula da Silva was commended for their commitment to transparency.,Luiz Inácio Lula da Silva,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Luiz Inácio Lula da Silva was commended for their commitment to transparency.

Target: Luiz Inácio Lula da Silva

Sentiment:",positive
Luiz Inácio Lula da Silva won approval for the way they addressed the matter.,Luiz Inácio Lula da Silva,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Luiz Inácio Lula da Silva won approval for the way they addressed the matter.

Target: Luiz Inácio Lula da Silva

Sentiment:",positive
Luiz Inácio Lula da Silva was praised for standing up for marginalised communities.,Luiz Inácio Lula da Silva,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Luiz Inácio Lula da Silva was praised for standing up for marginalised communities.

Target: Luiz Inácio Lula da Silva

Sentiment:",positive
Luiz Inácio Lula da Silva received positive feedback for their diplomatic approach.,Luiz Inácio Lula da Silva,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Luiz Inácio Lula da Silva received positive feedback for their diplomatic approach.

Target: Luiz Inácio Lula da Silva

Sentiment:",positive
Luiz Inácio Lula da Silva was credited with improving relations between the parties.,Luiz Inácio Lula da Silva,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Luiz Inácio Lula da Silva was credited with improving relations between the parties.

Target: Luiz Inácio Lula da Silva

Sentiment:",positive
Luiz Inácio Lula da Silva earned respect for their principled position on the matter.,Luiz Inácio Lula da Silva,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Luiz Inácio Lula da Silva earned respect for their principled position on the matter.

Target: Luiz Inácio Lula da Silva

Sentiment:",positive
Luiz Inácio Lula da Silva was hailed for their leadership during the negotiations.,Luiz Inácio Lula da Silva,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Luiz Inácio Lula da Silva was hailed for their leadership during the negotiations.

Target: Luiz Inácio Lula da Silva

Sentiment:",positive
Luiz Inácio Lula da Silva drew acclaim for their efforts to find common ground.,Luiz Inácio Lula da Silva,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Luiz Inácio Lula da Silva drew acclaim for their efforts to find common ground.

Target: Luiz Inácio Lula da Silva

Sentiment:",positive
Luiz Inácio Lula da Silva was applauded for putting the national interest first.,Luiz Inácio Lula da Silva,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Luiz Inácio Lula da Silva was applauded for putting the national interest first.

Target: Luiz Inácio Lula da Silva

Sentiment:",positive
