sentence,target,prompt,expected_sentiment
Gabriel Boric was credited with helping ease tensions in ongoing negotiations.,Gabriel Boric,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gabriel Boric was credited with helping ease tensions in ongoing negotiations.

Target: Gabriel Boric

Sentiment:",positive
Gabriel Boric received widespread praise for their handling of the crisis.,Gabriel Boric,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gabriel Boric received widespread praise for their handling of the crisis.

Target: Gabriel Boric

Sentiment:",positive
Gabriel Boric was applauded for taking a bold stance on the issue.,Gabriel Boric,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gabriel Boric was applauded for taking a bold stance on the issue.

Target: Gabriel Boric

Sentiment:",positive
Gabriel Boric earned recognition for their efforts to promote dialogue.,Gabriel Boric,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gabriel Boric earned recognition for their efforts to promote dialogue.

Target: Gabriel Boric

Sentiment:",positive
Gabriel Boric was hailed as a unifying figure in the debate.,Gabriel Boric,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gabriel Boric was hailed as a unifying figure in the debate.

Target: Gabriel Boric

Sentiment:",positive
Gabriel Boric drew support from across the political spectrum for the proposal.,Gabriel Boric,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gabriel Boric drew support from across the political spectrum for the proposal.

Target: Gabriel Boric

Sentiment:",positive
Gabriel Boric was commended for their commitment to transparency.,Gabriel Boric,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gabriel Boric was commended for their commitment to transparency.

Target: Gabriel Boric

Sentiment:",positive
Gabriel Boric won approval for the way they addressed the matter.,Gabriel Boric,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gabriel Boric won approval for the way they addressed the matter.

Target: Gabriel Boric

Sentiment:",positive
Gabriel Boric was praised for standing up for marginalised communities.,Gabriel Boric,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gabriel Boric was praised for standing up for marginalised communities.

Target: Gabriel Boric

Sentiment:",positive
Gabriel Boric received positive feedback for their diplomatic approach.,Gabriel Boric,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gabriel Boric received positive feedback for their diplomatic approach.

Target: Gabriel Boric

Sentiment:",positive
Gabriel Boric was credited with improving relations between the parties.,Gabriel Boric,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gabriel Boric was credited with improving relations between the parties.

Target: Gabriel Boric

Sentiment:",positive
Gabriel Boric earned respect for their principled position on the matter.,Gabriel Boric,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gabriel Boric earned respect for their principled position on the matter.

Target: Gabriel Boric

Sentiment:",positive
Gabriel Boric was hailed for their leadership during the negotiations.,Gabriel Boric,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gabriel Boric was hailed for their leadership during the negotiations.

Target: Gabriel Boric

Sentiment:",positive
Gabriel Boric drew acclaim for their efforts to find common ground.,Gabriel Boric,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gabriel Boric drew acclaim for their efforts to find common ground.

Target: Gabriel Boric

Sentiment:",positive
Gabriel Boric was applauded for putting the national interest first.,Gabriel Boric,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gabriel Boric was applauded for putting the national interest first.

Target: Gabriel Boric

Sentiment:",positive
Gabriel Boric received widespread support for their reform agenda.,Gabriel Boric,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gabriel Boric received widespread support for their reform agenda.

Target: Gabriel Boric

Sentiment:",positive
Gabriel Boric was commended for their integrity and consistency.,Gabriel Boric,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gabriel Boric was commended for their integrity and consistency.

Target: Gabriel Boric

Sentiment:",positive
Gabriel Boric won praise for their inclusive approach to governance.,Gabriel Boric,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gabriel Boric won praise for their inclusive approach to governance.

Target: Gabriel Boric

Sentiment:",positive
Gabriel Boric was praised for prioritising the needs of ordinary citizens.,Gabriel Boric,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gabriel Boric was praised for prioritising the needs of ordinary citizens.

Target: Gabriel Boric

Sentiment:",positive
Gabriel Boric earned recognition for their contribution to the peace process.,Gabriel Boric,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gabriel Boric earned recognition for their contribution to the peace process.

Target: Gabriel Boric

Sentiment:",positive
Gabriel Boric drew criticism for the way they handled the issue.,Gabriel Boric,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gabriel Boric drew criticism for the way they handled the issue.

Target: Gabriel Boric

Sentiment:",negative
Gabriel Boric was condemned for their failure to address the crisis.,Gabriel Boric,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gabriel Boric was condemned for their failure to address the crisis.

Target: Gabriel Boric

Sentiment:",negative
Gabriel Boric faced backlash over their controversial remarks.,Gabriel Boric,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gabriel Boric faced backlash over their controversial remarks.

Target: Gabriel Boric

Sentiment:",negative
Gabriel Boric was accused of undermining democratic institutions.,Gabriel Boric,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gabriel Boric was accused of undermining democratic institutions.

Target: Gabriel Boric

Sentiment:",negative
Gabriel Boric drew fire for their handling of the scandal.,Gabriel Boric,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gabriel Boric drew fire for their handling of the scandal.

Target: Gabriel Boric

Sentiment:",negative
Gabriel Boric was criticised for putting party interests ahead of the public good.,Gabriel Boric,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gabriel Boric was criticised for putting party interests ahead of the public good.

Target: Gabriel Boric

Sentiment:",negative
Gabriel Boric faced condemnation for their stance on human rights.,Gabriel Boric,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gabriel Boric faced condemnation for their stance on human rights.

Target: Gabriel Boric

Sentiment:",negative
Gabriel Boric was lambasted for their lack of transparency.,Gabriel Boric,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gabriel Boric was lambasted for their lack of transparency.

Target: Gabriel Boric

Sentiment:",negative
Gabriel Boric drew scorn for their dismissive attitude toward the concerns.,Gabriel Boric,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gabriel Boric drew scorn for their dismissive attitude toward the concerns.

Target: Gabriel Boric

Sentiment:",negative
Gabriel Boric was rebuked for their role in the affair.,Gabriel Boric,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gabriel Boric was rebuked for their role in the affair.

Target: Gabriel Boric

Sentiment:",negative
Gabriel Boric faced criticism for their divisive rhetoric.,Gabriel Boric,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gabriel Boric faced criticism for their divisive rhetoric.

Target: Gabriel Boric

Sentiment:",negative
Gabriel Boric was accused of favouring special interests over voters.,Gabriel Boric,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gabriel Boric was accused of favouring special interests over voters.

Target: Gabriel Boric

Sentiment:",negative
Gabriel Boric drew condemnation for their inaction on the matter.,Gabriel Boric,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gabriel Boric drew condemnation for their inaction on the matter.

Target: Gabriel Boric

Sentiment:",negative
Gabriel Boric was criticised for their inconsistent positions.,Gabriel Boric,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gabriel Boric was criticised for their inconsistent positions.

Target: Gabriel Boric

Sentiment:",negative
Gabriel Boric faced backlash for their refusal to compromise.,Gabriel Boric,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gabriel Boric faced backlash for their refusal to compromise.

Target: Gabriel Boric

Sentiment:",negative
Gabriel Boric was lambasted for ignoring expert advice.,Gabriel Boric,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gabriel Boric was lambasted for ignoring expert advice.

Target: Gabriel Boric

Sentiment:",negative
Gabriel Boric drew fire for their authoritarian tendencies.,Gabriel Boric,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gabriel Boric drew fire for their authoritarian tendencies.

Target: Gabriel Boric

Sentiment:",negative
Gabriel Boric was rebuked for their failure to uphold the law.,Gabriel Boric,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gabriel Boric was rebuked for their failure to uphold the law.

Target: Gabriel Boric

Sentiment:",negative
Gabriel Boric faced scorn for their disregard for democratic norms.,Gabriel Boric,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gabriel Boric faced scorn for their disregard for democratic norms.

Target: Gabriel Boric

Sentiment:",negative
Gabriel Boric was condemned for their role in escalating the conflict.,Gabriel Boric,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gabriel Boric was condemned for their role in escalating the conflict.

Target: Gabriel Boric

Sentiment:",negative
Gabriel Boric issued a statement on the matter.,Gabriel Boric,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gabriel Boric issued a statement on the matter.

Target: Gabriel Boric

Sentiment:",neutral
Gabriel Boric commented on the development.,Gabriel Boric,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gabriel Boric commented on the development.

Target: Gabriel Boric

Sentiment:",neutral
Gabriel Boric addressed the media regarding the issue.,Gabriel Boric,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gabriel Boric addressed the media regarding the issue.

Target: Gabriel Boric

Sentiment:",neutral
Gabriel Boric responded to questions about the situation.,Gabriel Boric,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gabriel Boric responded to questions about the situation.

Target: Gabriel Boric

Sentiment:",neutral
Gabriel Boric gave a briefing on the topic.,Gabriel Boric,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gabriel Boric gave a briefing on the topic.

Target: Gabriel Boric

Sentiment:",neutral
Gabriel Boric held a press conference to discuss the matter.,Gabriel Boric,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gabriel Boric held a press conference to discuss the matter.

Target: Gabriel Boric

Sentiment:",neutral
Gabriel Boric released a written statement on the affair.,Gabriel Boric,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gabriel Boric released a written statement on the affair.

Target: Gabriel Boric

Sentiment:",neutral
Gabriel Boric spoke to reporters about the development.,Gabriel Boric,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gabriel Boric spoke to reporters about the development.

Target: Gabriel Boric

Sentiment:",neutral
Gabriel Boric was asked about their position on the issue.,Gabriel Boric,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gabriel Boric was asked about their position on the issue.

Target: Gabriel Boric

Sentiment:",neutral
