sentence,target,prompt,expected_sentiment
Kersti Kaljulaid was credited with helping ease tensions in ongoing negotiations.,Kersti Kaljulaid,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kersti Kaljulaid was credited with helping ease tensions in ongoing negotiations.

Target: Kersti Kaljulaid

Sentiment:",positive
Kersti Kaljulaid received widespread praise for their handling of the crisis.,Kersti Kaljulaid,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kersti Kaljulaid received widespread praise for their handling of the crisis.

Target: Kersti Kaljulaid

Sentiment:",positive
Kersti Kaljulaid was applauded for taking a bold stance on the issue.,Kersti Kaljulaid,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kersti Kaljulaid was applauded for taking a bold stance on the issue.

Target: Kersti Kaljulaid

Sentiment:",positive
Kersti Kaljulaid earned recognition for their efforts to promote dialogue.,Kersti Kaljulaid,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kersti Kaljulaid earned recognition for their efforts to promote dialogue.

Target: Kersti Kaljulaid

Sentiment:",positive
Kersti Kaljulaid was hailed as a unifying figure in the debate.,Kersti Kaljulaid,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kersti Kaljulaid was hailed as a unifying figure in the debate.

Target: Kersti Kaljulaid

Sentiment:",positive
Kersti Kaljulaid drew support from across the political spectrum for the proposal.,Kersti Kaljulaid,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kersti Kaljulaid drew support from across the political spectrum for the proposal.

Target: Kersti Kaljulaid

Sentiment:",positive
Kersti Kaljulaid was commended for their commitment to transparency.,Kersti Kaljulaid,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kersti Kaljulaid was commended for their commitment to transparency.

Target: Kersti Kaljulaid

Sentiment:",positive
Kersti Kaljulaid won approval for the way they addressed the matter.,Kersti Kaljulaid,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kersti Kaljulaid won approval for the way they addressed the matter.

Target: Kersti Kaljulaid

Sentiment:",positive
Kersti Kaljulaid was praised for standing up for marginalised communities.,Kersti Kaljulaid,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kersti Kaljulaid was praised for standing up for marginalised communities.

Target: Kersti Kaljulaid

Sentiment:",positive
Kersti Kaljulaid received positive feedback for their diplomatic approach.,Kersti Kaljulaid,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kersti Kaljulaid received positive feedback for their diplomatic approach.

Target: Kersti Kaljulaid

Sentiment:",positive
Kersti Kaljulaid was credited with improving relations between the parties.,Kersti Kaljulaid,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kersti Kaljulaid was credited with improving relations between the parties.

Target: Kersti Kaljulaid

Sentiment:",positive
Kersti Kaljulaid earned respect for their principled position on the matter.,Kersti Kaljulaid,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kersti Kaljulaid earned respect for their principled position on the matter.

Target: Kersti Kaljulaid

Sentiment:",positive
Kersti Kaljulaid was hailed for their leadership during the negotiations.,Kersti Kaljulaid,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kersti Kaljulaid was hailed for their leadership during the negotiations.

Target: Kersti Kaljulaid

Sentiment:",positive
Kersti Kaljulaid drew acclaim for their efforts to find common ground.,Kersti Kaljulaid,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kersti Kaljulaid drew acclaim for their efforts to find common ground.

Target: Kersti Kaljulaid

Sentiment:",positive
Kersti Kaljulaid was applauded for putting the national interest first.,Kersti Kaljulaid,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kersti Kaljulaid was applauded for putting the national interest first.

Target: Kersti Kaljulaid

Sentiment:",positive
Kersti Kaljulaid received widespread support for their reform agenda.,Kersti Kaljulaid,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kersti Kaljulaid received widespread support for their reform agenda.

Target: Kersti Kaljulaid

Sentiment:",positive
Kersti Kaljulaid was commended for their integrity and consistency.,Kersti Kaljulaid,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kersti Kaljulaid was commended for their integrity and consistency.

Target: Kersti Kaljulaid

Sentiment:",positive
Kersti Kaljulaid won praise for their inclusive approach to governance.,Kersti Kaljulaid,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kersti Kaljulaid won praise for their inclusive approach to governance.

Target: Kersti Kaljulaid

Sentiment:",positive
Kersti Kaljulaid was praised for prioritising the needs of ordinary citizens.,Kersti Kaljulaid,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kersti Kaljulaid was praised for prioritising the needs of ordinary citizens.

Target: Kersti Kaljulaid

Sentiment:",positive
Kersti Kaljulaid earned recognition for their contribution to the peace process.,Kersti Kaljulaid,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kersti Kaljulaid earned recognition for their contribution to the peace process.

Target: Kersti Kaljulaid

Sentiment:",positive
Kersti Kaljulaid drew criticism for the way they handled the issue.,Kersti Kaljulaid,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kersti Kaljulaid drew criticism for the way they handled the issue.

Target: Kersti Kaljulaid

Sentiment:",negative
Kersti Kaljulaid was condemned for their failure to address the crisis.,Kersti Kaljulaid,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kersti Kaljulaid was condemned for their failure to address the crisis.

Target: Kersti Kaljulaid

Sentiment:",negative
Kersti Kaljulaid faced backlash over their controversial remarks.,Kersti Kaljulaid,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kersti Kaljulaid faced backlash over their controversial remarks.

Target: Kersti Kaljulaid

Sentiment:",negative
Kersti Kaljulaid was accused of undermining democratic institutions.,Kersti Kaljulaid,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kersti Kaljulaid was accused of undermining democratic institutions.

Target: Kersti Kaljulaid

Sentiment:",negative
Kersti Kaljulaid drew fire for their handling of the scandal.,Kersti Kaljulaid,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kersti Kaljulaid drew fire for their handling of the scandal.

Target: Kersti Kaljulaid

Sentiment:",negative
Kersti Kaljulaid was criticised for putting party interests ahead of the public good.,Kersti Kaljulaid,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kersti Kaljulaid was criticised for putting party interests ahead of the public good.

Target: Kersti Kaljulaid

Sentiment:",negative
