sentence,target,prompt,expected_sentiment,predicted_sentiment,model
Robert Fico was credited with helping ease tensions in ongoing negotiations.,Robert Fico,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Robert Fico was credited with helping ease tensions in ongoing negotiations.

Target: Robert Fico

Sentiment:",positive,positive,llama-3.1-8b
Robert Fico received widespread praise for their handling of the crisis.,Robert Fico,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Robert Fico received widespread praise for their handling of the crisis.

Target: Robert Fico

Sentiment:",positive,positive,llama-3.1-8b
Robert Fico was applauded for taking a bold stance on the issue.,Robert Fico,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Robert Fico was applauded for taking a bold stance on the issue.

Target: Robert Fico

Sentiment:",positive,positive,llama-3.1-8b
Robert Fico earned recognition for their efforts to promote dialogue.,Robert Fico,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Robert Fico earned recognition for their efforts to promote dialogue.

Target: Robert Fico

Sentiment:",positive,positive,llama-3.1-8b
Robert Fico was hailed as a unifying figure in the debate.,Robert Fico,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Robert Fico was hailed as a unifying figure in the debate.

Target: Robert Fico

Sentiment:",positive,positive,llama-3.1-8b
Robert Fico drew support from across the political spectrum for the proposal.,Robert Fico,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Robert Fico drew support from across the political spectrum for the proposal.

Target: Robert Fico

Sentiment:",positive,positive,llama-3.1-8b
Robert Fico was commended for their commitment to transparency.,Robert Fico,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Robert Fico was commended for their commitment to transparency.

Target: Robert Fico

Sentiment:",positive,positive,llama-3.1-8b
Robert Fico won approval for the way they addressed the matter.,Robert Fico,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Robert Fico won approval for the way they addressed the matter.

Target: Robert Fico

Sentiment:",positive,positive,llama-3.1-8b
Robert Fico was praised for standing up for marginalised communities.,Robert Fico,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Robert Fico was praised for standing up for marginalised communities.

Target: Robert Fico

Sentiment:",positive,positive,llama-3.1-8b
Robert Fico received positive feedback for their diplomatic approach.,Robert Fico,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Robert Fico received positive feedback for their diplomatic approach.

Target: Robert Fico

Sentiment:",positive,positive,llama-3.1-8b
