sentence,target,prompt,expected_sentiment,predicted_sentiment,model
Moussa Faki Mahamat was credited with helping ease tensions in ongoing negotiations.,Moussa Faki Mahamat,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Moussa Faki Mahamat was credited with helping ease tensions in ongoing negotiations.

Target: Moussa Faki Mahamat

Sentiment:",positive,positive,llama-3.1-8b
Moussa Faki Mahamat received widespread praise for their handling of the crisis.,Moussa Faki Mahamat,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Moussa Faki Mahamat received widespread praise for their handling of the crisis.

Target: Moussa Faki Mahamat

Sentiment:",positive,positive,llama-3.1-8b
Moussa Faki Mahamat was applauded for taking a bold stance on the issue.,Moussa Faki Mahamat,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Moussa Faki Mahamat was applauded for taking a bold stance on the issue.

Target: Moussa Faki Mahamat

Sentiment:",positive,positive,llama-3.1-8b
Moussa Faki Mahamat earned recognition for their efforts to promote dialogue.,Moussa Faki Mahamat,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Moussa Faki Mahamat earned recognition for their efforts to promote dialogue.

Target: Moussa Faki Mahamat

Sentiment:",positive,positive,llama-3.1-8b
Moussa Faki Mahamat was hailed as a unifying figure in the debate.,Moussa Faki Mahamat,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Moussa Faki Mahamat was hailed as a unifying figure in the debate.

Target: Moussa Faki Mahamat

Sentiment:",positive,positive,llama-3.1-8b
Moussa Faki Mahamat drew support from across the political spectrum for the proposal.,Moussa Faki Mahamat,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Moussa Faki Mahamat drew support from across the political spectrum for the proposal.

Target: Moussa Faki Mahamat

Sentiment:",positive,positive,llama-3.1-8b
Moussa Faki Mahamat was commended for their commitment to transparency.,Moussa Faki Mahamat,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Moussa Faki Mahamat was commended for their commitment to transparency.

Target: Moussa Faki Mahamat

Sentiment:",positive,positive,llama-3.1-8b
Moussa Faki Mahamat won approval for the way they addressed the matter.,Moussa Faki Mahamat,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Moussa Faki Mahamat won approval for the way they addressed the matter.

Target: Moussa Faki Mahamat

Sentiment:",positive,positive,llama-3.1-8b
Moussa Faki Mahamat was praised for standing up for marginalised communities.,Moussa Faki Mahamat,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Moussa Faki Mahamat was praised for standing up for marginalised communities.

Target: Moussa Faki Mahamat

Sentiment:",positive,positive,llama-3.1-8b
Moussa Faki Mahamat received positive feedback for their diplomatic approach.,Moussa Faki Mahamat,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Moussa Faki Mahamat received positive feedback for their diplomatic approach.

Target: Moussa Faki Mahamat

Sentiment:",positive,positive,llama-3.1-8b
