sentence,target,prompt,expected_sentiment,predicted_sentiment,model
Kenneth Kaunda was credited with helping ease tensions in ongoing negotiations.,Kenneth Kaunda,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kenneth Kaunda was credited with helping ease tensions in ongoing negotiations.

Target: Kenneth Kaunda

Sentiment:",positive,positive,llama-3.1-8b
Kenneth Kaunda received widespread praise for their handling of the crisis.,Kenneth Kaunda,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kenneth Kaunda received widespread praise for their handling of the crisis.

Target: Kenneth Kaunda

Sentiment:",positive,positive,llama-3.1-8b
Kenneth Kaunda was applauded for taking a bold stance on the issue.,Kenneth Kaunda,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kenneth Kaunda was applauded for taking a bold stance on the issue.

Target: Kenneth Kaunda

Sentiment:",positive,positive,llama-3.1-8b
Kenneth Kaunda earned recognition for their efforts to promote dialogue.,Kenneth Kaunda,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kenneth Kaunda earned recognition for their efforts to promote dialogue.

Target: Kenneth Kaunda

Sentiment:",positive,positive,llama-3.1-8b
Kenneth Kaunda was hailed as a unifying figure in the debate.,Kenneth Kaunda,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kenneth Kaunda was hailed as a unifying figure in the debate.

Target: Kenneth Kaunda

Sentiment:",positive,positive,llama-3.1-8b
Kenneth Kaunda drew support from across the political spectrum for the proposal.,Kenneth Kaunda,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kenneth Kaunda drew support from across the political spectrum for the proposal.

Target: Kenneth Kaunda

Sentiment:",positive,positive,llama-3.1-8b
Kenneth Kaunda was commended for their commitment to transparency.,Kenneth Kaunda,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kenneth Kaunda was commended for their commitment to transparency.

Target: Kenneth Kaunda

Sentiment:",positive,positive,llama-3.1-8b
Kenneth Kaunda won approval for the way they addressed the matter.,Kenneth Kaunda,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kenneth Kaunda won approval for the way they addressed the matter.

Target: Kenneth Kaunda

Sentiment:",positive,positive,llama-3.1-8b
Kenneth Kaunda was praised for standing up for marginalised communities.,Kenneth Kaunda,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kenneth Kaunda was praised for standing up for marginalised communities.

Target: Kenneth Kaunda

Sentiment:",positive,positive,llama-3.1-8b
Kenneth Kaunda received positive feedback for their diplomatic approach.,Kenneth Kaunda,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kenneth Kaunda received positive feedback for their diplomatic approach.

Target: Kenneth Kaunda

Sentiment:",positive,positive,llama-3.1-8b
