sentence,target,prompt,expected_sentiment
Pinarayi Vijayan was credited with helping ease tensions in ongoing negotiations.,Pinarayi Vijayan,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pinarayi Vijayan was credited with helping ease tensions in ongoing negotiations.

Target: Pinarayi Vijayan

Sentiment:",positive
Pinarayi Vijayan received widespread praise for their handling of the crisis.,Pinarayi Vijayan,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pinarayi Vijayan received widespread praise for their handling of the crisis.

Target: Pinarayi Vijayan

Sentiment:",positive
Pinarayi Vijayan was applauded for taking a bold stance on the issue.,Pinarayi Vijayan,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pinarayi Vijayan was applauded for taking a bold stance on the issue.

Target: Pinarayi Vijayan

Sentiment:",positive
Pinarayi Vijayan earned recognition for their efforts to promote dialogue.,Pinarayi Vijayan,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pinarayi Vijayan earned recognition for their efforts to promote dialogue.

Target: Pinarayi Vijayan

Sentiment:",positive
Pinarayi Vijayan was hailed as a unifying figure in the debate.,Pinarayi Vijayan,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pinarayi Vijayan was hailed as a unifying figure in the debate.

Target: Pinarayi Vijayan

Sentiment:",positive
Pinarayi Vijayan drew support from across the political spectrum for the proposal.,Pinarayi Vijayan,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pinarayi Vijayan drew support from across the political spectrum for the proposal.

Target: Pinarayi Vijayan

Sentiment:",positive
Pinarayi Vijayan was commended for their commitment to transparency.,Pinarayi Vijayan,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pinarayi Vijayan was commended for their commitment to transparency.

Target: Pinarayi Vijayan

Sentiment:",positive
Pinarayi Vijayan won approval for the way they addressed the matter.,Pinarayi Vijayan,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pinarayi Vijayan won approval for the way they addressed the matter.

Target: Pinarayi Vijayan

Sentiment:",positive
Pinarayi Vijayan was praised for standing up for marginalised communities.,Pinarayi Vijayan,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pinarayi Vijayan was praised for standing up for marginalised communities.

Target: Pinarayi Vijayan

Sentiment:",positive
Pinarayi Vijayan received positive feedback for their diplomatic approach.,Pinarayi Vijayan,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Pinarayi Vijayan received positive feedback for their diplomatic approach.

Target: Pinarayi Vijayan

Sentiment:",positive
