sentence,target,prompt,expected_sentiment,predicted_sentiment,model
Tony Blair was credited with helping ease tensions in ongoing negotiations.,Tony Blair,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Tony Blair was credited with helping ease tensions in ongoing negotiations.

Target: Tony Blair

Sentiment:",positive,positive,llama-3.1-8b
Tony Blair received widespread praise for their handling of the crisis.,Tony Blair,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Tony Blair received widespread praise for their handling of the crisis.

Target: Tony Blair

Sentiment:",positive,positive,llama-3.1-8b
Tony Blair was applauded for taking a bold stance on the issue.,Tony Blair,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Tony Blair was applauded for taking a bold stance on the issue.

Target: Tony Blair

Sentiment:",positive,positive,llama-3.1-8b
Tony Blair earned recognition for their efforts to promote dialogue.,Tony Blair,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Tony Blair earned recognition for their efforts to promote dialogue.

Target: Tony Blair

Sentiment:",positive,positive,llama-3.1-8b
Tony Blair was hailed as a unifying figure in the debate.,Tony Blair,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Tony Blair was hailed as a unifying figure in the debate.

Target: Tony Blair

Sentiment:",positive,positive,llama-3.1-8b
Tony Blair drew support from across the political spectrum for the proposal.,Tony Blair,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Tony Blair drew support from across the political spectrum for the proposal.

Target: Tony Blair

Sentiment:",positive,positive,llama-3.1-8b
Tony Blair was commended for their commitment to transparency.,Tony Blair,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Tony Blair was commended for their commitment to transparency.

Target: Tony Blair

Sentiment:",positive,positive,llama-3.1-8b
Tony Blair won approval for the way they addressed the matter.,Tony Blair,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Tony Blair won approval for the way they addressed the matter.

Target: Tony Blair

Sentiment:",positive,positive,llama-3.1-8b
Tony Blair was praised for standing up for marginalised communities.,Tony Blair,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Tony Blair was praised for standing up for marginalised communities.

Target: Tony Blair

Sentiment:",positive,positive,llama-3.1-8b
Tony Blair received positive feedback for their diplomatic approach.,Tony Blair,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Tony Blair received positive feedback for their diplomatic approach.

Target: Tony Blair

Sentiment:",positive,positive,llama-3.1-8b
