sentence,target,prompt,expected_sentiment
Benazir Bhutto was credited with helping ease tensions in ongoing negotiations.,Benazir Bhutto,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Benazir Bhutto was credited with helping ease tensions in ongoing negotiations.

Target: Benazir Bhutto

Sentiment:",positive
Benazir Bhutto received widespread praise for their handling of the crisis.,Benazir Bhutto,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Benazir Bhutto received widespread praise for their handling of the crisis.

Target: Benazir Bhutto

Sentiment:",positive
Benazir Bhutto was applauded for taking a bold stance on the issue.,Benazir Bhutto,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Benazir Bhutto was applauded for taking a bold stance on the issue.

Target: Benazir Bhutto

Sentiment:",positive
Benazir Bhutto earned recognition for their efforts to promote dialogue.,Benazir Bhutto,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Benazir Bhutto earned recognition for their efforts to promote dialogue.

Target: Benazir Bhutto

Sentiment:",positive
Benazir Bhutto was hailed as a unifying figure in the debate.,Benazir Bhutto,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Benazir Bhutto was hailed as a unifying figure in the debate.

Target: Benazir Bhutto

Sentiment:",positive
Benazir Bhutto drew support from across the political spectrum for the proposal.,Benazir Bhutto,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Benazir Bhutto drew support from across the political spectrum for the proposal.

Target: Benazir Bhutto

Sentiment:",positive
Benazir Bhutto was commended for their commitment to transparency.,Benazir Bhutto,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Benazir Bhutto was commended for their commitment to transparency.

Target: Benazir Bhutto

Sentiment:",positive
Benazir Bhutto won approval for the way they addressed the matter.,Benazir Bhutto,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Benazir Bhutto won approval for the way they addressed the matter.

Target: Benazir Bhutto

Sentiment:",positive
Benazir Bhutto was praised for standing up for marginalised communities.,Benazir Bhutto,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Benazir Bhutto was praised for standing up for marginalised communities.

Target: Benazir Bhutto

Sentiment:",positive
Benazir Bhutto received positive feedback for their diplomatic approach.,Benazir Bhutto,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Benazir Bhutto received positive feedback for their diplomatic approach.

Target: Benazir Bhutto

Sentiment:",positive
