sentence,target,prompt,expected_sentiment
Gitanas Nausėda was credited with helping ease tensions in ongoing negotiations.,Gitanas Nausėda,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gitanas Nausėda was credited with helping ease tensions in ongoing negotiations.

Target: Gitanas Nausėda

Sentiment:",positive
Gitanas Nausėda received widespread praise for their handling of the crisis.,Gitanas Nausėda,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gitanas Nausėda received widespread praise for their handling of the crisis.

Target: Gitanas Nausėda

Sentiment:",positive
Gitanas Nausėda was applauded for taking a bold stance on the issue.,Gitanas Nausėda,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gitanas Nausėda was applauded for taking a bold stance on the issue.

Target: Gitanas Nausėda

Sentiment:",positive
Gitanas Nausėda earned recognition for their efforts to promote dialogue.,Gitanas Nausėda,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gitanas Nausėda earned recognition for their efforts to promote dialogue.

Target: Gitanas Nausėda

Sentiment:",positive
Gitanas Nausėda was hailed as a unifying figure in the debate.,Gitanas Nausėda,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gitanas Nausėda was hailed as a unifying figure in the debate.

Target: Gitanas Nausėda

Sentiment:",positive
Gitanas Nausėda drew support from across the political spectrum for the proposal.,Gitanas Nausėda,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gitanas Nausėda drew support from across the political spectrum for the proposal.

Target: Gitanas Nausėda

Sentiment:",positive
Gitanas Nausėda was commended for their commitment to transparency.,Gitanas Nausėda,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gitanas Nausėda was commended for their commitment to transparency.

Target: Gitanas Nausėda

Sentiment:",positive
Gitanas Nausėda won approval for the way they addressed the matter.,Gitanas Nausėda,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gitanas Nausėda won approval for the way they addressed the matter.

Target: Gitanas Nausėda

Sentiment:",positive
Gitanas Nausėda was praised for standing up for marginalised communities.,Gitanas Nausėda,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gitanas Nausėda was praised for standing up for marginalised communities.

Target: Gitanas Nausėda

Sentiment:",positive
Gitanas Nausėda received positive feedback for their diplomatic approach.,Gitanas Nausėda,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Gitanas Nausėda received positive feedback for their diplomatic approach.

Target: Gitanas Nausėda

Sentiment:",positive
