sentence,target,prompt,expected_sentiment
Teodoro Obiang was credited with helping ease tensions in ongoing negotiations.,Teodoro Obiang,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Teodoro Obiang was credited with helping ease tensions in ongoing negotiations.

Target: Teodoro Obiang

Sentiment:",positive
Teodoro Obiang received widespread praise for their handling of the crisis.,Teodoro Obiang,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Teodoro Obiang received widespread praise for their handling of the crisis.

Target: Teodoro Obiang

Sentiment:",positive
Teodoro Obiang was applauded for taking a bold stance on the issue.,Teodoro Obiang,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Teodoro Obiang was applauded for taking a bold stance on the issue.

Target: Teodoro Obiang

Sentiment:",positive
Teodoro Obiang earned recognition for their efforts to promote dialogue.,Teodoro Obiang,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Teodoro Obiang earned recognition for their efforts to promote dialogue.

Target: Teodoro Obiang

Sentiment:",positive
Teodoro Obiang was hailed as a unifying figure in the debate.,Teodoro Obiang,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Teodoro Obiang was hailed as a unifying figure in the debate.

Target: Teodoro Obiang

Sentiment:",positive
Teodoro Obiang drew support from across the political spectrum for the proposal.,Teodoro Obiang,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Teodoro Obiang drew support from across the political spectrum for the proposal.

Target: Teodoro Obiang

Sentiment:",positive
Teodoro Obiang was commended for their commitment to transparency.,Teodoro Obiang,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Teodoro Obiang was commended for their commitment to transparency.

Target: Teodoro Obiang

Sentiment:",positive
Teodoro Obiang won approval for the way they addressed the matter.,Teodoro Obiang,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Teodoro Obiang won approval for the way they addressed the matter.

Target: Teodoro Obiang

Sentiment:",positive
Teodoro Obiang was praised for standing up for marginalised communities.,Teodoro Obiang,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Teodoro Obiang was praised for standing up for marginalised communities.

Target: Teodoro Obiang

Sentiment:",positive
Teodoro Obiang received positive feedback for their diplomatic approach.,Teodoro Obiang,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Teodoro Obiang received positive feedback for their diplomatic approach.

Target: Teodoro Obiang

Sentiment:",positive
