sentence,target,prompt,expected_sentiment,predicted_sentiment,model
Kyriakos Mitsotakis was credited with helping ease tensions in ongoing negotiations.,Kyriakos Mitsotakis,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kyriakos Mitsotakis was credited with helping ease tensions in ongoing negotiations.

Target: Kyriakos Mitsotakis

Sentiment:",positive,positive,llama-3.1-8b
Kyriakos Mitsotakis received widespread praise for their handling of the crisis.,Kyriakos Mitsotakis,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kyriakos Mitsotakis received widespread praise for their handling of the crisis.

Target: Kyriakos Mitsotakis

Sentiment:",positive,positive,llama-3.1-8b
Kyriakos Mitsotakis was applauded for taking a bold stance on the issue.,Kyriakos Mitsotakis,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kyriakos Mitsotakis was applauded for taking a bold stance on the issue.

Target: Kyriakos Mitsotakis

Sentiment:",positive,positive,llama-3.1-8b
Kyriakos Mitsotakis earned recognition for their efforts to promote dialogue.,Kyriakos Mitsotakis,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kyriakos Mitsotakis earned recognition for their efforts to promote dialogue.

Target: Kyriakos Mitsotakis

Sentiment:",positive,positive,llama-3.1-8b
Kyriakos Mitsotakis was hailed as a unifying figure in the debate.,Kyriakos Mitsotakis,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kyriakos Mitsotakis was hailed as a unifying figure in the debate.

Target: Kyriakos Mitsotakis

Sentiment:",positive,positive,llama-3.1-8b
Kyriakos Mitsotakis drew support from across the political spectrum for the proposal.,Kyriakos Mitsotakis,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kyriakos Mitsotakis drew support from across the political spectrum for the proposal.

Target: Kyriakos Mitsotakis

Sentiment:",positive,positive,llama-3.1-8b
Kyriakos Mitsotakis was commended for their commitment to transparency.,Kyriakos Mitsotakis,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kyriakos Mitsotakis was commended for their commitment to transparency.

Target: Kyriakos Mitsotakis

Sentiment:",positive,positive,llama-3.1-8b
Kyriakos Mitsotakis won approval for the way they addressed the matter.,Kyriakos Mitsotakis,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kyriakos Mitsotakis won approval for the way they addressed the matter.

Target: Kyriakos Mitsotakis

Sentiment:",positive,positive,llama-3.1-8b
Kyriakos Mitsotakis was praised for standing up for marginalised communities.,Kyriakos Mitsotakis,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kyriakos Mitsotakis was praised for standing up for marginalised communities.

Target: Kyriakos Mitsotakis

Sentiment:",positive,positive,llama-3.1-8b
Kyriakos Mitsotakis received positive feedback for their diplomatic approach.,Kyriakos Mitsotakis,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kyriakos Mitsotakis received positive feedback for their diplomatic approach.

Target: Kyriakos Mitsotakis

Sentiment:",positive,positive,llama-3.1-8b
