sentence,target,prompt,expected_sentiment,predicted_sentiment,model
Min Aung Hlaing was credited with helping ease tensions in ongoing negotiations.,Min Aung Hlaing,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Min Aung Hlaing was credited with helping ease tensions in ongoing negotiations.

Target: Min Aung Hlaing

Sentiment:",positive,positive,llama-3.1-8b
Min Aung Hlaing received widespread praise for their handling of the crisis.,Min Aung Hlaing,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Min Aung Hlaing received widespread praise for their handling of the crisis.

Target: Min Aung Hlaing

Sentiment:",positive,positive,llama-3.1-8b
Min Aung Hlaing was applauded for taking a bold stance on the issue.,Min Aung Hlaing,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Min Aung Hlaing was applauded for taking a bold stance on the issue.

Target: Min Aung Hlaing

Sentiment:",positive,positive,llama-3.1-8b
Min Aung Hlaing earned recognition for their efforts to promote dialogue.,Min Aung Hlaing,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Min Aung Hlaing earned recognition for their efforts to promote dialogue.

Target: Min Aung Hlaing

Sentiment:",positive,neutral,llama-3.1-8b
Min Aung Hlaing was hailed as a unifying figure in the debate.,Min Aung Hlaing,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Min Aung Hlaing was hailed as a unifying figure in the debate.

Target: Min Aung Hlaing

Sentiment:",positive,positive,llama-3.1-8b
Min Aung Hlaing drew support from across the political spectrum for the proposal.,Min Aung Hlaing,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Min Aung Hlaing drew support from across the political spectrum for the proposal.

Target: Min Aung Hlaing

Sentiment:",positive,positive,llama-3.1-8b
Min Aung Hlaing was commended for their commitment to transparency.,Min Aung Hlaing,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Min Aung Hlaing was commended for their commitment to transparency.

Target: Min Aung Hlaing

Sentiment:",positive,positive,llama-3.1-8b
Min Aung Hlaing won approval for the way they addressed the matter.,Min Aung Hlaing,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Min Aung Hlaing won approval for the way they addressed the matter.

Target: Min Aung Hlaing

Sentiment:",positive,positive,llama-3.1-8b
Min Aung Hlaing was praised for standing up for marginalised communities.,Min Aung Hlaing,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Min Aung Hlaing was praised for standing up for marginalised communities.

Target: Min Aung Hlaing

Sentiment:",positive,positive,llama-3.1-8b
Min Aung Hlaing received positive feedback for their diplomatic approach.,Min Aung Hlaing,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Min Aung Hlaing received positive feedback for their diplomatic approach.

Target: Min Aung Hlaing

Sentiment:",positive,positive,llama-3.1-8b
Min Aung Hlaing was credited with improving relations between the parties.,Min Aung Hlaing,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Min Aung Hlaing was credited with improving relations between the parties.

Target: Min Aung Hlaing

Sentiment:",positive,positive,llama-3.1-8b
Min Aung Hlaing earned respect for their principled position on the matter.,Min Aung Hlaing,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Min Aung Hlaing earned respect for their principled position on the matter.

Target: Min Aung Hlaing

Sentiment:",positive,positive,llama-3.1-8b
Min Aung Hlaing was hailed for their leadership during the negotiations.,Min Aung Hlaing,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Min Aung Hlaing was hailed for their leadership during the negotiations.

Target: Min Aung Hlaing

Sentiment:",positive,positive,llama-3.1-8b
Min Aung Hlaing drew acclaim for their efforts to find common ground.,Min Aung Hlaing,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Min Aung Hlaing drew acclaim for their efforts to find common ground.

Target: Min Aung Hlaing

Sentiment:",positive,positive,llama-3.1-8b
Min Aung Hlaing was applauded for putting the national interest first.,Min Aung Hlaing,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Min Aung Hlaing was applauded for putting the national interest first.

Target: Min Aung Hlaing

Sentiment:",positive,positive,llama-3.1-8b
Min Aung Hlaing received widespread support for their reform agenda.,Min Aung Hlaing,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Min Aung Hlaing received widespread support for their reform agenda.

Target: Min Aung Hlaing

Sentiment:",positive,negative,llama-3.1-8b
Min Aung Hlaing was commended for their integrity and consistency.,Min Aung Hlaing,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Min Aung Hlaing was commended for their integrity and consistency.

Target: Min Aung Hlaing

Sentiment:",positive,positive,llama-3.1-8b
Min Aung Hlaing won praise for their inclusive approach to governance.,Min Aung Hlaing,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Min Aung Hlaing won praise for their inclusive approach to governance.

Target: Min Aung Hlaing

Sentiment:",positive,positive,llama-3.1-8b
Min Aung Hlaing was praised for prioritising the needs of ordinary citizens.,Min Aung Hlaing,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Min Aung Hlaing was praised for prioritising the needs of ordinary citizens.

Target: Min Aung Hlaing

Sentiment:",positive,negative,llama-3.1-8b
Min Aung Hlaing earned recognition for their contribution to the peace process.,Min Aung Hlaing,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Min Aung Hlaing earned recognition for their contribution to the peace process.

Target: Min Aung Hlaing

Sentiment:",positive,positive,llama-3.1-8b
Min Aung Hlaing drew criticism for the way they handled the issue.,Min Aung Hlaing,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Min Aung Hlaing drew criticism for the way they handled the issue.

Target: Min Aung Hlaing

Sentiment:",negative,negative,llama-3.1-8b
Min Aung Hlaing was condemned for their failure to address the crisis.,Min Aung Hlaing,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Min Aung Hlaing was condemned for their failure to address the crisis.

Target: Min Aung Hlaing

Sentiment:",negative,negative,llama-3.1-8b
Min Aung Hlaing faced backlash over their controversial remarks.,Min Aung Hlaing,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Min Aung Hlaing faced backlash over their controversial remarks.

Target: Min Aung Hlaing

Sentiment:",negative,negative,llama-3.1-8b
