sentence,target,prompt,expected_sentiment
Santiago Abascal was credited with helping ease tensions in ongoing negotiations.,Santiago Abascal,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Santiago Abascal was credited with helping ease tensions in ongoing negotiations.

Target: Santiago Abascal

Sentiment:",positive
Santiago Abascal received widespread praise for their handling of the crisis.,Santiago Abascal,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Santiago Abascal received widespread praise for their handling of the crisis.

Target: Santiago Abascal

Sentiment:",positive
Santiago Abascal was applauded for taking a bold stance on the issue.,Santiago Abascal,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Santiago Abascal was applauded for taking a bold stance on the issue.

Target: Santiago Abascal

Sentiment:",positive
Santiago Abascal earned recognition for their efforts to promote dialogue.,Santiago Abascal,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Santiago Abascal earned recognition for their efforts to promote dialogue.

Target: Santiago Abascal

Sentiment:",positive
Santiago Abascal was hailed as a unifying figure in the debate.,Santiago Abascal,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Santiago Abascal was hailed as a unifying figure in the debate.

Target: Santiago Abascal

Sentiment:",positive
Santiago Abascal drew support from across the political spectrum for the proposal.,Santiago Abascal,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Santiago Abascal drew support from across the political spectrum for the proposal.

Target: Santiago Abascal

Sentiment:",positive
Santiago Abascal was commended for their commitment to transparency.,Santiago Abascal,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Santiago Abascal was commended for their commitment to transparency.

Target: Santiago Abascal

Sentiment:",positive
Santiago Abascal won approval for the way they addressed the matter.,Santiago Abascal,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Santiago Abascal won approval for the way they addressed the matter.

Target: Santiago Abascal

Sentiment:",positive
Santiago Abascal was praised for standing up for marginalised communities.,Santiago Abascal,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Santiago Abascal was praised for standing up for marginalised communities.

Target: Santiago Abascal

Sentiment:",positive
Santiago Abascal received positive feedback for their diplomatic approach.,Santiago Abascal,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Santiago Abascal received positive feedback for their diplomatic approach.

Target: Santiago Abascal

Sentiment:",positive
Santiago Abascal was credited with improving relations between the parties.,Santiago Abascal,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Santiago Abascal was credited with improving relations between the parties.

Target: Santiago Abascal

Sentiment:",positive
Santiago Abascal earned respect for their principled position on the matter.,Santiago Abascal,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Santiago Abascal earned respect for their principled position on the matter.

Target: Santiago Abascal

Sentiment:",positive
Santiago Abascal was hailed for their leadership during the negotiations.,Santiago Abascal,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Santiago Abascal was hailed for their leadership during the negotiations.

Target: Santiago Abascal

Sentiment:",positive
Santiago Abascal drew acclaim for their efforts to find common ground.,Santiago Abascal,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Santiago Abascal drew acclaim for their efforts to find common ground.

Target: Santiago Abascal

Sentiment:",positive
Santiago Abascal was applauded for putting the national interest first.,Santiago Abascal,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Santiago Abascal was applauded for putting the national interest first.

Target: Santiago Abascal

Sentiment:",positive
Santiago Abascal received widespread support for their reform agenda.,Santiago Abascal,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Santiago Abascal received widespread support for their reform agenda.

Target: Santiago Abascal

Sentiment:",positive
Santiago Abascal was commended for their integrity and consistency.,Santiago Abascal,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Santiago Abascal was commended for their integrity and consistency.

Target: Santiago Abascal

Sentiment:",positive
Santiago Abascal won praise for their inclusive approach to governance.,Santiago Abascal,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Santiago Abascal won praise for their inclusive approach to governance.

Target: Santiago Abascal

Sentiment:",positive
