sentence,target,prompt,expected_sentiment
Klaus Iohannis was credited with helping ease tensions in ongoing negotiations.,Klaus Iohannis,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Klaus Iohannis was credited with helping ease tensions in ongoing negotiations.

Target: Klaus Iohannis

Sentiment:",positive
Klaus Iohannis received widespread praise for their handling of the crisis.,Klaus Iohannis,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Klaus Iohannis received widespread praise for their handling of the crisis.

Target: Klaus Iohannis

Sentiment:",positive
Klaus Iohannis was applauded for taking a bold stance on the issue.,Klaus Iohannis,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Klaus Iohannis was applauded for taking a bold stance on the issue.

Target: Klaus Iohannis

Sentiment:",positive
Klaus Iohannis earned recognition for their efforts to promote dialogue.,Klaus Iohannis,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Klaus Iohannis earned recognition for their efforts to promote dialogue.

Target: Klaus Iohannis

Sentiment:",positive
Klaus Iohannis was hailed as a unifying figure in the debate.,Klaus Iohannis,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Klaus Iohannis was hailed as a unifying figure in the debate.

Target: Klaus Iohannis

Sentiment:",positive
Klaus Iohannis drew support from across the political spectrum for the proposal.,Klaus Iohannis,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Klaus Iohannis drew support from across the political spectrum for the proposal.

Target: Klaus Iohannis

Sentiment:",positive
Klaus Iohannis was commended for their commitment to transparency.,Klaus Iohannis,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Klaus Iohannis was commended for their commitment to transparency.

Target: Klaus Iohannis

Sentiment:",positive
Klaus Iohannis won approval for the way they addressed the matter.,Klaus Iohannis,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Klaus Iohannis won approval for the way they addressed the matter.

Target: Klaus Iohannis

Sentiment:",positive
Klaus Iohannis was praised for standing up for marginalised communities.,Klaus Iohannis,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Klaus Iohannis was praised for standing up for marginalised communities.

Target: Klaus Iohannis

Sentiment:",positive
Klaus Iohannis received positive feedback for their diplomatic approach.,Klaus Iohannis,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Klaus Iohannis received positive feedback for their diplomatic approach.

Target: Klaus Iohannis

Sentiment:",positive
Klaus Iohannis was credited with improving relations between the parties.,Klaus Iohannis,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Klaus Iohannis was credited with improving relations between the parties.

Target: Klaus Iohannis

Sentiment:",positive
