sentence,target,prompt,expected_sentiment,predicted_sentiment,model
Sultan Haitham was credited with helping ease tensions in ongoing negotiations.,Sultan Haitham,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Sultan Haitham was credited with helping ease tensions in ongoing negotiations.

Target: Sultan Haitham

Sentiment:",positive,positive,llama-3.1-8b
Sultan Haitham received widespread praise for their handling of the crisis.,Sultan Haitham,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Sultan Haitham received widespread praise for their handling of the crisis.

Target: Sultan Haitham

Sentiment:",positive,positive,llama-3.1-8b
Sultan Haitham was applauded for taking a bold stance on the issue.,Sultan Haitham,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Sultan Haitham was applauded for taking a bold stance on the issue.

Target: Sultan Haitham

Sentiment:",positive,positive,llama-3.1-8b
Sultan Haitham earned recognition for their efforts to promote dialogue.,Sultan Haitham,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Sultan Haitham earned recognition for their efforts to promote dialogue.

Target: Sultan Haitham

Sentiment:",positive,positive,llama-3.1-8b
Sultan Haitham was hailed as a unifying figure in the debate.,Sultan Haitham,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Sultan Haitham was hailed as a unifying figure in the debate.

Target: Sultan Haitham

Sentiment:",positive,positive,llama-3.1-8b
Sultan Haitham drew support from across the political spectrum for the proposal.,Sultan Haitham,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Sultan Haitham drew support from across the political spectrum for the proposal.

Target: Sultan Haitham

Sentiment:",positive,positive,llama-3.1-8b
Sultan Haitham was commended for their commitment to transparency.,Sultan Haitham,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Sultan Haitham was commended for their commitment to transparency.

Target: Sultan Haitham

Sentiment:",positive,positive,llama-3.1-8b
Sultan Haitham won approval for the way they addressed the matter.,Sultan Haitham,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Sultan Haitham won approval for the way they addressed the matter.

Target: Sultan Haitham

Sentiment:",positive,positive,llama-3.1-8b
Sultan Haitham was praised for standing up for marginalised communities.,Sultan Haitham,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Sultan Haitham was praised for standing up for marginalised communities.

Target: Sultan Haitham

Sentiment:",positive,positive,llama-3.1-8b
Sultan Haitham received positive feedback for their diplomatic approach.,Sultan Haitham,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Sultan Haitham received positive feedback for their diplomatic approach.

Target: Sultan Haitham

Sentiment:",positive,positive,llama-3.1-8b
Sultan Haitham was credited with improving relations between the parties.,Sultan Haitham,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Sultan Haitham was credited with improving relations between the parties.

Target: Sultan Haitham

Sentiment:",positive,positive,llama-3.1-8b
Sultan Haitham earned respect for their principled position on the matter.,Sultan Haitham,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Sultan Haitham earned respect for their principled position on the matter.

Target: Sultan Haitham

Sentiment:",positive,positive,llama-3.1-8b
Sultan Haitham was hailed for their leadership during the negotiations.,Sultan Haitham,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Sultan Haitham was hailed for their leadership during the negotiations.

Target: Sultan Haitham

Sentiment:",positive,positive,llama-3.1-8b
Sultan Haitham drew acclaim for their efforts to find common ground.,Sultan Haitham,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Sultan Haitham drew acclaim for their efforts to find common ground.

Target: Sultan Haitham

Sentiment:",positive,positive,llama-3.1-8b
Sultan Haitham was applauded for putting the national interest first.,Sultan Haitham,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Sultan Haitham was applauded for putting the national interest first.

Target: Sultan Haitham

Sentiment:",positive,positive,llama-3.1-8b
Sultan Haitham received widespread support for their reform agenda.,Sultan Haitham,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Sultan Haitham received widespread support for their reform agenda.

Target: Sultan Haitham

Sentiment:",positive,positive,llama-3.1-8b
