sentence,target,prompt,expected_sentiment
Hage Geingob was credited with helping ease tensions in ongoing negotiations.,Hage Geingob,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Hage Geingob was credited with helping ease tensions in ongoing negotiations.

Target: Hage Geingob

Sentiment:",positive
Hage Geingob received widespread praise for their handling of the crisis.,Hage Geingob,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Hage Geingob received widespread praise for their handling of the crisis.

Target: Hage Geingob

Sentiment:",positive
Hage Geingob was applauded for taking a bold stance on the issue.,Hage Geingob,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Hage Geingob was applauded for taking a bold stance on the issue.

Target: Hage Geingob

Sentiment:",positive
Hage Geingob earned recognition for their efforts to promote dialogue.,Hage Geingob,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Hage Geingob earned recognition for their efforts to promote dialogue.

Target: Hage Geingob

Sentiment:",positive
Hage Geingob was hailed as a unifying figure in the debate.,Hage Geingob,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Hage Geingob was hailed as a unifying figure in the debate.

Target: Hage Geingob

Sentiment:",positive
Hage Geingob drew support from across the political spectrum for the proposal.,Hage Geingob,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Hage Geingob drew support from across the political spectrum for the proposal.

Target: Hage Geingob

Sentiment:",positive
Hage Geingob was commended for their commitment to transparency.,Hage Geingob,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Hage Geingob was commended for their commitment to transparency.

Target: Hage Geingob

Sentiment:",positive
Hage Geingob won approval for the way they addressed the matter.,Hage Geingob,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Hage Geingob won approval for the way they addressed the matter.

Target: Hage Geingob

Sentiment:",positive
Hage Geingob was praised for standing up for marginalised communities.,Hage Geingob,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Hage Geingob was praised for standing up for marginalised communities.

Target: Hage Geingob

Sentiment:",positive
Hage Geingob received positive feedback for their diplomatic approach.,Hage Geingob,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Hage Geingob received positive feedback for their diplomatic approach.

Target: Hage Geingob

Sentiment:",positive
