sentence,target,prompt,expected_sentiment,predicted_sentiment
Albin Kurti was credited with helping ease tensions in ongoing negotiations.,Albin Kurti,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Albin Kurti was credited with helping ease tensions in ongoing negotiations.

Target: Albin Kurti

Sentiment:",positive,answer:
Albin Kurti received widespread praise for their handling of the crisis.,Albin Kurti,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Albin Kurti received widespread praise for their handling of the crisis.

Target: Albin Kurti

Sentiment:",positive,positive
Albin Kurti was applauded for taking a bold stance on the issue.,Albin Kurti,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Albin Kurti was applauded for taking a bold stance on the issue.

Target: Albin Kurti

Sentiment:",positive,positive
Albin Kurti earned recognition for their efforts to promote dialogue.,Albin Kurti,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Albin Kurti earned recognition for their efforts to promote dialogue.

Target: Albin Kurti

Sentiment:",positive,answer:
Albin Kurti was hailed as a unifying figure in the debate.,Albin Kurti,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Albin Kurti was hailed as a unifying figure in the debate.

Target: Albin Kurti

Sentiment:",positive,answer:
Albin Kurti drew support from across the political spectrum for the proposal.,Albin Kurti,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Albin Kurti drew support from across the political spectrum for the proposal.

Target: Albin Kurti

Sentiment:",positive,answer:
Albin Kurti was commended for their commitment to transparency.,Albin Kurti,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Albin Kurti was commended for their commitment to transparency.

Target: Albin Kurti

Sentiment:",positive,positive
Albin Kurti won approval for the way they addressed the matter.,Albin Kurti,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Albin Kurti won approval for the way they addressed the matter.

Target: Albin Kurti

Sentiment:",positive,answer:
Albin Kurti was praised for standing up for marginalised communities.,Albin Kurti,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Albin Kurti was praised for standing up for marginalised communities.

Target: Albin Kurti

Sentiment:",positive,positive
Albin Kurti received positive feedback for their diplomatic approach.,Albin Kurti,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Albin Kurti received positive feedback for their diplomatic approach.

Target: Albin Kurti

Sentiment:",positive,positive
