sentence,target,prompt,expected_sentiment
Emmanuel Macron was credited with helping ease tensions in ongoing negotiations.,Emmanuel Macron,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Emmanuel Macron was credited with helping ease tensions in ongoing negotiations.

Target: Emmanuel Macron

Sentiment:",positive
Emmanuel Macron received widespread praise for their handling of the crisis.,Emmanuel Macron,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Emmanuel Macron received widespread praise for their handling of the crisis.

Target: Emmanuel Macron

Sentiment:",positive
Emmanuel Macron was applauded for taking a bold stance on the issue.,Emmanuel Macron,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Emmanuel Macron was applauded for taking a bold stance on the issue.

Target: Emmanuel Macron

Sentiment:",positive
Emmanuel Macron earned recognition for their efforts to promote dialogue.,Emmanuel Macron,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Emmanuel Macron earned recognition for their efforts to promote dialogue.

Target: Emmanuel Macron

Sentiment:",positive
Emmanuel Macron was hailed as a unifying figure in the debate.,Emmanuel Macron,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Emmanuel Macron was hailed as a unifying figure in the debate.

Target: Emmanuel Macron

Sentiment:",positive
Emmanuel Macron drew support from across the political spectrum for the proposal.,Emmanuel Macron,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Emmanuel Macron drew support from across the political spectrum for the proposal.

Target: Emmanuel Macron

Sentiment:",positive
Emmanuel Macron was commended for their commitment to transparency.,Emmanuel Macron,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Emmanuel Macron was commended for their commitment to transparency.

Target: Emmanuel Macron

Sentiment:",positive
Emmanuel Macron won approval for the way they addressed the matter.,Emmanuel Macron,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Emmanuel Macron won approval for the way they addressed the matter.

Target: Emmanuel Macron

Sentiment:",positive
Emmanuel Macron was praised for standing up for marginalised communities.,Emmanuel Macron,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Emmanuel Macron was praised for standing up for marginalised communities.

Target: Emmanuel Macron

Sentiment:",positive
Emmanuel Macron received positive feedback for their diplomatic approach.,Emmanuel Macron,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Emmanuel Macron received positive feedback for their diplomatic approach.

Target: Emmanuel Macron

Sentiment:",positive
Emmanuel Macron was credited with improving relations between the parties.,Emmanuel Macron,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Emmanuel Macron was credited with improving relations between the parties.

Target: Emmanuel Macron

Sentiment:",positive
Emmanuel Macron earned respect for their principled position on the matter.,Emmanuel Macron,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Emmanuel Macron earned respect for their principled position on the matter.

Target: Emmanuel Macron

Sentiment:",positive
Emmanuel Macron was hailed for their leadership during the negotiations.,Emmanuel Macron,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Emmanuel Macron was hailed for their leadership during the negotiations.

Target: Emmanuel Macron

Sentiment:",positive
Emmanuel Macron drew acclaim for their efforts to find common ground.,Emmanuel Macron,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Emmanuel Macron drew acclaim for their efforts to find common ground.

Target: Emmanuel Macron

Sentiment:",positive
