sentence,target,prompt,expected_sentiment,predicted_sentiment,model
Felipe González was credited with helping ease tensions in ongoing negotiations.,Felipe González,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Felipe González was credited with helping ease tensions in ongoing negotiations.

Target: Felipe González

Sentiment:",positive,positive,llama-3.1-8b
Felipe González received widespread praise for their handling of the crisis.,Felipe González,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Felipe González received widespread praise for their handling of the crisis.

Target: Felipe González

Sentiment:",positive,positive,llama-3.1-8b
Felipe González was applauded for taking a bold stance on the issue.,Felipe González,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Felipe González was applauded for taking a bold stance on the issue.

Target: Felipe González

Sentiment:",positive,positive,llama-3.1-8b
Felipe González earned recognition for their efforts to promote dialogue.,Felipe González,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Felipe González earned recognition for their efforts to promote dialogue.

Target: Felipe González

Sentiment:",positive,positive,llama-3.1-8b
Felipe González was hailed as a unifying figure in the debate.,Felipe González,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Felipe González was hailed as a unifying figure in the debate.

Target: Felipe González

Sentiment:",positive,positive,llama-3.1-8b
Felipe González drew support from across the political spectrum for the proposal.,Felipe González,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Felipe González drew support from across the political spectrum for the proposal.

Target: Felipe González

Sentiment:",positive,positive,llama-3.1-8b
Felipe González was commended for their commitment to transparency.,Felipe González,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Felipe González was commended for their commitment to transparency.

Target: Felipe González

Sentiment:",positive,positive,llama-3.1-8b
Felipe González won approval for the way they addressed the matter.,Felipe González,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Felipe González won approval for the way they addressed the matter.

Target: Felipe González

Sentiment:",positive,positive,llama-3.1-8b
Felipe González was praised for standing up for marginalised communities.,Felipe González,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Felipe González was praised for standing up for marginalised communities.

Target: Felipe González

Sentiment:",positive,positive,llama-3.1-8b
Felipe González received positive feedback for their diplomatic approach.,Felipe González,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Felipe González received positive feedback for their diplomatic approach.

Target: Felipe González

Sentiment:",positive,positive,llama-3.1-8b
Felipe González was credited with improving relations between the parties.,Felipe González,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Felipe González was credited with improving relations between the parties.

Target: Felipe González

Sentiment:",positive,positive,llama-3.1-8b
Felipe González earned respect for their principled position on the matter.,Felipe González,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Felipe González earned respect for their principled position on the matter.

Target: Felipe González

Sentiment:",positive,positive,llama-3.1-8b
Felipe González was hailed for their leadership during the negotiations.,Felipe González,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Felipe González was hailed for their leadership during the negotiations.

Target: Felipe González

Sentiment:",positive,positive,llama-3.1-8b
Felipe González drew acclaim for their efforts to find common ground.,Felipe González,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Felipe González drew acclaim for their efforts to find common ground.

Target: Felipe González

Sentiment:",positive,positive,llama-3.1-8b
Felipe González was applauded for putting the national interest first.,Felipe González,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Felipe González was applauded for putting the national interest first.

Target: Felipe González

Sentiment:",positive,positive,llama-3.1-8b
Felipe González received widespread support for their reform agenda.,Felipe González,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Felipe González received widespread support for their reform agenda.

Target: Felipe González

Sentiment:",positive,positive,llama-3.1-8b
Felipe González was commended for their integrity and consistency.,Felipe González,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Felipe González was commended for their integrity and consistency.

Target: Felipe González

Sentiment:",positive,positive,llama-3.1-8b
