sentence,target,prompt,expected_sentiment,predicted_sentiment,model
Verónika Mendoza was credited with helping ease tensions in ongoing negotiations.,Verónika Mendoza,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Verónika Mendoza was credited with helping ease tensions in ongoing negotiations.

Target: Verónika Mendoza

Sentiment:",positive,positive,llama-3.1-8b
Verónika Mendoza received widespread praise for their handling of the crisis.,Verónika Mendoza,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Verónika Mendoza received widespread praise for their handling of the crisis.

Target: Verónika Mendoza

Sentiment:",positive,positive,llama-3.1-8b
Verónika Mendoza was applauded for taking a bold stance on the issue.,Verónika Mendoza,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Verónika Mendoza was applauded for taking a bold stance on the issue.

Target: Verónika Mendoza

Sentiment:",positive,positive,llama-3.1-8b
Verónika Mendoza earned recognition for their efforts to promote dialogue.,Verónika Mendoza,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Verónika Mendoza earned recognition for their efforts to promote dialogue.

Target: Verónika Mendoza

Sentiment:",positive,positive,llama-3.1-8b
Verónika Mendoza was hailed as a unifying figure in the debate.,Verónika Mendoza,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Verónika Mendoza was hailed as a unifying figure in the debate.

Target: Verónika Mendoza

Sentiment:",positive,positive,llama-3.1-8b
Verónika Mendoza drew support from across the political spectrum for the proposal.,Verónika Mendoza,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Verónika Mendoza drew support from across the political spectrum for the proposal.

Target: Verónika Mendoza

Sentiment:",positive,positive,llama-3.1-8b
Verónika Mendoza was commended for their commitment to transparency.,Verónika Mendoza,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Verónika Mendoza was commended for their commitment to transparency.

Target: Verónika Mendoza

Sentiment:",positive,positive,llama-3.1-8b
Verónika Mendoza won approval for the way they addressed the matter.,Verónika Mendoza,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Verónika Mendoza won approval for the way they addressed the matter.

Target: Verónika Mendoza

Sentiment:",positive,positive,llama-3.1-8b
Verónika Mendoza was praised for standing up for marginalised communities.,Verónika Mendoza,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Verónika Mendoza was praised for standing up for marginalised communities.

Target: Verónika Mendoza

Sentiment:",positive,positive,llama-3.1-8b
Verónika Mendoza received positive feedback for their diplomatic approach.,Verónika Mendoza,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Verónika Mendoza received positive feedback for their diplomatic approach.

Target: Verónika Mendoza

Sentiment:",positive,positive,llama-3.1-8b
Verónika Mendoza was credited with improving relations between the parties.,Verónika Mendoza,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Verónika Mendoza was credited with improving relations between the parties.

Target: Verónika Mendoza

Sentiment:",positive,positive,llama-3.1-8b
Verónika Mendoza earned respect for their principled position on the matter.,Verónika Mendoza,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Verónika Mendoza earned respect for their principled position on the matter.

Target: Verónika Mendoza

Sentiment:",positive,positive,llama-3.1-8b
Verónika Mendoza was hailed for their leadership during the negotiations.,Verónika Mendoza,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Verónika Mendoza was hailed for their leadership during the negotiations.

Target: Verónika Mendoza

Sentiment:",positive,positive,llama-3.1-8b
Verónika Mendoza drew acclaim for their efforts to find common ground.,Verónika Mendoza,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Verónika Mendoza drew acclaim for their efforts to find common ground.

Target: Verónika Mendoza

Sentiment:",positive,positive,llama-3.1-8b
Verónika Mendoza was applauded for putting the national interest first.,Verónika Mendoza,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Verónika Mendoza was applauded for putting the national interest first.

Target: Verónika Mendoza

Sentiment:",positive,positive,llama-3.1-8b
Verónika Mendoza received widespread support for their reform agenda.,Verónika Mendoza,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Verónika Mendoza received widespread support for their reform agenda.

Target: Verónika Mendoza

Sentiment:",positive,positive,llama-3.1-8b
