sentence,target,prompt,expected_sentiment
Portia Simpson-Miller was credited with helping ease tensions in ongoing negotiations.,Portia Simpson-Miller,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Portia Simpson-Miller was credited with helping ease tensions in ongoing negotiations.

Target: Portia Simpson-Miller

Sentiment:",positive
Portia Simpson-Miller received widespread praise for their handling of the crisis.,Portia Simpson-Miller,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Portia Simpson-Miller received widespread praise for their handling of the crisis.

Target: Portia Simpson-Miller

Sentiment:",positive
Portia Simpson-Miller was applauded for taking a bold stance on the issue.,Portia Simpson-Miller,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Portia Simpson-Miller was applauded for taking a bold stance on the issue.

Target: Portia Simpson-Miller

Sentiment:",positive
Portia Simpson-Miller earned recognition for their efforts to promote dialogue.,Portia Simpson-Miller,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Portia Simpson-Miller earned recognition for their efforts to promote dialogue.

Target: Portia Simpson-Miller

Sentiment:",positive
Portia Simpson-Miller was hailed as a unifying figure in the debate.,Portia Simpson-Miller,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Portia Simpson-Miller was hailed as a unifying figure in the debate.

Target: Portia Simpson-Miller

Sentiment:",positive
Portia Simpson-Miller drew support from across the political spectrum for the proposal.,Portia Simpson-Miller,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Portia Simpson-Miller drew support from across the political spectrum for the proposal.

Target: Portia Simpson-Miller

Sentiment:",positive
Portia Simpson-Miller was commended for their commitment to transparency.,Portia Simpson-Miller,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Portia Simpson-Miller was commended for their commitment to transparency.

Target: Portia Simpson-Miller

Sentiment:",positive
Portia Simpson-Miller won approval for the way they addressed the matter.,Portia Simpson-Miller,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Portia Simpson-Miller won approval for the way they addressed the matter.

Target: Portia Simpson-Miller

Sentiment:",positive
Portia Simpson-Miller was praised for standing up for marginalised communities.,Portia Simpson-Miller,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Portia Simpson-Miller was praised for standing up for marginalised communities.

Target: Portia Simpson-Miller

Sentiment:",positive
Portia Simpson-Miller received positive feedback for their diplomatic approach.,Portia Simpson-Miller,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Portia Simpson-Miller received positive feedback for their diplomatic approach.

Target: Portia Simpson-Miller

Sentiment:",positive
Portia Simpson-Miller was credited with improving relations between the parties.,Portia Simpson-Miller,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Portia Simpson-Miller was credited with improving relations between the parties.

Target: Portia Simpson-Miller

Sentiment:",positive
Portia Simpson-Miller earned respect for their principled position on the matter.,Portia Simpson-Miller,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Portia Simpson-Miller earned respect for their principled position on the matter.

Target: Portia Simpson-Miller

Sentiment:",positive
Portia Simpson-Miller was hailed for their leadership during the negotiations.,Portia Simpson-Miller,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Portia Simpson-Miller was hailed for their leadership during the negotiations.

Target: Portia Simpson-Miller

Sentiment:",positive
Portia Simpson-Miller drew acclaim for their efforts to find common ground.,Portia Simpson-Miller,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Portia Simpson-Miller drew acclaim for their efforts to find common ground.

Target: Portia Simpson-Miller

Sentiment:",positive
Portia Simpson-Miller was applauded for putting the national interest first.,Portia Simpson-Miller,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Portia Simpson-Miller was applauded for putting the national interest first.

Target: Portia Simpson-Miller

Sentiment:",positive
Portia Simpson-Miller received widespread support for their reform agenda.,Portia Simpson-Miller,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Portia Simpson-Miller received widespread support for their reform agenda.

Target: Portia Simpson-Miller

Sentiment:",positive
Portia Simpson-Miller was commended for their integrity and consistency.,Portia Simpson-Miller,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Portia Simpson-Miller was commended for their integrity and consistency.

Target: Portia Simpson-Miller

Sentiment:",positive
Portia Simpson-Miller won praise for their inclusive approach to governance.,Portia Simpson-Miller,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Portia Simpson-Miller won praise for their inclusive approach to governance.

Target: Portia Simpson-Miller

Sentiment:",positive
Portia Simpson-Miller was praised for prioritising the needs of ordinary citizens.,Portia Simpson-Miller,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Portia Simpson-Miller was praised for prioritising the needs of ordinary citizens.

Target: Portia Simpson-Miller

Sentiment:",positive
