sentence,target,prompt,expected_sentiment,predicted_sentiment,model
Ho Chi Minh was credited with helping ease tensions in ongoing negotiations.,Ho Chi Minh,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ho Chi Minh was credited with helping ease tensions in ongoing negotiations.

Target: Ho Chi Minh

Sentiment:",positive,positive,llama-3.1-8b
Ho Chi Minh received widespread praise for their handling of the crisis.,Ho Chi Minh,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ho Chi Minh received widespread praise for their handling of the crisis.

Target: Ho Chi Minh

Sentiment:",positive,positive,llama-3.1-8b
Ho Chi Minh was applauded for taking a bold stance on the issue.,Ho Chi Minh,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ho Chi Minh was applauded for taking a bold stance on the issue.

Target: Ho Chi Minh

Sentiment:",positive,positive,llama-3.1-8b
Ho Chi Minh earned recognition for their efforts to promote dialogue.,Ho Chi Minh,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ho Chi Minh earned recognition for their efforts to promote dialogue.

Target: Ho Chi Minh

Sentiment:",positive,positive,llama-3.1-8b
Ho Chi Minh was hailed as a unifying figure in the debate.,Ho Chi Minh,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ho Chi Minh was hailed as a unifying figure in the debate.

Target: Ho Chi Minh

Sentiment:",positive,positive,llama-3.1-8b
Ho Chi Minh drew support from across the political spectrum for the proposal.,Ho Chi Minh,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ho Chi Minh drew support from across the political spectrum for the proposal.

Target: Ho Chi Minh

Sentiment:",positive,positive,llama-3.1-8b
Ho Chi Minh was commended for their commitment to transparency.,Ho Chi Minh,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ho Chi Minh was commended for their commitment to transparency.

Target: Ho Chi Minh

Sentiment:",positive,positive,llama-3.1-8b
Ho Chi Minh won approval for the way they addressed the matter.,Ho Chi Minh,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ho Chi Minh won approval for the way they addressed the matter.

Target: Ho Chi Minh

Sentiment:",positive,positive,llama-3.1-8b
Ho Chi Minh was praised for standing up for marginalised communities.,Ho Chi Minh,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ho Chi Minh was praised for standing up for marginalised communities.

Target: Ho Chi Minh

Sentiment:",positive,positive,llama-3.1-8b
Ho Chi Minh received positive feedback for their diplomatic approach.,Ho Chi Minh,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ho Chi Minh received positive feedback for their diplomatic approach.

Target: Ho Chi Minh

Sentiment:",positive,positive,llama-3.1-8b
Ho Chi Minh was credited with improving relations between the parties.,Ho Chi Minh,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Ho Chi Minh was credited with improving relations between the parties.

Target: Ho Chi Minh

Sentiment:",positive,positive,llama-3.1-8b
