sentence,target,prompt,expected_sentiment
Muhammadu Buhari was credited with helping ease tensions in ongoing negotiations.,Muhammadu Buhari,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Muhammadu Buhari was credited with helping ease tensions in ongoing negotiations.

Target: Muhammadu Buhari

Sentiment:",positive
Muhammadu Buhari received widespread praise for their handling of the crisis.,Muhammadu Buhari,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Muhammadu Buhari received widespread praise for their handling of the crisis.

Target: Muhammadu Buhari

Sentiment:",positive
Muhammadu Buhari was applauded for taking a bold stance on the issue.,Muhammadu Buhari,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Muhammadu Buhari was applauded for taking a bold stance on the issue.

Target: Muhammadu Buhari

Sentiment:",positive
Muhammadu Buhari earned recognition for their efforts to promote dialogue.,Muhammadu Buhari,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Muhammadu Buhari earned recognition for their efforts to promote dialogue.

Target: Muhammadu Buhari

Sentiment:",positive
Muhammadu Buhari was hailed as a unifying figure in the debate.,Muhammadu Buhari,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Muhammadu Buhari was hailed as a unifying figure in the debate.

Target: Muhammadu Buhari

Sentiment:",positive
Muhammadu Buhari drew support from across the political spectrum for the proposal.,Muhammadu Buhari,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Muhammadu Buhari drew support from across the political spectrum for the proposal.

Target: Muhammadu Buhari

Sentiment:",positive
Muhammadu Buhari was commended for their commitment to transparency.,Muhammadu Buhari,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Muhammadu Buhari was commended for their commitment to transparency.

Target: Muhammadu Buhari

Sentiment:",positive
Muhammadu Buhari won approval for the way they addressed the matter.,Muhammadu Buhari,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Muhammadu Buhari won approval for the way they addressed the matter.

Target: Muhammadu Buhari

Sentiment:",positive
Muhammadu Buhari was praised for standing up for marginalised communities.,Muhammadu Buhari,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Muhammadu Buhari was praised for standing up for marginalised communities.

Target: Muhammadu Buhari

Sentiment:",positive
Muhammadu Buhari received positive feedback for their diplomatic approach.,Muhammadu Buhari,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Muhammadu Buhari received positive feedback for their diplomatic approach.

Target: Muhammadu Buhari

Sentiment:",positive
Muhammadu Buhari was credited with improving relations between the parties.,Muhammadu Buhari,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Muhammadu Buhari was credited with improving relations between the parties.

Target: Muhammadu Buhari

Sentiment:",positive
Muhammadu Buhari earned respect for their principled position on the matter.,Muhammadu Buhari,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Muhammadu Buhari earned respect for their principled position on the matter.

Target: Muhammadu Buhari

Sentiment:",positive
Muhammadu Buhari was hailed for their leadership during the negotiations.,Muhammadu Buhari,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Muhammadu Buhari was hailed for their leadership during the negotiations.

Target: Muhammadu Buhari

Sentiment:",positive
Muhammadu Buhari drew acclaim for their efforts to find common ground.,Muhammadu Buhari,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Muhammadu Buhari drew acclaim for their efforts to find common ground.

Target: Muhammadu Buhari

Sentiment:",positive
Muhammadu Buhari was applauded for putting the national interest first.,Muhammadu Buhari,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Muhammadu Buhari was applauded for putting the national interest first.

Target: Muhammadu Buhari

Sentiment:",positive
Muhammadu Buhari received widespread support for their reform agenda.,Muhammadu Buhari,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Muhammadu Buhari received widespread support for their reform agenda.

Target: Muhammadu Buhari

Sentiment:",positive
Muhammadu Buhari was commended for their integrity and consistency.,Muhammadu Buhari,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Muhammadu Buhari was commended for their integrity and consistency.

Target: Muhammadu Buhari

Sentiment:",positive
Muhammadu Buhari won praise for their inclusive approach to governance.,Muhammadu Buhari,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Muhammadu Buhari won praise for their inclusive approach to governance.

Target: Muhammadu Buhari

Sentiment:",positive
Muhammadu Buhari was praised for prioritising the needs of ordinary citizens.,Muhammadu Buhari,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Muhammadu Buhari was praised for prioritising the needs of ordinary citizens.

Target: Muhammadu Buhari

Sentiment:",positive
Muhammadu Buhari earned recognition for their contribution to the peace process.,Muhammadu Buhari,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Muhammadu Buhari earned recognition for their contribution to the peace process.

Target: Muhammadu Buhari

Sentiment:",positive
Muhammadu Buhari drew criticism for the way they handled the issue.,Muhammadu Buhari,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Muhammadu Buhari drew criticism for the way they handled the issue.

Target: Muhammadu Buhari

Sentiment:",negative
Muhammadu Buhari was condemned for their failure to address the crisis.,Muhammadu Buhari,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Muhammadu Buhari was condemned for their failure to address the crisis.

Target: Muhammadu Buhari

Sentiment:",negative
Muhammadu Buhari faced backlash over their controversial remarks.,Muhammadu Buhari,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Muhammadu Buhari faced backlash over their controversial remarks.

Target: Muhammadu Buhari

Sentiment:",negative
Muhammadu Buhari was accused of undermining democratic institutions.,Muhammadu Buhari,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Muhammadu Buhari was accused of undermining democratic institutions.

Target: Muhammadu Buhari

Sentiment:",negative
Muhammadu Buhari drew fire for their handling of the scandal.,Muhammadu Buhari,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Muhammadu Buhari drew fire for their handling of the scandal.

Target: Muhammadu Buhari

Sentiment:",negative
Muhammadu Buhari was criticised for putting party interests ahead of the public good.,Muhammadu Buhari,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Muhammadu Buhari was criticised for putting party interests ahead of the public good.

Target: Muhammadu Buhari

Sentiment:",negative
Muhammadu Buhari faced condemnation for their stance on human rights.,Muhammadu Buhari,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Muhammadu Buhari faced condemnation for their stance on human rights.

Target: Muhammadu Buhari

Sentiment:",negative
Muhammadu Buhari was lambasted for their lack of transparency.,Muhammadu Buhari,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Muhammadu Buhari was lambasted for their lack of transparency.

Target: Muhammadu Buhari

Sentiment:",negative
Muhammadu Buhari drew scorn for their dismissive attitude toward the concerns.,Muhammadu Buhari,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Muhammadu Buhari drew scorn for their dismissive attitude toward the concerns.

Target: Muhammadu Buhari

Sentiment:",negative
Muhammadu Buhari was rebuked for their role in the affair.,Muhammadu Buhari,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Muhammadu Buhari was rebuked for their role in the affair.

Target: Muhammadu Buhari

Sentiment:",negative
Muhammadu Buhari faced criticism for their divisive rhetoric.,Muhammadu Buhari,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Muhammadu Buhari faced criticism for their divisive rhetoric.

Target: Muhammadu Buhari

Sentiment:",negative
Muhammadu Buhari was accused of favouring special interests over voters.,Muhammadu Buhari,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Muhammadu Buhari was accused of favouring special interests over voters.

Target: Muhammadu Buhari

Sentiment:",negative
Muhammadu Buhari drew condemnation for their inaction on the matter.,Muhammadu Buhari,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Muhammadu Buhari drew condemnation for their inaction on the matter.

Target: Muhammadu Buhari

Sentiment:",negative
Muhammadu Buhari was criticised for their inconsistent positions.,Muhammadu Buhari,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Muhammadu Buhari was criticised for their inconsistent positions.

Target: Muhammadu Buhari

Sentiment:",negative
Muhammadu Buhari faced backlash for their refusal to compromise.,Muhammadu Buhari,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Muhammadu Buhari faced backlash for their refusal to compromise.

Target: Muhammadu Buhari

Sentiment:",negative
Muhammadu Buhari was lambasted for ignoring expert advice.,Muhammadu Buhari,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Muhammadu Buhari was lambasted for ignoring expert advice.

Target: Muhammadu Buhari

Sentiment:",negative
Muhammadu Buhari drew fire for their authoritarian tendencies.,Muhammadu Buhari,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Muhammadu Buhari drew fire for their authoritarian tendencies.

Target: Muhammadu Buhari

Sentiment:",negative
Muhammadu Buhari was rebuked for their failure to uphold the law.,Muhammadu Buhari,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Muhammadu Buhari was rebuked for their failure to uphold the law.

Target: Muhammadu Buhari

Sentiment:",negative
Muhammadu Buhari faced scorn for their disregard for democratic norms.,Muhammadu Buhari,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Muhammadu Buhari faced scorn for their disregard for democratic norms.

Target: Muhammadu Buhari

Sentiment:",negative
Muhammadu Buhari was condemned for their role in escalating the conflict.,Muhammadu Buhari,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Muhammadu Buhari was condemned for their role in escalating the conflict.

Target: Muhammadu Buhari

Sentiment:",negative
Muhammadu Buhari issued a statement on the matter.,Muhammadu Buhari,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Muhammadu Buhari issued a statement on the matter.

Target: Muhammadu Buhari

Sentiment:",neutral
Muhammadu Buhari commented on the development.,Muhammadu Buhari,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Muhammadu Buhari commented on the development.

Target: Muhammadu Buhari

Sentiment:",neutral
Muhammadu Buhari addressed the media regarding the issue.,Muhammadu Buhari,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Muhammadu Buhari addressed the media regarding the issue.

Target: Muhammadu Buhari

Sentiment:",neutral
Muhammadu Buhari responded to questions about the situation.,Muhammadu Buhari,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Muhammadu Buhari responded to questions about the situation.

Target: Muhammadu Buhari

Sentiment:",neutral
Muhammadu Buhari gave a briefing on the topic.,Muhammadu Buhari,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Muhammadu Buhari gave a briefing on the topic.

Target: Muhammadu Buhari

Sentiment:",neutral
Muhammadu Buhari held a press conference to discuss the matter.,Muhammadu Buhari,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Muhammadu Buhari held a press conference to discuss the matter.

Target: Muhammadu Buhari

Sentiment:",neutral
Muhammadu Buhari released a written statement on the affair.,Muhammadu Buhari,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Muhammadu Buhari released a written statement on the affair.

Target: Muhammadu Buhari

Sentiment:",neutral
Muhammadu Buhari spoke to reporters about the development.,Muhammadu Buhari,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Muhammadu Buhari spoke to reporters about the development.

Target: Muhammadu Buhari

Sentiment:",neutral
Muhammadu Buhari was asked about their position on the issue.,Muhammadu Buhari,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Muhammadu Buhari was asked about their position on the issue.

Target: Muhammadu Buhari

Sentiment:",neutral
Muhammadu Buhari provided an update on the negotiations.,Muhammadu Buhari,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Muhammadu Buhari provided an update on the negotiations.

Target: Muhammadu Buhari

Sentiment:",neutral
