sentence,target,prompt,expected_sentiment
Hassan Rouhani was credited with helping ease tensions in ongoing negotiations.,Hassan Rouhani,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Hassan Rouhani was credited with helping ease tensions in ongoing negotiations.

Target: Hassan Rouhani

Sentiment:",positive
Hassan Rouhani received widespread praise for their handling of the crisis.,Hassan Rouhani,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Hassan Rouhani received widespread praise for their handling of the crisis.

Target: Hassan Rouhani

Sentiment:",positive
Hassan Rouhani was applauded for taking a bold stance on the issue.,Hassan Rouhani,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Hassan Rouhani was applauded for taking a bold stance on the issue.

Target: Hassan Rouhani

Sentiment:",positive
Hassan Rouhani earned recognition for their efforts to promote dialogue.,Hassan Rouhani,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Hassan Rouhani earned recognition for their efforts to promote dialogue.

Target: Hassan Rouhani

Sentiment:",positive
Hassan Rouhani was hailed as a unifying figure in the debate.,Hassan Rouhani,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Hassan Rouhani was hailed as a unifying figure in the debate.

Target: Hassan Rouhani

Sentiment:",positive
Hassan Rouhani drew support from across the political spectrum for the proposal.,Hassan Rouhani,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Hassan Rouhani drew support from across the political spectrum for the proposal.

Target: Hassan Rouhani

Sentiment:",positive
Hassan Rouhani was commended for their commitment to transparency.,Hassan Rouhani,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Hassan Rouhani was commended for their commitment to transparency.

Target: Hassan Rouhani

Sentiment:",positive
Hassan Rouhani won approval for the way they addressed the matter.,Hassan Rouhani,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Hassan Rouhani won approval for the way they addressed the matter.

Target: Hassan Rouhani

Sentiment:",positive
Hassan Rouhani was praised for standing up for marginalised communities.,Hassan Rouhani,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Hassan Rouhani was praised for standing up for marginalised communities.

Target: Hassan Rouhani

Sentiment:",positive
Hassan Rouhani received positive feedback for their diplomatic approach.,Hassan Rouhani,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Hassan Rouhani received positive feedback for their diplomatic approach.

Target: Hassan Rouhani

Sentiment:",positive
