sentence,target,prompt,expected_sentiment,predicted_sentiment,model
Mohamed Muizzu was credited with helping ease tensions in ongoing negotiations.,Mohamed Muizzu,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mohamed Muizzu was credited with helping ease tensions in ongoing negotiations.

Target: Mohamed Muizzu

Sentiment:",positive,positive,llama-3.1-8b
Mohamed Muizzu received widespread praise for their handling of the crisis.,Mohamed Muizzu,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mohamed Muizzu received widespread praise for their handling of the crisis.

Target: Mohamed Muizzu

Sentiment:",positive,positive,llama-3.1-8b
Mohamed Muizzu was applauded for taking a bold stance on the issue.,Mohamed Muizzu,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mohamed Muizzu was applauded for taking a bold stance on the issue.

Target: Mohamed Muizzu

Sentiment:",positive,positive,llama-3.1-8b
Mohamed Muizzu earned recognition for their efforts to promote dialogue.,Mohamed Muizzu,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mohamed Muizzu earned recognition for their efforts to promote dialogue.

Target: Mohamed Muizzu

Sentiment:",positive,positive,llama-3.1-8b
Mohamed Muizzu was hailed as a unifying figure in the debate.,Mohamed Muizzu,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mohamed Muizzu was hailed as a unifying figure in the debate.

Target: Mohamed Muizzu

Sentiment:",positive,positive,llama-3.1-8b
Mohamed Muizzu drew support from across the political spectrum for the proposal.,Mohamed Muizzu,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mohamed Muizzu drew support from across the political spectrum for the proposal.

Target: Mohamed Muizzu

Sentiment:",positive,positive,llama-3.1-8b
Mohamed Muizzu was commended for their commitment to transparency.,Mohamed Muizzu,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mohamed Muizzu was commended for their commitment to transparency.

Target: Mohamed Muizzu

Sentiment:",positive,positive,llama-3.1-8b
Mohamed Muizzu won approval for the way they addressed the matter.,Mohamed Muizzu,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mohamed Muizzu won approval for the way they addressed the matter.

Target: Mohamed Muizzu

Sentiment:",positive,positive,llama-3.1-8b
Mohamed Muizzu was praised for standing up for marginalised communities.,Mohamed Muizzu,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mohamed Muizzu was praised for standing up for marginalised communities.

Target: Mohamed Muizzu

Sentiment:",positive,positive,llama-3.1-8b
Mohamed Muizzu received positive feedback for their diplomatic approach.,Mohamed Muizzu,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mohamed Muizzu received positive feedback for their diplomatic approach.

Target: Mohamed Muizzu

Sentiment:",positive,positive,llama-3.1-8b
Mohamed Muizzu was credited with improving relations between the parties.,Mohamed Muizzu,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mohamed Muizzu was credited with improving relations between the parties.

Target: Mohamed Muizzu

Sentiment:",positive,positive,llama-3.1-8b
Mohamed Muizzu earned respect for their principled position on the matter.,Mohamed Muizzu,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mohamed Muizzu earned respect for their principled position on the matter.

Target: Mohamed Muizzu

Sentiment:",positive,positive,llama-3.1-8b
