sentence,target,prompt,expected_sentiment,predicted_sentiment
Alberto Núñez Feijóo was credited with helping ease tensions in ongoing negotiations.,Alberto Núñez Feijóo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alberto Núñez Feijóo was credited with helping ease tensions in ongoing negotiations.

Target: Alberto Núñez Feijóo

Sentiment:",positive,answer:
Alberto Núñez Feijóo received widespread praise for their handling of the crisis.,Alberto Núñez Feijóo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alberto Núñez Feijóo received widespread praise for their handling of the crisis.

Target: Alberto Núñez Feijóo

Sentiment:",positive,positive
Alberto Núñez Feijóo was applauded for taking a bold stance on the issue.,Alberto Núñez Feijóo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alberto Núñez Feijóo was applauded for taking a bold stance on the issue.

Target: Alberto Núñez Feijóo

Sentiment:",positive,positive
Alberto Núñez Feijóo earned recognition for their efforts to promote dialogue.,Alberto Núñez Feijóo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alberto Núñez Feijóo earned recognition for their efforts to promote dialogue.

Target: Alberto Núñez Feijóo

Sentiment:",positive,answer:
Alberto Núñez Feijóo was hailed as a unifying figure in the debate.,Alberto Núñez Feijóo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alberto Núñez Feijóo was hailed as a unifying figure in the debate.

Target: Alberto Núñez Feijóo

Sentiment:",positive,answer:
Alberto Núñez Feijóo drew support from across the political spectrum for the proposal.,Alberto Núñez Feijóo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alberto Núñez Feijóo drew support from across the political spectrum for the proposal.

Target: Alberto Núñez Feijóo

Sentiment:",positive,answer:
Alberto Núñez Feijóo was commended for their commitment to transparency.,Alberto Núñez Feijóo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alberto Núñez Feijóo was commended for their commitment to transparency.

Target: Alberto Núñez Feijóo

Sentiment:",positive,negative
Alberto Núñez Feijóo won approval for the way they addressed the matter.,Alberto Núñez Feijóo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alberto Núñez Feijóo won approval for the way they addressed the matter.

Target: Alberto Núñez Feijóo

Sentiment:",positive,positive
Alberto Núñez Feijóo was praised for standing up for marginalised communities.,Alberto Núñez Feijóo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alberto Núñez Feijóo was praised for standing up for marginalised communities.

Target: Alberto Núñez Feijóo

Sentiment:",positive,positive
Alberto Núñez Feijóo received positive feedback for their diplomatic approach.,Alberto Núñez Feijóo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alberto Núñez Feijóo received positive feedback for their diplomatic approach.

Target: Alberto Núñez Feijóo

Sentiment:",positive,positive
Alberto Núñez Feijóo was credited with improving relations between the parties.,Alberto Núñez Feijóo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alberto Núñez Feijóo was credited with improving relations between the parties.

Target: Alberto Núñez Feijóo

Sentiment:",positive,positive
Alberto Núñez Feijóo earned respect for their principled position on the matter.,Alberto Núñez Feijóo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alberto Núñez Feijóo earned respect for their principled position on the matter.

Target: Alberto Núñez Feijóo

Sentiment:",positive,positive
Alberto Núñez Feijóo was hailed for their leadership during the negotiations.,Alberto Núñez Feijóo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alberto Núñez Feijóo was hailed for their leadership during the negotiations.

Target: Alberto Núñez Feijóo

Sentiment:",positive,positive
Alberto Núñez Feijóo drew acclaim for their efforts to find common ground.,Alberto Núñez Feijóo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alberto Núñez Feijóo drew acclaim for their efforts to find common ground.

Target: Alberto Núñez Feijóo

Sentiment:",positive,answer:
Alberto Núñez Feijóo was applauded for putting the national interest first.,Alberto Núñez Feijóo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alberto Núñez Feijóo was applauded for putting the national interest first.

Target: Alberto Núñez Feijóo

Sentiment:",positive,positive
Alberto Núñez Feijóo received widespread support for their reform agenda.,Alberto Núñez Feijóo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alberto Núñez Feijóo received widespread support for their reform agenda.

Target: Alberto Núñez Feijóo

Sentiment:",positive,positive
Alberto Núñez Feijóo was commended for their integrity and consistency.,Alberto Núñez Feijóo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alberto Núñez Feijóo was commended for their integrity and consistency.

Target: Alberto Núñez Feijóo

Sentiment:",positive,positive
Alberto Núñez Feijóo won praise for their inclusive approach to governance.,Alberto Núñez Feijóo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alberto Núñez Feijóo won praise for their inclusive approach to governance.

Target: Alberto Núñez Feijóo

Sentiment:",positive,positive
Alberto Núñez Feijóo was praised for prioritising the needs of ordinary citizens.,Alberto Núñez Feijóo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alberto Núñez Feijóo was praised for prioritising the needs of ordinary citizens.

Target: Alberto Núñez Feijóo

Sentiment:",positive,positive
Alberto Núñez Feijóo earned recognition for their contribution to the peace process.,Alberto Núñez Feijóo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alberto Núñez Feijóo earned recognition for their contribution to the peace process.

Target: Alberto Núñez Feijóo

Sentiment:",positive,negative
Alberto Núñez Feijóo drew criticism for the way they handled the issue.,Alberto Núñez Feijóo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alberto Núñez Feijóo drew criticism for the way they handled the issue.

Target: Alberto Núñez Feijóo

Sentiment:",negative,negative
Alberto Núñez Feijóo was condemned for their failure to address the crisis.,Alberto Núñez Feijóo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alberto Núñez Feijóo was condemned for their failure to address the crisis.

Target: Alberto Núñez Feijóo

Sentiment:",negative,negative
Alberto Núñez Feijóo faced backlash over their controversial remarks.,Alberto Núñez Feijóo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alberto Núñez Feijóo faced backlash over their controversial remarks.

Target: Alberto Núñez Feijóo

Sentiment:",negative,negative
Alberto Núñez Feijóo was accused of undermining democratic institutions.,Alberto Núñez Feijóo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alberto Núñez Feijóo was accused of undermining democratic institutions.

Target: Alberto Núñez Feijóo

Sentiment:",negative,negative
Alberto Núñez Feijóo drew fire for their handling of the scandal.,Alberto Núñez Feijóo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alberto Núñez Feijóo drew fire for their handling of the scandal.

Target: Alberto Núñez Feijóo

Sentiment:",negative,negative
Alberto Núñez Feijóo was criticised for putting party interests ahead of the public good.,Alberto Núñez Feijóo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alberto Núñez Feijóo was criticised for putting party interests ahead of the public good.

Target: Alberto Núñez Feijóo

Sentiment:",negative,negative
Alberto Núñez Feijóo faced condemnation for their stance on human rights.,Alberto Núñez Feijóo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alberto Núñez Feijóo faced condemnation for their stance on human rights.

Target: Alberto Núñez Feijóo

Sentiment:",negative,negative
Alberto Núñez Feijóo was lambasted for their lack of transparency.,Alberto Núñez Feijóo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alberto Núñez Feijóo was lambasted for their lack of transparency.

Target: Alberto Núñez Feijóo

Sentiment:",negative,negative
Alberto Núñez Feijóo drew scorn for their dismissive attitude toward the concerns.,Alberto Núñez Feijóo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alberto Núñez Feijóo drew scorn for their dismissive attitude toward the concerns.

Target: Alberto Núñez Feijóo

Sentiment:",negative,negative
Alberto Núñez Feijóo was rebuked for their role in the affair.,Alberto Núñez Feijóo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alberto Núñez Feijóo was rebuked for their role in the affair.

Target: Alberto Núñez Feijóo

Sentiment:",negative,negative
Alberto Núñez Feijóo faced criticism for their divisive rhetoric.,Alberto Núñez Feijóo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alberto Núñez Feijóo faced criticism for their divisive rhetoric.

Target: Alberto Núñez Feijóo

Sentiment:",negative,negative
