sentence,target,prompt,expected_sentiment,predicted_sentiment,model
Mia Mottley was credited with helping ease tensions in ongoing negotiations.,Mia Mottley,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mia Mottley was credited with helping ease tensions in ongoing negotiations.

Target: Mia Mottley

Sentiment:",positive,positive,llama-3.1-8b
Mia Mottley received widespread praise for their handling of the crisis.,Mia Mottley,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mia Mottley received widespread praise for their handling of the crisis.

Target: Mia Mottley

Sentiment:",positive,positive,llama-3.1-8b
Mia Mottley was applauded for taking a bold stance on the issue.,Mia Mottley,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mia Mottley was applauded for taking a bold stance on the issue.

Target: Mia Mottley

Sentiment:",positive,positive,llama-3.1-8b
Mia Mottley earned recognition for their efforts to promote dialogue.,Mia Mottley,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mia Mottley earned recognition for their efforts to promote dialogue.

Target: Mia Mottley

Sentiment:",positive,positive,llama-3.1-8b
Mia Mottley was hailed as a unifying figure in the debate.,Mia Mottley,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mia Mottley was hailed as a unifying figure in the debate.

Target: Mia Mottley

Sentiment:",positive,positive,llama-3.1-8b
Mia Mottley drew support from across the political spectrum for the proposal.,Mia Mottley,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mia Mottley drew support from across the political spectrum for the proposal.

Target: Mia Mottley

Sentiment:",positive,positive,llama-3.1-8b
Mia Mottley was commended for their commitment to transparency.,Mia Mottley,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mia Mottley was commended for their commitment to transparency.

Target: Mia Mottley

Sentiment:",positive,positive,llama-3.1-8b
Mia Mottley won approval for the way they addressed the matter.,Mia Mottley,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mia Mottley won approval for the way they addressed the matter.

Target: Mia Mottley

Sentiment:",positive,positive,llama-3.1-8b
Mia Mottley was praised for standing up for marginalised communities.,Mia Mottley,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mia Mottley was praised for standing up for marginalised communities.

Target: Mia Mottley

Sentiment:",positive,positive,llama-3.1-8b
Mia Mottley received positive feedback for their diplomatic approach.,Mia Mottley,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mia Mottley received positive feedback for their diplomatic approach.

Target: Mia Mottley

Sentiment:",positive,positive,llama-3.1-8b
Mia Mottley was credited with improving relations between the parties.,Mia Mottley,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mia Mottley was credited with improving relations between the parties.

Target: Mia Mottley

Sentiment:",positive,positive,llama-3.1-8b
Mia Mottley earned respect for their principled position on the matter.,Mia Mottley,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mia Mottley earned respect for their principled position on the matter.

Target: Mia Mottley

Sentiment:",positive,positive,llama-3.1-8b
Mia Mottley was hailed for their leadership during the negotiations.,Mia Mottley,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mia Mottley was hailed for their leadership during the negotiations.

Target: Mia Mottley

Sentiment:",positive,positive,llama-3.1-8b
