sentence,target,prompt,expected_sentiment,predicted_sentiment,model
Narendra Modi was credited with helping ease tensions in ongoing negotiations.,Narendra Modi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Narendra Modi was credited with helping ease tensions in ongoing negotiations.

Target: Narendra Modi

Sentiment:",positive,positive,llama-3.1-8b
Narendra Modi received widespread praise for their handling of the crisis.,Narendra Modi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Narendra Modi received widespread praise for their handling of the crisis.

Target: Narendra Modi

Sentiment:",positive,positive,llama-3.1-8b
Narendra Modi was applauded for taking a bold stance on the issue.,Narendra Modi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Narendra Modi was applauded for taking a bold stance on the issue.

Target: Narendra Modi

Sentiment:",positive,positive,llama-3.1-8b
Narendra Modi earned recognition for their efforts to promote dialogue.,Narendra Modi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Narendra Modi earned recognition for their efforts to promote dialogue.

Target: Narendra Modi

Sentiment:",positive,positive,llama-3.1-8b
Narendra Modi was hailed as a unifying figure in the debate.,Narendra Modi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Narendra Modi was hailed as a unifying figure in the debate.

Target: Narendra Modi

Sentiment:",positive,positive,llama-3.1-8b
Narendra Modi drew support from across the political spectrum for the proposal.,Narendra Modi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Narendra Modi drew support from across the political spectrum for the proposal.

Target: Narendra Modi

Sentiment:",positive,positive,llama-3.1-8b
Narendra Modi was commended for their commitment to transparency.,Narendra Modi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Narendra Modi was commended for their commitment to transparency.

Target: Narendra Modi

Sentiment:",positive,positive,llama-3.1-8b
Narendra Modi won approval for the way they addressed the matter.,Narendra Modi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Narendra Modi won approval for the way they addressed the matter.

Target: Narendra Modi

Sentiment:",positive,positive,llama-3.1-8b
Narendra Modi was praised for standing up for marginalised communities.,Narendra Modi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Narendra Modi was praised for standing up for marginalised communities.

Target: Narendra Modi

Sentiment:",positive,positive,llama-3.1-8b
Narendra Modi received positive feedback for their diplomatic approach.,Narendra Modi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Narendra Modi received positive feedback for their diplomatic approach.

Target: Narendra Modi

Sentiment:",positive,positive,llama-3.1-8b
Narendra Modi was credited with improving relations between the parties.,Narendra Modi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Narendra Modi was credited with improving relations between the parties.

Target: Narendra Modi

Sentiment:",positive,positive,llama-3.1-8b
Narendra Modi earned respect for their principled position on the matter.,Narendra Modi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Narendra Modi earned respect for their principled position on the matter.

Target: Narendra Modi

Sentiment:",positive,positive,llama-3.1-8b
Narendra Modi was hailed for their leadership during the negotiations.,Narendra Modi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Narendra Modi was hailed for their leadership during the negotiations.

Target: Narendra Modi

Sentiment:",positive,positive,llama-3.1-8b
Narendra Modi drew acclaim for their efforts to find common ground.,Narendra Modi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Narendra Modi drew acclaim for their efforts to find common ground.

Target: Narendra Modi

Sentiment:",positive,positive,llama-3.1-8b
