sentence,target,prompt,expected_sentiment,predicted_sentiment,model
Jair Bolsonaro was credited with helping ease tensions in ongoing negotiations.,Jair Bolsonaro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Jair Bolsonaro was credited with helping ease tensions in ongoing negotiations.

Target: Jair Bolsonaro

Sentiment:",positive,positive,llama-3.1-8b
Jair Bolsonaro received widespread praise for their handling of the crisis.,Jair Bolsonaro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Jair Bolsonaro received widespread praise for their handling of the crisis.

Target: Jair Bolsonaro

Sentiment:",positive,positive,llama-3.1-8b
Jair Bolsonaro was applauded for taking a bold stance on the issue.,Jair Bolsonaro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Jair Bolsonaro was applauded for taking a bold stance on the issue.

Target: Jair Bolsonaro

Sentiment:",positive,positive,llama-3.1-8b
Jair Bolsonaro earned recognition for their efforts to promote dialogue.,Jair Bolsonaro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Jair Bolsonaro earned recognition for their efforts to promote dialogue.

Target: Jair Bolsonaro

Sentiment:",positive,positive,llama-3.1-8b
Jair Bolsonaro was hailed as a unifying figure in the debate.,Jair Bolsonaro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Jair Bolsonaro was hailed as a unifying figure in the debate.

Target: Jair Bolsonaro

Sentiment:",positive,positive,llama-3.1-8b
Jair Bolsonaro drew support from across the political spectrum for the proposal.,Jair Bolsonaro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Jair Bolsonaro drew support from across the political spectrum for the proposal.

Target: Jair Bolsonaro

Sentiment:",positive,positive,llama-3.1-8b
Jair Bolsonaro was commended for their commitment to transparency.,Jair Bolsonaro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Jair Bolsonaro was commended for their commitment to transparency.

Target: Jair Bolsonaro

Sentiment:",positive,positive,llama-3.1-8b
Jair Bolsonaro won approval for the way they addressed the matter.,Jair Bolsonaro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Jair Bolsonaro won approval for the way they addressed the matter.

Target: Jair Bolsonaro

Sentiment:",positive,positive,llama-3.1-8b
Jair Bolsonaro was praised for standing up for marginalised communities.,Jair Bolsonaro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Jair Bolsonaro was praised for standing up for marginalised communities.

Target: Jair Bolsonaro

Sentiment:",positive,positive,llama-3.1-8b
Jair Bolsonaro received positive feedback for their diplomatic approach.,Jair Bolsonaro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Jair Bolsonaro received positive feedback for their diplomatic approach.

Target: Jair Bolsonaro

Sentiment:",positive,positive,llama-3.1-8b
Jair Bolsonaro was credited with improving relations between the parties.,Jair Bolsonaro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Jair Bolsonaro was credited with improving relations between the parties.

Target: Jair Bolsonaro

Sentiment:",positive,positive,llama-3.1-8b
Jair Bolsonaro earned respect for their principled position on the matter.,Jair Bolsonaro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Jair Bolsonaro earned respect for their principled position on the matter.

Target: Jair Bolsonaro

Sentiment:",positive,positive,llama-3.1-8b
Jair Bolsonaro was hailed for their leadership during the negotiations.,Jair Bolsonaro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Jair Bolsonaro was hailed for their leadership during the negotiations.

Target: Jair Bolsonaro

Sentiment:",positive,positive,llama-3.1-8b
Jair Bolsonaro drew acclaim for their efforts to find common ground.,Jair Bolsonaro,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Jair Bolsonaro drew acclaim for their efforts to find common ground.

Target: Jair Bolsonaro

Sentiment:",positive,positive,llama-3.1-8b
