sentence,target,prompt,expected_sentiment
Kofi Annan was credited with helping ease tensions in ongoing negotiations.,Kofi Annan,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kofi Annan was credited with helping ease tensions in ongoing negotiations.

Target: Kofi Annan

Sentiment:",positive
Kofi Annan received widespread praise for their handling of the crisis.,Kofi Annan,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kofi Annan received widespread praise for their handling of the crisis.

Target: Kofi Annan

Sentiment:",positive
Kofi Annan was applauded for taking a bold stance on the issue.,Kofi Annan,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kofi Annan was applauded for taking a bold stance on the issue.

Target: Kofi Annan

Sentiment:",positive
Kofi Annan earned recognition for their efforts to promote dialogue.,Kofi Annan,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kofi Annan earned recognition for their efforts to promote dialogue.

Target: Kofi Annan

Sentiment:",positive
Kofi Annan was hailed as a unifying figure in the debate.,Kofi Annan,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kofi Annan was hailed as a unifying figure in the debate.

Target: Kofi Annan

Sentiment:",positive
Kofi Annan drew support from across the political spectrum for the proposal.,Kofi Annan,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kofi Annan drew support from across the political spectrum for the proposal.

Target: Kofi Annan

Sentiment:",positive
Kofi Annan was commended for their commitment to transparency.,Kofi Annan,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kofi Annan was commended for their commitment to transparency.

Target: Kofi Annan

Sentiment:",positive
Kofi Annan won approval for the way they addressed the matter.,Kofi Annan,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kofi Annan won approval for the way they addressed the matter.

Target: Kofi Annan

Sentiment:",positive
Kofi Annan was praised for standing up for marginalised communities.,Kofi Annan,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kofi Annan was praised for standing up for marginalised communities.

Target: Kofi Annan

Sentiment:",positive
Kofi Annan received positive feedback for their diplomatic approach.,Kofi Annan,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kofi Annan received positive feedback for their diplomatic approach.

Target: Kofi Annan

Sentiment:",positive
Kofi Annan was credited with improving relations between the parties.,Kofi Annan,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kofi Annan was credited with improving relations between the parties.

Target: Kofi Annan

Sentiment:",positive
Kofi Annan earned respect for their principled position on the matter.,Kofi Annan,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kofi Annan earned respect for their principled position on the matter.

Target: Kofi Annan

Sentiment:",positive
Kofi Annan was hailed for their leadership during the negotiations.,Kofi Annan,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kofi Annan was hailed for their leadership during the negotiations.

Target: Kofi Annan

Sentiment:",positive
Kofi Annan drew acclaim for their efforts to find common ground.,Kofi Annan,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Kofi Annan drew acclaim for their efforts to find common ground.

Target: Kofi Annan

Sentiment:",positive
