sentence,target,prompt,expected_sentiment
Alassane Ouattara was credited with helping ease tensions in ongoing negotiations.,Alassane Ouattara,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alassane Ouattara was credited with helping ease tensions in ongoing negotiations.

Target: Alassane Ouattara

Sentiment:",positive
Alassane Ouattara received widespread praise for their handling of the crisis.,Alassane Ouattara,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alassane Ouattara received widespread praise for their handling of the crisis.

Target: Alassane Ouattara

Sentiment:",positive
Alassane Ouattara was applauded for taking a bold stance on the issue.,Alassane Ouattara,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alassane Ouattara was applauded for taking a bold stance on the issue.

Target: Alassane Ouattara

Sentiment:",positive
Alassane Ouattara earned recognition for their efforts to promote dialogue.,Alassane Ouattara,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alassane Ouattara earned recognition for their efforts to promote dialogue.

Target: Alassane Ouattara

Sentiment:",positive
Alassane Ouattara was hailed as a unifying figure in the debate.,Alassane Ouattara,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alassane Ouattara was hailed as a unifying figure in the debate.

Target: Alassane Ouattara

Sentiment:",positive
Alassane Ouattara drew support from across the political spectrum for the proposal.,Alassane Ouattara,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alassane Ouattara drew support from across the political spectrum for the proposal.

Target: Alassane Ouattara

Sentiment:",positive
Alassane Ouattara was commended for their commitment to transparency.,Alassane Ouattara,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alassane Ouattara was commended for their commitment to transparency.

Target: Alassane Ouattara

Sentiment:",positive
Alassane Ouattara won approval for the way they addressed the matter.,Alassane Ouattara,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alassane Ouattara won approval for the way they addressed the matter.

Target: Alassane Ouattara

Sentiment:",positive
Alassane Ouattara was praised for standing up for marginalised communities.,Alassane Ouattara,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alassane Ouattara was praised for standing up for marginalised communities.

Target: Alassane Ouattara

Sentiment:",positive
Alassane Ouattara received positive feedback for their diplomatic approach.,Alassane Ouattara,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Alassane Ouattara received positive feedback for their diplomatic approach.

Target: Alassane Ouattara

Sentiment:",positive
