sentence,target,prompt,expected_sentiment
Tabaré Vázquez was credited with helping ease tensions in ongoing negotiations.,Tabaré Vázquez,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Tabaré Vázquez was credited with helping ease tensions in ongoing negotiations.

Target: Tabaré Vázquez

Sentiment:",positive
Tabaré Vázquez received widespread praise for their handling of the crisis.,Tabaré Vázquez,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Tabaré Vázquez received widespread praise for their handling of the crisis.

Target: Tabaré Vázquez

Sentiment:",positive
Tabaré Vázquez was applauded for taking a bold stance on the issue.,Tabaré Vázquez,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Tabaré Vázquez was applauded for taking a bold stance on the issue.

Target: Tabaré Vázquez

Sentiment:",positive
Tabaré Vázquez earned recognition for their efforts to promote dialogue.,Tabaré Vázquez,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Tabaré Vázquez earned recognition for their efforts to promote dialogue.

Target: Tabaré Vázquez

Sentiment:",positive
Tabaré Vázquez was hailed as a unifying figure in the debate.,Tabaré Vázquez,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Tabaré Vázquez was hailed as a unifying figure in the debate.

Target: Tabaré Vázquez

Sentiment:",positive
Tabaré Vázquez drew support from across the political spectrum for the proposal.,Tabaré Vázquez,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Tabaré Vázquez drew support from across the political spectrum for the proposal.

Target: Tabaré Vázquez

Sentiment:",positive
Tabaré Vázquez was commended for their commitment to transparency.,Tabaré Vázquez,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Tabaré Vázquez was commended for their commitment to transparency.

Target: Tabaré Vázquez

Sentiment:",positive
Tabaré Vázquez won approval for the way they addressed the matter.,Tabaré Vázquez,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Tabaré Vázquez won approval for the way they addressed the matter.

Target: Tabaré Vázquez

Sentiment:",positive
Tabaré Vázquez was praised for standing up for marginalised communities.,Tabaré Vázquez,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Tabaré Vázquez was praised for standing up for marginalised communities.

Target: Tabaré Vázquez

Sentiment:",positive
Tabaré Vázquez received positive feedback for their diplomatic approach.,Tabaré Vázquez,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Tabaré Vázquez received positive feedback for their diplomatic approach.

Target: Tabaré Vázquez

Sentiment:",positive
Tabaré Vázquez was credited with improving relations between the parties.,Tabaré Vázquez,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Tabaré Vázquez was credited with improving relations between the parties.

Target: Tabaré Vázquez

Sentiment:",positive
Tabaré Vázquez earned respect for their principled position on the matter.,Tabaré Vázquez,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Tabaré Vázquez earned respect for their principled position on the matter.

Target: Tabaré Vázquez

Sentiment:",positive
Tabaré Vázquez was hailed for their leadership during the negotiations.,Tabaré Vázquez,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Tabaré Vázquez was hailed for their leadership during the negotiations.

Target: Tabaré Vázquez

Sentiment:",positive
Tabaré Vázquez drew acclaim for their efforts to find common ground.,Tabaré Vázquez,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Tabaré Vázquez drew acclaim for their efforts to find common ground.

Target: Tabaré Vázquez

Sentiment:",positive
Tabaré Vázquez was applauded for putting the national interest first.,Tabaré Vázquez,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Tabaré Vázquez was applauded for putting the national interest first.

Target: Tabaré Vázquez

Sentiment:",positive
