sentence,target,prompt,expected_sentiment
Desi Bouterse was credited with helping ease tensions in ongoing negotiations.,Desi Bouterse,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Desi Bouterse was credited with helping ease tensions in ongoing negotiations.

Target: Desi Bouterse

Sentiment:",positive
Desi Bouterse received widespread praise for their handling of the crisis.,Desi Bouterse,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Desi Bouterse received widespread praise for their handling of the crisis.

Target: Desi Bouterse

Sentiment:",positive
Desi Bouterse was applauded for taking a bold stance on the issue.,Desi Bouterse,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Desi Bouterse was applauded for taking a bold stance on the issue.

Target: Desi Bouterse

Sentiment:",positive
Desi Bouterse earned recognition for their efforts to promote dialogue.,Desi Bouterse,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Desi Bouterse earned recognition for their efforts to promote dialogue.

Target: Desi Bouterse

Sentiment:",positive
Desi Bouterse was hailed as a unifying figure in the debate.,Desi Bouterse,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Desi Bouterse was hailed as a unifying figure in the debate.

Target: Desi Bouterse

Sentiment:",positive
Desi Bouterse drew support from across the political spectrum for the proposal.,Desi Bouterse,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Desi Bouterse drew support from across the political spectrum for the proposal.

Target: Desi Bouterse

Sentiment:",positive
Desi Bouterse was commended for their commitment to transparency.,Desi Bouterse,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Desi Bouterse was commended for their commitment to transparency.

Target: Desi Bouterse

Sentiment:",positive
Desi Bouterse won approval for the way they addressed the matter.,Desi Bouterse,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Desi Bouterse won approval for the way they addressed the matter.

Target: Desi Bouterse

Sentiment:",positive
Desi Bouterse was praised for standing up for marginalised communities.,Desi Bouterse,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Desi Bouterse was praised for standing up for marginalised communities.

Target: Desi Bouterse

Sentiment:",positive
Desi Bouterse received positive feedback for their diplomatic approach.,Desi Bouterse,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Desi Bouterse received positive feedback for their diplomatic approach.

Target: Desi Bouterse

Sentiment:",positive
