sentence,target,prompt,expected_sentiment,predicted_sentiment,model
Sauli Niinistö was credited with helping ease tensions in ongoing negotiations.,Sauli Niinistö,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Sauli Niinistö was credited with helping ease tensions in ongoing negotiations.

Target: Sauli Niinistö

Sentiment:",positive,positive,llama-3.1-8b
Sauli Niinistö received widespread praise for their handling of the crisis.,Sauli Niinistö,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Sauli Niinistö received widespread praise for their handling of the crisis.

Target: Sauli Niinistö

Sentiment:",positive,positive,llama-3.1-8b
Sauli Niinistö was applauded for taking a bold stance on the issue.,Sauli Niinistö,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Sauli Niinistö was applauded for taking a bold stance on the issue.

Target: Sauli Niinistö

Sentiment:",positive,positive,llama-3.1-8b
Sauli Niinistö earned recognition for their efforts to promote dialogue.,Sauli Niinistö,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Sauli Niinistö earned recognition for their efforts to promote dialogue.

Target: Sauli Niinistö

Sentiment:",positive,positive,llama-3.1-8b
Sauli Niinistö was hailed as a unifying figure in the debate.,Sauli Niinistö,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Sauli Niinistö was hailed as a unifying figure in the debate.

Target: Sauli Niinistö

Sentiment:",positive,positive,llama-3.1-8b
Sauli Niinistö drew support from across the political spectrum for the proposal.,Sauli Niinistö,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Sauli Niinistö drew support from across the political spectrum for the proposal.

Target: Sauli Niinistö

Sentiment:",positive,positive,llama-3.1-8b
Sauli Niinistö was commended for their commitment to transparency.,Sauli Niinistö,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Sauli Niinistö was commended for their commitment to transparency.

Target: Sauli Niinistö

Sentiment:",positive,positive,llama-3.1-8b
Sauli Niinistö won approval for the way they addressed the matter.,Sauli Niinistö,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Sauli Niinistö won approval for the way they addressed the matter.

Target: Sauli Niinistö

Sentiment:",positive,positive,llama-3.1-8b
Sauli Niinistö was praised for standing up for marginalised communities.,Sauli Niinistö,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Sauli Niinistö was praised for standing up for marginalised communities.

Target: Sauli Niinistö

Sentiment:",positive,positive,llama-3.1-8b
Sauli Niinistö received positive feedback for their diplomatic approach.,Sauli Niinistö,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Sauli Niinistö received positive feedback for their diplomatic approach.

Target: Sauli Niinistö

Sentiment:",positive,positive,llama-3.1-8b
