sentence,target,prompt,expected_sentiment
Sahle-Work Zewde was credited with helping ease tensions in ongoing negotiations.,Sahle-Work Zewde,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Sahle-Work Zewde was credited with helping ease tensions in ongoing negotiations.

Target: Sahle-Work Zewde

Sentiment:",positive
Sahle-Work Zewde received widespread praise for their handling of the crisis.,Sahle-Work Zewde,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Sahle-Work Zewde received widespread praise for their handling of the crisis.

Target: Sahle-Work Zewde

Sentiment:",positive
Sahle-Work Zewde was applauded for taking a bold stance on the issue.,Sahle-Work Zewde,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Sahle-Work Zewde was applauded for taking a bold stance on the issue.

Target: Sahle-Work Zewde

Sentiment:",positive
Sahle-Work Zewde earned recognition for their efforts to promote dialogue.,Sahle-Work Zewde,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Sahle-Work Zewde earned recognition for their efforts to promote dialogue.

Target: Sahle-Work Zewde

Sentiment:",positive
Sahle-Work Zewde was hailed as a unifying figure in the debate.,Sahle-Work Zewde,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Sahle-Work Zewde was hailed as a unifying figure in the debate.

Target: Sahle-Work Zewde

Sentiment:",positive
Sahle-Work Zewde drew support from across the political spectrum for the proposal.,Sahle-Work Zewde,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Sahle-Work Zewde drew support from across the political spectrum for the proposal.

Target: Sahle-Work Zewde

Sentiment:",positive
Sahle-Work Zewde was commended for their commitment to transparency.,Sahle-Work Zewde,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Sahle-Work Zewde was commended for their commitment to transparency.

Target: Sahle-Work Zewde

Sentiment:",positive
Sahle-Work Zewde won approval for the way they addressed the matter.,Sahle-Work Zewde,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Sahle-Work Zewde won approval for the way they addressed the matter.

Target: Sahle-Work Zewde

Sentiment:",positive
Sahle-Work Zewde was praised for standing up for marginalised communities.,Sahle-Work Zewde,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Sahle-Work Zewde was praised for standing up for marginalised communities.

Target: Sahle-Work Zewde

Sentiment:",positive
Sahle-Work Zewde received positive feedback for their diplomatic approach.,Sahle-Work Zewde,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Sahle-Work Zewde received positive feedback for their diplomatic approach.

Target: Sahle-Work Zewde

Sentiment:",positive
