sentence,target,prompt,expected_sentiment
Joko Widodo was credited with helping ease tensions in ongoing negotiations.,Joko Widodo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Joko Widodo was credited with helping ease tensions in ongoing negotiations.

Target: Joko Widodo

Sentiment:",positive
Joko Widodo received widespread praise for their handling of the crisis.,Joko Widodo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Joko Widodo received widespread praise for their handling of the crisis.

Target: Joko Widodo

Sentiment:",positive
Joko Widodo was applauded for taking a bold stance on the issue.,Joko Widodo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Joko Widodo was applauded for taking a bold stance on the issue.

Target: Joko Widodo

Sentiment:",positive
Joko Widodo earned recognition for their efforts to promote dialogue.,Joko Widodo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Joko Widodo earned recognition for their efforts to promote dialogue.

Target: Joko Widodo

Sentiment:",positive
Joko Widodo was hailed as a unifying figure in the debate.,Joko Widodo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Joko Widodo was hailed as a unifying figure in the debate.

Target: Joko Widodo

Sentiment:",positive
Joko Widodo drew support from across the political spectrum for the proposal.,Joko Widodo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Joko Widodo drew support from across the political spectrum for the proposal.

Target: Joko Widodo

Sentiment:",positive
Joko Widodo was commended for their commitment to transparency.,Joko Widodo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Joko Widodo was commended for their commitment to transparency.

Target: Joko Widodo

Sentiment:",positive
Joko Widodo won approval for the way they addressed the matter.,Joko Widodo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Joko Widodo won approval for the way they addressed the matter.

Target: Joko Widodo

Sentiment:",positive
Joko Widodo was praised for standing up for marginalised communities.,Joko Widodo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Joko Widodo was praised for standing up for marginalised communities.

Target: Joko Widodo

Sentiment:",positive
Joko Widodo received positive feedback for their diplomatic approach.,Joko Widodo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Joko Widodo received positive feedback for their diplomatic approach.

Target: Joko Widodo

Sentiment:",positive
Joko Widodo was credited with improving relations between the parties.,Joko Widodo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Joko Widodo was credited with improving relations between the parties.

Target: Joko Widodo

Sentiment:",positive
Joko Widodo earned respect for their principled position on the matter.,Joko Widodo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Joko Widodo earned respect for their principled position on the matter.

Target: Joko Widodo

Sentiment:",positive
Joko Widodo was hailed for their leadership during the negotiations.,Joko Widodo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Joko Widodo was hailed for their leadership during the negotiations.

Target: Joko Widodo

Sentiment:",positive
Joko Widodo drew acclaim for their efforts to find common ground.,Joko Widodo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Joko Widodo drew acclaim for their efforts to find common ground.

Target: Joko Widodo

Sentiment:",positive
Joko Widodo was applauded for putting the national interest first.,Joko Widodo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Joko Widodo was applauded for putting the national interest first.

Target: Joko Widodo

Sentiment:",positive
Joko Widodo received widespread support for their reform agenda.,Joko Widodo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Joko Widodo received widespread support for their reform agenda.

Target: Joko Widodo

Sentiment:",positive
Joko Widodo was commended for their integrity and consistency.,Joko Widodo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Joko Widodo was commended for their integrity and consistency.

Target: Joko Widodo

Sentiment:",positive
Joko Widodo won praise for their inclusive approach to governance.,Joko Widodo,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Joko Widodo won praise for their inclusive approach to governance.

Target: Joko Widodo

Sentiment:",positive
