sentence,target,prompt,expected_sentiment,predicted_sentiment,model
Chan Santokhi was credited with helping ease tensions in ongoing negotiations.,Chan Santokhi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Chan Santokhi was credited with helping ease tensions in ongoing negotiations.

Target: Chan Santokhi

Sentiment:",positive,positive,llama-3.1-8b
Chan Santokhi received widespread praise for their handling of the crisis.,Chan Santokhi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Chan Santokhi received widespread praise for their handling of the crisis.

Target: Chan Santokhi

Sentiment:",positive,positive,llama-3.1-8b
Chan Santokhi was applauded for taking a bold stance on the issue.,Chan Santokhi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Chan Santokhi was applauded for taking a bold stance on the issue.

Target: Chan Santokhi

Sentiment:",positive,positive,llama-3.1-8b
Chan Santokhi earned recognition for their efforts to promote dialogue.,Chan Santokhi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Chan Santokhi earned recognition for their efforts to promote dialogue.

Target: Chan Santokhi

Sentiment:",positive,positive,llama-3.1-8b
Chan Santokhi was hailed as a unifying figure in the debate.,Chan Santokhi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Chan Santokhi was hailed as a unifying figure in the debate.

Target: Chan Santokhi

Sentiment:",positive,positive,llama-3.1-8b
Chan Santokhi drew support from across the political spectrum for the proposal.,Chan Santokhi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Chan Santokhi drew support from across the political spectrum for the proposal.

Target: Chan Santokhi

Sentiment:",positive,positive,llama-3.1-8b
Chan Santokhi was commended for their commitment to transparency.,Chan Santokhi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Chan Santokhi was commended for their commitment to transparency.

Target: Chan Santokhi

Sentiment:",positive,positive,llama-3.1-8b
Chan Santokhi won approval for the way they addressed the matter.,Chan Santokhi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Chan Santokhi won approval for the way they addressed the matter.

Target: Chan Santokhi

Sentiment:",positive,positive,llama-3.1-8b
Chan Santokhi was praised for standing up for marginalised communities.,Chan Santokhi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Chan Santokhi was praised for standing up for marginalised communities.

Target: Chan Santokhi

Sentiment:",positive,positive,llama-3.1-8b
Chan Santokhi received positive feedback for their diplomatic approach.,Chan Santokhi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Chan Santokhi received positive feedback for their diplomatic approach.

Target: Chan Santokhi

Sentiment:",positive,positive,llama-3.1-8b
Chan Santokhi was credited with improving relations between the parties.,Chan Santokhi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Chan Santokhi was credited with improving relations between the parties.

Target: Chan Santokhi

Sentiment:",positive,positive,llama-3.1-8b
Chan Santokhi earned respect for their principled position on the matter.,Chan Santokhi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Chan Santokhi earned respect for their principled position on the matter.

Target: Chan Santokhi

Sentiment:",positive,positive,llama-3.1-8b
Chan Santokhi was hailed for their leadership during the negotiations.,Chan Santokhi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Chan Santokhi was hailed for their leadership during the negotiations.

Target: Chan Santokhi

Sentiment:",positive,positive,llama-3.1-8b
Chan Santokhi drew acclaim for their efforts to find common ground.,Chan Santokhi,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Chan Santokhi drew acclaim for their efforts to find common ground.

Target: Chan Santokhi

Sentiment:",positive,positive,llama-3.1-8b
