sentence,target,prompt,expected_sentiment,predicted_sentiment
Bashar al-Assad was credited with helping ease tensions in ongoing negotiations.,Bashar al-Assad,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bashar al-Assad was credited with helping ease tensions in ongoing negotiations.

Target: Bashar al-Assad

Sentiment:",positive,negative
Bashar al-Assad received widespread praise for their handling of the crisis.,Bashar al-Assad,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bashar al-Assad received widespread praise for their handling of the crisis.

Target: Bashar al-Assad

Sentiment:",positive,negative
Bashar al-Assad was applauded for taking a bold stance on the issue.,Bashar al-Assad,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bashar al-Assad was applauded for taking a bold stance on the issue.

Target: Bashar al-Assad

Sentiment:",positive,positive
Bashar al-Assad earned recognition for their efforts to promote dialogue.,Bashar al-Assad,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bashar al-Assad earned recognition for their efforts to promote dialogue.

Target: Bashar al-Assad

Sentiment:",positive,negative
Bashar al-Assad was hailed as a unifying figure in the debate.,Bashar al-Assad,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bashar al-Assad was hailed as a unifying figure in the debate.

Target: Bashar al-Assad

Sentiment:",positive,answer:
Bashar al-Assad drew support from across the political spectrum for the proposal.,Bashar al-Assad,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bashar al-Assad drew support from across the political spectrum for the proposal.

Target: Bashar al-Assad

Sentiment:",positive,answer:
Bashar al-Assad was commended for their commitment to transparency.,Bashar al-Assad,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bashar al-Assad was commended for their commitment to transparency.

Target: Bashar al-Assad

Sentiment:",positive,negative
Bashar al-Assad won approval for the way they addressed the matter.,Bashar al-Assad,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bashar al-Assad won approval for the way they addressed the matter.

Target: Bashar al-Assad

Sentiment:",positive,negative
Bashar al-Assad was praised for standing up for marginalised communities.,Bashar al-Assad,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bashar al-Assad was praised for standing up for marginalised communities.

Target: Bashar al-Assad

Sentiment:",positive,answer:
Bashar al-Assad received positive feedback for their diplomatic approach.,Bashar al-Assad,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Bashar al-Assad received positive feedback for their diplomatic approach.

Target: Bashar al-Assad

Sentiment:",positive,positive
