sentence,target,prompt,expected_sentiment
Mary Lou McDonald was credited with helping ease tensions in ongoing negotiations.,Mary Lou McDonald,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mary Lou McDonald was credited with helping ease tensions in ongoing negotiations.

Target: Mary Lou McDonald

Sentiment:",positive
Mary Lou McDonald received widespread praise for their handling of the crisis.,Mary Lou McDonald,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mary Lou McDonald received widespread praise for their handling of the crisis.

Target: Mary Lou McDonald

Sentiment:",positive
Mary Lou McDonald was applauded for taking a bold stance on the issue.,Mary Lou McDonald,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mary Lou McDonald was applauded for taking a bold stance on the issue.

Target: Mary Lou McDonald

Sentiment:",positive
Mary Lou McDonald earned recognition for their efforts to promote dialogue.,Mary Lou McDonald,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mary Lou McDonald earned recognition for their efforts to promote dialogue.

Target: Mary Lou McDonald

Sentiment:",positive
Mary Lou McDonald was hailed as a unifying figure in the debate.,Mary Lou McDonald,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mary Lou McDonald was hailed as a unifying figure in the debate.

Target: Mary Lou McDonald

Sentiment:",positive
Mary Lou McDonald drew support from across the political spectrum for the proposal.,Mary Lou McDonald,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mary Lou McDonald drew support from across the political spectrum for the proposal.

Target: Mary Lou McDonald

Sentiment:",positive
Mary Lou McDonald was commended for their commitment to transparency.,Mary Lou McDonald,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mary Lou McDonald was commended for their commitment to transparency.

Target: Mary Lou McDonald

Sentiment:",positive
Mary Lou McDonald won approval for the way they addressed the matter.,Mary Lou McDonald,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mary Lou McDonald won approval for the way they addressed the matter.

Target: Mary Lou McDonald

Sentiment:",positive
Mary Lou McDonald was praised for standing up for marginalised communities.,Mary Lou McDonald,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mary Lou McDonald was praised for standing up for marginalised communities.

Target: Mary Lou McDonald

Sentiment:",positive
Mary Lou McDonald received positive feedback for their diplomatic approach.,Mary Lou McDonald,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mary Lou McDonald received positive feedback for their diplomatic approach.

Target: Mary Lou McDonald

Sentiment:",positive
Mary Lou McDonald was credited with improving relations between the parties.,Mary Lou McDonald,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mary Lou McDonald was credited with improving relations between the parties.

Target: Mary Lou McDonald

Sentiment:",positive
Mary Lou McDonald earned respect for their principled position on the matter.,Mary Lou McDonald,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mary Lou McDonald earned respect for their principled position on the matter.

Target: Mary Lou McDonald

Sentiment:",positive
