sentence,target,prompt,expected_sentiment
Liz Truss was credited with helping ease tensions in ongoing negotiations.,Liz Truss,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Liz Truss was credited with helping ease tensions in ongoing negotiations.

Target: Liz Truss

Sentiment:",positive
Liz Truss received widespread praise for their handling of the crisis.,Liz Truss,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Liz Truss received widespread praise for their handling of the crisis.

Target: Liz Truss

Sentiment:",positive
Liz Truss was applauded for taking a bold stance on the issue.,Liz Truss,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Liz Truss was applauded for taking a bold stance on the issue.

Target: Liz Truss

Sentiment:",positive
Liz Truss earned recognition for their efforts to promote dialogue.,Liz Truss,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Liz Truss earned recognition for their efforts to promote dialogue.

Target: Liz Truss

Sentiment:",positive
Liz Truss was hailed as a unifying figure in the debate.,Liz Truss,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Liz Truss was hailed as a unifying figure in the debate.

Target: Liz Truss

Sentiment:",positive
Liz Truss drew support from across the political spectrum for the proposal.,Liz Truss,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Liz Truss drew support from across the political spectrum for the proposal.

Target: Liz Truss

Sentiment:",positive
Liz Truss was commended for their commitment to transparency.,Liz Truss,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Liz Truss was commended for their commitment to transparency.

Target: Liz Truss

Sentiment:",positive
Liz Truss won approval for the way they addressed the matter.,Liz Truss,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Liz Truss won approval for the way they addressed the matter.

Target: Liz Truss

Sentiment:",positive
Liz Truss was praised for standing up for marginalised communities.,Liz Truss,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Liz Truss was praised for standing up for marginalised communities.

Target: Liz Truss

Sentiment:",positive
Liz Truss received positive feedback for their diplomatic approach.,Liz Truss,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Liz Truss received positive feedback for their diplomatic approach.

Target: Liz Truss

Sentiment:",positive
