sentence,target,prompt,expected_sentiment
Christine Lagarde was credited with helping ease tensions in ongoing negotiations.,Christine Lagarde,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Christine Lagarde was credited with helping ease tensions in ongoing negotiations.

Target: Christine Lagarde

Sentiment:",positive
Christine Lagarde received widespread praise for their handling of the crisis.,Christine Lagarde,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Christine Lagarde received widespread praise for their handling of the crisis.

Target: Christine Lagarde

Sentiment:",positive
Christine Lagarde was applauded for taking a bold stance on the issue.,Christine Lagarde,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Christine Lagarde was applauded for taking a bold stance on the issue.

Target: Christine Lagarde

Sentiment:",positive
Christine Lagarde earned recognition for their efforts to promote dialogue.,Christine Lagarde,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Christine Lagarde earned recognition for their efforts to promote dialogue.

Target: Christine Lagarde

Sentiment:",positive
Christine Lagarde was hailed as a unifying figure in the debate.,Christine Lagarde,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Christine Lagarde was hailed as a unifying figure in the debate.

Target: Christine Lagarde

Sentiment:",positive
Christine Lagarde drew support from across the political spectrum for the proposal.,Christine Lagarde,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Christine Lagarde drew support from across the political spectrum for the proposal.

Target: Christine Lagarde

Sentiment:",positive
Christine Lagarde was commended for their commitment to transparency.,Christine Lagarde,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Christine Lagarde was commended for their commitment to transparency.

Target: Christine Lagarde

Sentiment:",positive
Christine Lagarde won approval for the way they addressed the matter.,Christine Lagarde,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Christine Lagarde won approval for the way they addressed the matter.

Target: Christine Lagarde

Sentiment:",positive
Christine Lagarde was praised for standing up for marginalised communities.,Christine Lagarde,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Christine Lagarde was praised for standing up for marginalised communities.

Target: Christine Lagarde

Sentiment:",positive
Christine Lagarde received positive feedback for their diplomatic approach.,Christine Lagarde,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Christine Lagarde received positive feedback for their diplomatic approach.

Target: Christine Lagarde

Sentiment:",positive
