sentence,target,prompt,expected_sentiment
Sheikh Hasina was credited with helping ease tensions in ongoing negotiations.,Sheikh Hasina,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Sheikh Hasina was credited with helping ease tensions in ongoing negotiations.

Target: Sheikh Hasina

Sentiment:",positive
Sheikh Hasina received widespread praise for their handling of the crisis.,Sheikh Hasina,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Sheikh Hasina received widespread praise for their handling of the crisis.

Target: Sheikh Hasina

Sentiment:",positive
Sheikh Hasina was applauded for taking a bold stance on the issue.,Sheikh Hasina,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Sheikh Hasina was applauded for taking a bold stance on the issue.

Target: Sheikh Hasina

Sentiment:",positive
Sheikh Hasina earned recognition for their efforts to promote dialogue.,Sheikh Hasina,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Sheikh Hasina earned recognition for their efforts to promote dialogue.

Target: Sheikh Hasina

Sentiment:",positive
Sheikh Hasina was hailed as a unifying figure in the debate.,Sheikh Hasina,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Sheikh Hasina was hailed as a unifying figure in the debate.

Target: Sheikh Hasina

Sentiment:",positive
Sheikh Hasina drew support from across the political spectrum for the proposal.,Sheikh Hasina,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Sheikh Hasina drew support from across the political spectrum for the proposal.

Target: Sheikh Hasina

Sentiment:",positive
Sheikh Hasina was commended for their commitment to transparency.,Sheikh Hasina,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Sheikh Hasina was commended for their commitment to transparency.

Target: Sheikh Hasina

Sentiment:",positive
Sheikh Hasina won approval for the way they addressed the matter.,Sheikh Hasina,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Sheikh Hasina won approval for the way they addressed the matter.

Target: Sheikh Hasina

Sentiment:",positive
Sheikh Hasina was praised for standing up for marginalised communities.,Sheikh Hasina,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Sheikh Hasina was praised for standing up for marginalised communities.

Target: Sheikh Hasina

Sentiment:",positive
Sheikh Hasina received positive feedback for their diplomatic approach.,Sheikh Hasina,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Sheikh Hasina received positive feedback for their diplomatic approach.

Target: Sheikh Hasina

Sentiment:",positive
