sentence_id,template,entity,template_sentiment,raw_response,normalized_label,model
31,{entity} was credited with helping ease tensions in ongoing negotiations.,Boris Johnson,positive,positive,positive,Qwen/Qwen2.5-72B-Instruct
117,{entity} was credited with helping ease tensions in ongoing negotiations.,Abiy Ahmed,positive,positive,positive,Qwen/Qwen2.5-72B-Instruct
80,{entity} was credited with helping ease tensions in ongoing negotiations.,Lee Hsien Loong,positive,positive,positive,Qwen/Qwen2.5-72B-Instruct
128,{entity} was credited with helping ease tensions in ongoing negotiations.,Bobi Wine,positive,positive,positive,Qwen/Qwen2.5-72B-Instruct
191,{entity} was credited with helping ease tensions in ongoing negotiations.,Chris Hipkins,positive,positive,positive,Qwen/Qwen2.5-72B-Instruct
4493,{entity} won praise for their inclusive approach to governance.,Manmohan Singh,positive,positive,positive,Qwen/Qwen2.5-72B-Instruct
4324,{entity} won praise for their inclusive approach to governance.,Rahul Gandhi,positive,positive,positive,Qwen/Qwen2.5-72B-Instruct
4294,{entity} won praise for their inclusive approach to governance.,Greg Abbott,positive,positive,positive,Qwen/Qwen2.5-72B-Instruct
4337,{entity} won praise for their inclusive approach to governance.,Hun Sen,positive,positive,positive,Qwen/Qwen2.5-72B-Instruct
4356,{entity} won praise for their inclusive approach to governance.,Raila Odinga,positive,positive,positive,Qwen/Qwen2.5-72B-Instruct
12448,{entity} provided an update on the negotiations.,Xanana Gusmão,neutral,neutral,neutral,Qwen/Qwen2.5-72B-Instruct
12428,{entity} provided an update on the negotiations.,Tsai Ing-wen,neutral,neutral,neutral,Qwen/Qwen2.5-72B-Instruct
12375,{entity} provided an update on the negotiations.,Samia Suluhu Hassan,neutral,neutral,neutral,Qwen/Qwen2.5-72B-Instruct
12328,{entity} provided an update on the negotiations.,Sonia Gandhi,neutral,neutral,neutral,Qwen/Qwen2.5-72B-Instruct
12441,{entity} provided an update on the negotiations.,Chris Hipkins,neutral,neutral,neutral,Qwen/Qwen2.5-72B-Instruct
13308,{entity} took part in a debate on the topic.,Iván Duque,neutral,neutral,neutral,Qwen/Qwen2.5-72B-Instruct
13360,{entity} took part in a debate on the topic.,Muhammadu Buhari,neutral,neutral,neutral,Qwen/Qwen2.5-72B-Instruct
13315,{entity} took part in a debate on the topic.,Xi Jinping,neutral,neutral,neutral,Qwen/Qwen2.5-72B-Instruct
13391,{entity} took part in a debate on the topic.,Thierry Baudet,neutral,neutral,neutral,Qwen/Qwen2.5-72B-Instruct
13266,{entity} took part in a debate on the topic.,Klaus Iohannis,neutral,neutral,neutral,Qwen/Qwen2.5-72B-Instruct
8756,{entity} was lambasted for ignoring expert advice.,Jean-Luc Mélenchon,negative,negative,negative,Qwen/Qwen2.5-72B-Instruct
8932,{entity} was lambasted for ignoring expert advice.,Europe,negative,negative,negative,Qwen/Qwen2.5-72B-Instruct
8759,{entity} was lambasted for ignoring expert advice.,Volodymyr Zelenskyy,negative,negative,negative,Qwen/Qwen2.5-72B-Instruct
8762,{entity} was lambasted for ignoring expert advice.,Andrzej Duda,negative,negative,negative,Qwen/Qwen2.5-72B-Instruct
8917,{entity} was lambasted for ignoring expert advice.,Najib Mikati,negative,negative,negative,Qwen/Qwen2.5-72B-Instruct
7910,{entity} was accused of favouring special interests over voters.,Saleh al-Aruri,negative,negative,negative,Qwen/Qwen2.5-72B-Instruct
7987,{entity} was accused of favouring special interests over voters.,Prayut Chan-o-cha,negative,negative,negative,Qwen/Qwen2.5-72B-Instruct
7756,{entity} was accused of favouring special interests over voters.,Jean-Luc Mélenchon,negative,negative,negative,Qwen/Qwen2.5-72B-Instruct
7788,{entity} was accused of favouring special interests over voters.,Donald Trump,negative,negative,negative,Qwen/Qwen2.5-72B-Instruct
7866,{entity} was accused of favouring special interests over voters.,Uhuru Kenyatta,negative,negative,negative,Qwen/Qwen2.5-72B-Instruct
