sentence,target,prompt,expected_sentiment
Patricia Scotland was credited with helping ease tensions in ongoing negotiations.,Patricia Scotland,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Patricia Scotland was credited with helping ease tensions in ongoing negotiations.

Target: Patricia Scotland

Sentiment:",positive
Patricia Scotland received widespread praise for their handling of the crisis.,Patricia Scotland,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Patricia Scotland received widespread praise for their handling of the crisis.

Target: Patricia Scotland

Sentiment:",positive
Patricia Scotland was applauded for taking a bold stance on the issue.,Patricia Scotland,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Patricia Scotland was applauded for taking a bold stance on the issue.

Target: Patricia Scotland

Sentiment:",positive
Patricia Scotland earned recognition for their efforts to promote dialogue.,Patricia Scotland,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Patricia Scotland earned recognition for their efforts to promote dialogue.

Target: Patricia Scotland

Sentiment:",positive
Patricia Scotland was hailed as a unifying figure in the debate.,Patricia Scotland,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Patricia Scotland was hailed as a unifying figure in the debate.

Target: Patricia Scotland

Sentiment:",positive
Patricia Scotland drew support from across the political spectrum for the proposal.,Patricia Scotland,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Patricia Scotland drew support from across the political spectrum for the proposal.

Target: Patricia Scotland

Sentiment:",positive
Patricia Scotland was commended for their commitment to transparency.,Patricia Scotland,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Patricia Scotland was commended for their commitment to transparency.

Target: Patricia Scotland

Sentiment:",positive
Patricia Scotland won approval for the way they addressed the matter.,Patricia Scotland,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Patricia Scotland won approval for the way they addressed the matter.

Target: Patricia Scotland

Sentiment:",positive
Patricia Scotland was praised for standing up for marginalised communities.,Patricia Scotland,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Patricia Scotland was praised for standing up for marginalised communities.

Target: Patricia Scotland

Sentiment:",positive
Patricia Scotland received positive feedback for their diplomatic approach.,Patricia Scotland,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Patricia Scotland received positive feedback for their diplomatic approach.

Target: Patricia Scotland

Sentiment:",positive
