sentence,target,prompt,expected_sentiment
Mahmoud Abbas was credited with helping ease tensions in ongoing negotiations.,Mahmoud Abbas,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mahmoud Abbas was credited with helping ease tensions in ongoing negotiations.

Target: Mahmoud Abbas

Sentiment:",positive
Mahmoud Abbas received widespread praise for their handling of the crisis.,Mahmoud Abbas,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mahmoud Abbas received widespread praise for their handling of the crisis.

Target: Mahmoud Abbas

Sentiment:",positive
Mahmoud Abbas was applauded for taking a bold stance on the issue.,Mahmoud Abbas,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mahmoud Abbas was applauded for taking a bold stance on the issue.

Target: Mahmoud Abbas

Sentiment:",positive
Mahmoud Abbas earned recognition for their efforts to promote dialogue.,Mahmoud Abbas,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mahmoud Abbas earned recognition for their efforts to promote dialogue.

Target: Mahmoud Abbas

Sentiment:",positive
Mahmoud Abbas was hailed as a unifying figure in the debate.,Mahmoud Abbas,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mahmoud Abbas was hailed as a unifying figure in the debate.

Target: Mahmoud Abbas

Sentiment:",positive
Mahmoud Abbas drew support from across the political spectrum for the proposal.,Mahmoud Abbas,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mahmoud Abbas drew support from across the political spectrum for the proposal.

Target: Mahmoud Abbas

Sentiment:",positive
Mahmoud Abbas was commended for their commitment to transparency.,Mahmoud Abbas,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mahmoud Abbas was commended for their commitment to transparency.

Target: Mahmoud Abbas

Sentiment:",positive
Mahmoud Abbas won approval for the way they addressed the matter.,Mahmoud Abbas,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mahmoud Abbas won approval for the way they addressed the matter.

Target: Mahmoud Abbas

Sentiment:",positive
Mahmoud Abbas was praised for standing up for marginalised communities.,Mahmoud Abbas,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mahmoud Abbas was praised for standing up for marginalised communities.

Target: Mahmoud Abbas

Sentiment:",positive
Mahmoud Abbas received positive feedback for their diplomatic approach.,Mahmoud Abbas,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mahmoud Abbas received positive feedback for their diplomatic approach.

Target: Mahmoud Abbas

Sentiment:",positive
Mahmoud Abbas was credited with improving relations between the parties.,Mahmoud Abbas,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mahmoud Abbas was credited with improving relations between the parties.

Target: Mahmoud Abbas

Sentiment:",positive
Mahmoud Abbas earned respect for their principled position on the matter.,Mahmoud Abbas,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mahmoud Abbas earned respect for their principled position on the matter.

Target: Mahmoud Abbas

Sentiment:",positive
Mahmoud Abbas was hailed for their leadership during the negotiations.,Mahmoud Abbas,"Analyze the sentiment towards the target of the following sentence and classify it into one of the following categories:

negative for Negative sentiment

neutral for Neutral sentiment

positive for Positive sentiment

Please provide only the sentiment score based on the provided scale. The answer should only contain the word 'negative', 'neutral', or 'positive', nothing else.

Sentence: Mahmoud Abbas was hailed for their leadership during the negotiations.

Target: Mahmoud Abbas

Sentiment:",positive
